depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[14];1;1;41;0.25434053813267105;0.2500334743911876;0.37573099976199675;['tcp.window_size_value'];0.2550972031789805;0.2529425589157287;0.2491598768299131;0.24944347038033815;0.2531695478961765;0.2518158218477021;899130;0.1706632270313592;0.10028837501700168;0.2229466261830881;{'Other': {'precision': 0.35252865083569496, 'recall': 0.9783415116006985, 'f1-score': 0.5182976114059995, 'support': 17467.00000001553}, 'ddos': {'precision': 0.40060821105705163, 'recall': 0.0019806304686299024, 'f1-score': 0.003941772582647696, 'support': 18453.99999999515}, 'xss': {'precision': 0.7545362695465927, 'recall': 0.14324711358453118, 'f1-score': 0.240782230409366, 'support': 15608.000000001224}, 'accuracy': 0.37573099976199675, 'macro avg': {'precision': 0.5025577104797797, 'recall': 0.37452308521795324, 'f1-score': 0.25434053813267105, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.49151436989027025, 'recall': 0.37573099976005253, 'f1-score': 0.2500334743911876, 'support': 51529.0000000119}};{'Other': {'precision': 0.2123823678455673, 'recall': 0.9855176912474881, 'f1-score': 0.3494558318651504, 'support': 190094}, 'ddos': {'precision': 0.387328543435663, 'recall': 0.0010432169785762288, 'f1-score': 0.0020808295246199328, 'support': 568434}, 'xss': {'precision': 0.8076873468334839, 'recall': 0.08907412412341219, 'f1-score': 0.16045301970430728, 'support': 140602}, 'accuracy': 0.2229466261830881, 'macro avg': {'precision': 0.46913275270490473, 'recall': 0.35854501078315887, 'f1-score': 0.1706632270313592, 'support': 899130}, 'weighted avg': {'precision': 0.4160752988244463, 'recall': 0.2229466261830881, 'f1-score': 0.10028837501700168, 'support': 899130}}
[10];1;2;41;0.5416604057121485;0.5332856600737917;0.5593431690398187;['tcp.window_size_value', 'Max Packet Length'];0.25255708054714804;0.25050398477040564;0.6341827618060901;0.6283111105384247;0.40482327106973265;0.40098297432270447;899130;0.36180846095509117;0.24659198258978104;0.30456552445141416;{'Other': {'precision': 0.4347525519636763, 'recall': 0.9140516200008341, 'f1-score': 0.5892423565729468, 'support': 17467.00000001553}, 'ddos': {'precision': 0.8840322741653228, 'recall': 0.22519255018627263, 'f1-score': 0.35894884047989317, 'support': 18453.99999999515}, 'xss': {'precision': 0.8611043413848752, 'recall': 0.5574674006703797, 'f1-score': 0.6767900200836056, 'support': 15608.000000001224}, 'accuracy': 0.5593431690398187, 'macro avg': {'precision': 0.7266297225046249, 'recall': 0.5655705236191622, 'f1-score': 0.5416604057121485, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7247932421146621, 'recall': 0.559343169038065, 'f1-score': 0.5332856600737917, 'support': 51529.0000000119}};{'Other': {'precision': 0.21267721885168023, 'recall': 0.8431144591623092, 'f1-score': 0.3396716266708488, 'support': 190094}, 'ddos': {'precision': 0.9003285341578896, 'recall': 0.06556609914255657, 'f1-score': 0.1222307856287818, 'support': 568434}, 'xss': {'precision': 0.7326541585850633, 'recall': 0.5426878707273012, 'f1-score': 0.623522970565643, 'support': 140602}, 'accuracy': 0.30456552445141416, 'macro avg': {'precision': 0.6152199705315443, 'recall': 0.4837894763440557, 'f1-score': 0.36180846095509117, 'support': 899130}, 'weighted avg': {'precision': 0.7287251601339898, 'recall': 0.30456552445141416, 'f1-score': 0.24659198258978104, 'support': 899130}}
[11];1;3;41;0.5615862988006706;0.5520201337226489;0.5805260133317662;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total'];0.25255708054714804;0.25050398477040564;0.6592357522611728;0.6524457336240077;0.4160618690123221;0.41145206227947867;899130;0.38080890637834325;0.25587290274877006;0.3169964298822195;{'Other': {'precision': 0.44853566548856333, 'recall': 0.9183396061632825, 'f1-score': 0.6027002974414324, 'support': 17467.00000001553}, 'ddos': {'precision': 0.9627001048312223, 'recall': 0.22255211929703964, 'f1-score': 0.36152802621441965, 'support': 18453.99999999515}, 'xss': {'precision': 0.8491954116246468, 'recall': 0.6257246431650066, 'f1-score': 0.7205305727461596, 'support': 15608.000000001224}, 'accuracy': 0.5805260133317662, 'macro avg': {'precision': 0.7534770606481441, 'recall': 0.5888721228751096, 'f1-score': 0.5615862988006706, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7540313646349814, 'recall': 0.5805260133301265, 'f1-score': 0.5520201337226489, 'support': 51529.0000000119}};{'Other': {'precision': 0.21510062569408706, 'recall': 0.8355129567477143, 'f1-score': 0.3421226657935495, 'support': 190094}, 'ddos': {'precision': 0.9590271522326599, 'recall': 0.06555378460823948, 'f1-score': 0.12271916665706113, 'support': 568434}, 'xss': {'precision': 0.7295787357972026, 'recall': 0.6325087836588384, 'f1-score': 0.6775848866844192, 'support': 140602}, 'accuracy': 0.3169964298822195, 'macro avg': {'precision': 0.6345688379079831, 'recall': 0.5111918416715974, 'f1-score': 0.38080890637834325, 'support': 899130}, 'weighted avg': {'precision': 0.7658661239236482, 'recall': 0.3169964298822195, 'f1-score': 0.25587290274877006, 'support': 899130}}
[11];1;4;41;0.5533612007852167;0.5433102891099134;0.5738082937167993;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total', 'ip.len'];0.2534102299738759;0.2513557778683352;0.6454877041150151;0.6386234661590574;0.4106339160645633;0.40601772935208796;899130;0.37613440008328086;0.24840042805260443;0.3126833717037581;{'Other': {'precision': 0.4419671536128947, 'recall': 0.9231626409205749, 'f1-score': 0.5977564424470935, 'support': 17467.00000001553}, 'ddos': {'precision': 0.9659719321692013, 'recall': 0.20806518559428597, 'f1-score': 0.34238292180834584, 'support': 18453.99999999515}, 'xss': {'precision': 0.867520922857203, 'recall': 0.6152774719963658, 'f1-score': 0.7199442381002108, 'support': 15608.000000001224}, 'accuracy': 0.5738082937167993, 'macro avg': {'precision': 0.758486669546433, 'recall': 0.5821684328370755, 'f1-score': 0.5533612007852167, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.758527292832314, 'recall': 0.5738082937150568, 'f1-score': 0.5433102891099134, 'support': 51529.0000000119}};{'Other': {'precision': 0.2141776747000101, 'recall': 0.8380064599619136, 'f1-score': 0.34116134061629627, 'support': 190094}, 'ddos': {'precision': 0.9624322009705967, 'recall': 0.05931031570947551, 'f1-score': 0.11173491707873212, 'support': 568434}, 'xss': {'precision': 0.7324246831498026, 'recall': 0.6267976273452724, 'f1-score': 0.6755069425548142, 'support': 140602}, 'accuracy': 0.3126833717037581, 'macro avg': {'precision': 0.6363448529401364, 'recall': 0.5080381343388872, 'f1-score': 0.37613440008328086, 'support': 899130}, 'weighted avg': {'precision': 0.7682687174503936, 'recall': 0.3126833717037581, 'f1-score': 0.24840042805260443, 'support': 899130}}
[10];1;5;41;0.4360855163728805;0.41709026786207565;0.5104731618189915;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total', 'ip.len', 'SYN Flag Count'];0.2750397449294603;0.2713642547876121;0.47392347186541106;0.4596155123625292;0.3575332114608927;0.34886333930061;899130;0.33593162112259584;0.17666053444255161;0.27756164292149077;{'Other': {'precision': 0.4075821082032018, 'recall': 0.92224720570837, 'f1-score': 0.565322867310661, 'support': 17467.00000001553}, 'ddos': {'precision': 0.9695927353979679, 'recall': 0.0038878007697651937, 'f1-score': 0.007744548027387475, 'support': 18453.99999999515}, 'xss': {'precision': 0.8484395608844879, 'recall': 0.6486118745362135, 'f1-score': 0.7351891337805931, 'support': 15608.000000001224}, 'accuracy': 0.5104731618189915, 'macro avg': {'precision': 0.7418714681618859, 'recall': 0.5249156270047829, 'f1-score': 0.4360855163728805, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7423886683090754, 'recall': 0.5104731618172987, 'f1-score': 0.41709026786207565, 'support': 51529.0000000119}};{'Other': {'precision': 0.20600109886558288, 'recall': 0.8382537060612119, 'f1-score': 0.3307261479900251, 'support': 190094}, 'ddos': {'precision': 0.9809523809523809, 'recall': 0.0009059978819000975, 'f1-score': 0.001810323766738904, 'support': 568434}, 'xss': {'precision': 0.7171570195075152, 'recall': 0.6379852349184222, 'f1-score': 0.6752583916110236, 'support': 140602}, 'accuracy': 0.27756164292149077, 'macro avg': {'precision': 0.6347034997751596, 'recall': 0.492381646287178, 'f1-score': 0.33593162112259584, 'support': 899130}, 'weighted avg': {'precision': 0.7758610766617012, 'recall': 0.27756164292149077, 'f1-score': 0.17666053444255161, 'support': 899130}}
[11];1;6;41;0.5728433951241511;0.5636457020388913;0.5883562292270782;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total', 'ip.len', 'SYN Flag Count', 'Min Packet Length'];0.2534102299738759;0.2513557778683352;0.6719142869886806;0.6655621322433709;0.4229711522095547;0.41852108877170185;899130;0.3854096573939805;0.2625196964586032;0.3209346813030374;{'Other': {'precision': 0.45209401806943267, 'recall': 0.9180012305043262, 'f1-score': 0.6058306753832109, 'support': 17467.00000001553}, 'ddos': {'precision': 0.9594567856880307, 'recall': 0.24063205219706807, 'f1-score': 0.3847649408045213, 'support': 18453.99999999515}, 'xss': {'precision': 0.8608427864085684, 'recall': 0.6305777006207545, 'f1-score': 0.7279345691847209, 'support': 15608.000000001224}, 'accuracy': 0.5883562292270782, 'macro avg': {'precision': 0.7574645300553439, 'recall': 0.596403661107383, 'f1-score': 0.5728433951241511, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7576039889569959, 'recall': 0.5883562292254721, 'f1-score': 0.5636457020388913, 'support': 51529.0000000119}};{'Other': {'precision': 0.2157752006650223, 'recall': 0.8329458057592559, 'f1-score': 0.3427585550013854, 'support': 190094}, 'ddos': {'precision': 0.9593774541300778, 'recall': 0.070921162351302, 'f1-score': 0.13207853158709484, 'support': 568434}, 'xss': {'precision': 0.729202994347075, 'recall': 0.6394645879859462, 'f1-score': 0.6813918855934612, 'support': 140602}, 'accuracy': 0.3209346813030374, 'macro avg': {'precision': 0.634785216380725, 'recall': 0.514443852032168, 'f1-score': 0.3854096573939805, 'support': 899130}, 'weighted avg': {'precision': 0.7661714481414041, 'recall': 0.3209346813030374, 'f1-score': 0.2625196964586032, 'support': 899130}}
[9];1;7;41;0.5597886474792265;0.549916347711616;0.5789483547412536;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total', 'ip.len', 'SYN Flag Count', 'Min Packet Length', 'udp.length'];0.2531973158194251;0.25116287543703986;0.6555449426236343;0.6486424353390616;0.4151506575178228;0.410463262611366;899130;0.3791216770771089;0.25324500395681976;0.31558506556337795;{'Other': {'precision': 0.44480866054818696, 'recall': 0.9238710351067548, 'f1-score': 0.6004996478718951, 'support': 17467.00000001553}, 'ddos': {'precision': 0.9816071146564304, 'recall': 0.21627259368249938, 'f1-score': 0.35445081035444637, 'support': 18453.99999999515}, 'xss': {'precision': 0.8676909592522642, 'recall': 0.6217503816850147, 'f1-score': 0.7244154842113381, 'support': 15608.000000001224}, 'accuracy': 0.5789483547412536, 'macro avg': {'precision': 0.7647022448189605, 'recall': 0.5872980034914229, 'f1-score': 0.5597886474792265, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.765141397265004, 'recall': 0.5789483547395332, 'f1-score': 0.549916347711616, 'support': 51529.0000000119}};{'Other': {'precision': 0.2149574406426699, 'recall': 0.8389428388060644, 'f1-score': 0.3422278350084067, 'support': 190094}, 'ddos': {'precision': 0.9812515350817346, 'recall': 0.0632544851293202, 'f1-score': 0.11884768384850194, 'support': 568434}, 'xss': {'precision': 0.7324310427758703, 'recall': 0.6281418471998976, 'f1-score': 0.676289512374418, 'support': 140602}, 'accuracy': 0.31558506556337795, 'macro avg': {'precision': 0.6428800061667582, 'recall': 0.510113057045094, 'f1-score': 0.3791216770771089, 'support': 899130}, 'weighted avg': {'precision': 0.7803322370408632, 'recall': 0.31558506556337795, 'f1-score': 0.25324500395681976, 'support': 899130}}
[12];1;8;41;0.5685841693625676;0.5621031851028055;0.578111969402898;['tcp.window_size_value', 'Max Packet Length', 'Packet Length Total', 'ip.len', 'SYN Flag Count', 'Min Packet Length', 'udp.length', 'dstport'];0.25326447602012353;0.2512040954569883;0.6643139692540093;0.6600877733377657;0.42046219778727667;0.4173842629633575;899130;0.372220433808135;0.2690739587695502;0.31490663196645646;{'Other': {'precision': 0.4467843412161874, 'recall': 0.9036565494169987, 'f1-score': 0.5979374571924639, 'support': 17467.00000001553}, 'ddos': {'precision': 0.8826875452325568, 'recall': 0.2860409859788757, 'f1-score': 0.4320675144088143, 'support': 18453.99999999515}, 'xss': {'precision': 0.8538514050092328, 'recall': 0.5591211152840208, 'f1-score': 0.6757475364864246, 'support': 15608.000000001224}, 'accuracy': 0.578111969402898, 'macro avg': {'precision': 0.7277744304859923, 'recall': 0.5829395502266317, 'f1-score': 0.5685841693625676, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7261932266708827, 'recall': 0.5781119694013145, 'f1-score': 0.5621031851028055, 'support': 51529.0000000119}};{'Other': {'precision': 0.21319377964405378, 'recall': 0.8247551211505887, 'f1-score': 0.33880793442580437, 'support': 190094}, 'ddos': {'precision': 0.8768464233525238, 'recall': 0.08761615244689797, 'f1-score': 0.15931340796151194, 'support': 568434}, 'xss': {'precision': 0.7158941078558805, 'recall': 0.5444943884155276, 'f1-score': 0.6185399590370888, 'support': 140602}, 'accuracy': 0.31490663196645646, 'macro avg': {'precision': 0.601978103617486, 'recall': 0.4856218873376714, 'f1-score': 0.372220433808135, 'support': 899130}, 'weighted avg': {'precision': 0.7113680129818578, 'recall': 0.31490663196645646, 'f1-score': 0.2690739587695502, 'support': 899130}}
[17];1;1;85;0.254784402223;0.250443252652788;0.3759671127598553;['tcp.window_size_value'];0.25571533696766846;0.2535204251311721;0.24958406015734688;0.24984119041462277;0.2537250060287046;0.2523355324741716;899130;0.17101545257090245;0.10045595062280148;0.2230422741983918;{'Other': {'precision': 0.35269720954257994, 'recall': 0.9783415116006985, 'f1-score': 0.5184797641722287, 'support': 17467.00000001553}, 'ddos': {'precision': 0.35750579225732565, 'recall': 0.0019806304686299024, 'f1-score': 0.003939435929107797, 'support': 18453.99999999515}, 'xss': {'precision': 0.7555400214077904, 'recall': 0.144026628363277, 'f1-score': 0.24193400656766337, 'support': 15608.000000001224}, 'accuracy': 0.3759671127598553, 'macro avg': {'precision': 0.4885810077358987, 'recall': 0.3747829234775351, 'f1-score': 0.254784402223, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.4764393390814633, 'recall': 0.3759671127579112, 'f1-score': 0.250443252652788, 'support': 51529.0000000119}};{'Other': {'precision': 0.21241487689889996, 'recall': 0.9855176912474881, 'f1-score': 0.3494998376944402, 'support': 190094}, 'ddos': {'precision': 0.37531645569620253, 'recall': 0.0010432169785762288, 'f1-score': 0.002080650650685773, 'support': 568434}, 'xss': {'precision': 0.8087480759363777, 'recall': 0.08968577971863842, 'f1-score': 0.16146586936758134, 'support': 140602}, 'accuracy': 0.2230422741983918, 'macro avg': {'precision': 0.46549313617716, 'recall': 0.3587488959815676, 'f1-score': 0.17101545257090245, 'support': 899130}, 'weighted avg': {'precision': 0.4086539485494214, 'recall': 0.2230422741983918, 'f1-score': 0.10045595062280148, 'support': 899130}}
[13];1;2;85;0.5423882282261054;0.5340249576868376;0.5599173346687334;['tcp.window_size_value', 'Max Packet Length'];0.25255708054714804;0.25050398477040564;0.6352372396308613;0.629360277458691;0.4053149563249974;0.40146751374539463;899130;0.3619686916322002;0.24691263911596084;0.3048457953799784;{'Other': {'precision': 0.435103168846918, 'recall': 0.9138622152184823, 'f1-score': 0.5895249061657882, 'support': 17467.00000001553}, 'ddos': {'precision': 0.8846198110906888, 'recall': 0.2261203964389827, 'f1-score': 0.3601752795579088, 'support': 18453.99999999515}, 'xss': {'precision': 0.8608792454171748, 'recall': 0.5584779106190099, 'f1-score': 0.6774644989546192, 'support': 15608.000000001224}, 'accuracy': 0.5599173346687334, 'macro avg': {'precision': 0.7268674084515938, 'recall': 0.5661535074254916, 'f1-score': 0.5423882282261054, 'support': 51529.0000000119}, 'weighted avg': {'precision': 0.7250543248769206, 'recall': 0.5599173346669806, 'f1-score': 0.5340249576868376, 'support': 51529.0000000119}};{'Other': {'precision': 0.2128087676123211, 'recall': 0.8429250791713573, 'f1-score': 0.33982399604685665, 'support': 190094}, 'ddos': {'precision': 0.9006737247353225, 'recall': 0.06585109265103777, 'f1-score': 0.1227290760236986, 'support': 568434}, 'xss': {'precision': 0.7305600428228681, 'recall': 0.5435840172970513, 'f1-score': 0.6233530028260453, 'support': 140602}, 'accuracy': 0.3048457953799784, 'macro avg': {'precision': 0.6146808450568373, 'recall': 0.4841200630398155, 'f1-score': 0.3619686916322002, 'support': 899130}, 'weighted avg': {'precision': 0.7286437345630506, 'recall': 0.3048457953799784, 'f1-score': 0.24691263911596084, 'support': 899130}}
