depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[14];1;1;41;0.2717179478428445;0.5596076944162292;0.686545716424881;['udp.length'];0.2715163277984764;0.559384102582023;0.27411946141727944;0.5722704363515922;0.2727969285542222;0.5657086844853598;1576856;0.25563155819991423;0.47723395166605903;0.6217200556043164;{'ddos': {'precision': 0.20886808658632391, 'recall': 0.0005238250063215054, 'f1-score': 0.0010450291603363415, 'support': 18454.00000001834}, 'Other': {'precision': 0.6869132331237845, 'recall': 0.9991146713249461, 'f1-score': 0.814108814368197, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.686545716424881, 'macro avg': {'precision': 0.29859377323670283, 'recall': 0.3332128321104226, 'f1-score': 0.2717179478428445, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5359322633240708, 'recall': 0.6865457164208932, 'f1-score': 0.5596076944162292, 'support': 60199.99999969172}};{'ddos': {'precision': 0.042435424354243544, 'recall': 8.092408265515434e-05, 'f1-score': 0.00016154010935563054, 'support': 568434.0}, 'Other': {'precision': 0.6221185552224561, 'recall': 0.9989422787880023, 'f1-score': 0.766733134490387, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6217200556043164, 'macro avg': {'precision': 0.2215179931922332, 'recall': 0.3330077342902192, 'f1-score': 0.25563155819991423, 'support': 1576856.0}, 'weighted avg': {'precision': 0.4024723200899216, 'recall': 0.6217200556043164, 'f1-score': 0.47723395166605903, 'support': 1576856.0}}
[13];1;2;41;0.272363897272525;0.5602052457508392;0.6866519784559082;['udp.length', 'Packet Length Total'];0.2715202319972246;0.5593921379423199;0.27501062426521755;0.5730734285097777;0.273230110261687;0.5661074758992014;1576856;0.2557636227564119;0.47736748651019445;0.6217029329247566;{'ddos': {'precision': 0.3641737731822333, 'recall': 0.0014929157569985767, 'f1-score': 0.0029736411913622958, 'support': 18454.00000001834}, 'Other': {'precision': 0.6870577364981536, 'recall': 0.9988369281026274, 'f1-score': 0.8141180506262127, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.6866519784559082, 'macro avg': {'precision': 0.3504105032267956, 'recall': 0.333443281286542, 'f1-score': 0.272363897272525, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5836396946614828, 'recall': 0.6866519784519183, 'f1-score': 0.5602052457508392, 'support': 60199.99999969172}};{'ddos': {'precision': 0.12453942520265292, 'recall': 0.00029730804279828443, 'f1-score': 0.0005931999627933752, 'support': 568434.0}, 'Other': {'precision': 0.6221311470207217, 'recall': 0.9987894289018755, 'f1-score': 0.7666976683064423, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6217029329247566, 'macro avg': {'precision': 0.24889019074112487, 'recall': 0.33302891231489123, 'f1-score': 0.2557636227564119, 'support': 1576856.0}, 'weighted avg': {'precision': 0.4320774727750442, 'recall': 0.6217029329247566, 'f1-score': 0.47736748651019445, 'support': 1576856.0}}
[11];1;3;41;0.27146065469055913;0.5589486605650009;0.6849851774805666;['udp.length', 'Packet Length Total', 'Min Packet Length'];0.2717607927081645;0.5592350532296047;0.27397162612308473;0.5721001930820917;0.27285593296565974;0.5655500375990485;1576856;0.2556283348554843;0.4772187474146794;0.6216636141791007;{'ddos': {'precision': 0.087751813842908, 'recall': 0.0006972291463451762, 'f1-score': 0.0013834660090865085, 'support': 18454.00000001834}, 'Other': {'precision': 0.6864433758011499, 'recall': 0.9967657474560129, 'f1-score': 0.812998498062591, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.6849851774805666, 'macro avg': {'precision': 0.258065063214686, 'recall': 0.3324876588674527, 'f1-score': 0.27146065469055913, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.49848190474412385, 'recall': 0.6849851774765879, 'f1-score': 0.5589486605650009, 'support': 60199.99999969172}};{'ddos': {'precision': 0.04694048616932104, 'recall': 9.851627453670963e-05, 'f1-score': 0.00019661989336881852, 'support': 568434.0}, 'Other': {'precision': 0.6220987609660188, 'recall': 0.9988413978631586, 'f1-score': 0.7666883846730841, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6216636141791007, 'macro avg': {'precision': 0.2230130823784466, 'recall': 0.3329799713792318, 'f1-score': 0.2556283348554843, 'support': 1576856.0}, 'weighted avg': {'precision': 0.4040840114017889, 'recall': 0.6216636141791007, 'f1-score': 0.4772187474146794, 'support': 1576856.0}}
[9];1;4;41;0.5201378601236879;0.562667740677808;0.6479675550072446;['udp.length', 'Packet Length Total', 'Min Packet Length', 'dstport'];0.27152804016769505;0.5594082081914121;0.5486440222858927;0.5738024277866308;0.4455332536272582;0.5687718554048888;1576856;0.3011879176367848;0.48482204488305425;0.6073496882403974;{'ddos': {'precision': 0.18705695686202303, 'recall': 0.041454619322368685, 'f1-score': 0.0678685523752959, 'support': 18454.00000001834}, 'Other': {'precision': 0.6804479450510765, 'recall': 0.9193550751882266, 'f1-score': 0.7820628712033956, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.9489322681991522, 'recall': 0.5678031408751109, 'f1-score': 0.7104821567923723, 'support': 389.00000000000136}, 'accuracy': 0.6479675550072446, 'macro avg': {'precision': 0.605479056704084, 'recall': 0.5095376117952354, 'f1-score': 0.5201378601236879, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5309363687322836, 'recall': 0.6479675550039057, 'f1-score': 0.562667740677808, 'support': 60199.99999969172}};{'ddos': {'precision': 0.24663939216832262, 'recall': 0.021529324424647365, 'f1-score': 0.03960178172422106, 'support': 568434.0}, 'Other': {'precision': 0.6187146516756121, 'recall': 0.9618017944576631, 'f1-score': 0.7530207783597744, 'support': 981355.0}, 'ransomware': {'precision': 0.9360703812316715, 'recall': 0.05896479107400155, 'f1-score': 0.11094119282635896, 'support': 27067.0}, 'accuracy': 0.6073496882403974, 'macro avg': {'precision': 0.6004748083585354, 'recall': 0.34743196998543735, 'f1-score': 0.3011879176367848, 'support': 1576856.0}, 'weighted avg': {'precision': 0.49003431527782265, 'recall': 0.6073496882403974, 'f1-score': 0.48482204488305425, 'support': 1576856.0}}
[10];1;5;41;0.27729929050429175;0.5651044736936367;0.6886716715005411;['udp.length', 'Packet Length Total', 'Min Packet Length', 'dstport', 'tcp.window_size_value'];0.2715241361202967;0.559400173145448;0.28043606438242585;0.5782972791735971;0.27587233932267685;0.5686896989399498;1576856;0.2587859179911027;0.4808127527223791;0.6231659707671467;{'ddos': {'precision': 0.7369729446986166, 'recall': 0.00851338939039681, 'f1-score': 0.01683233444131129, 'support': 18454.00000001834}, 'Other': {'precision': 0.6885000213492171, 'recall': 0.9986442086320406, 'f1-score': 0.815065537071564, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.6886716715005411, 'macro avg': {'precision': 0.47515765534927795, 'recall': 0.33571919934081246, 'f1-score': 0.27729929050429175, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.6989102010699657, 'recall': 0.6886716714965443, 'f1-score': 0.5651044736936367, 'support': 60199.99999969172}};{'ddos': {'precision': 0.6670991177996887, 'recall': 0.004522952532747865, 'f1-score': 0.008984986580183403, 'support': 568434.0}, 'Other': {'precision': 0.6230583305043478, 'recall': 0.9986926239739952, 'f1-score': 0.7673727673931247, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6231659707671467, 'macro avg': {'precision': 0.4300524827680121, 'recall': 0.33440519216891434, 'f1-score': 0.2587859179911027, 'support': 1576856.0}, 'weighted avg': {'precision': 0.6282395018057719, 'recall': 0.6231659707671467, 'f1-score': 0.4808127527223791, 'support': 1576856.0}}
[9];1;6;41;0.303338858807987;0.5912043179926104;0.7003269802649542;['udp.length', 'Packet Length Total', 'Min Packet Length', 'dstport', 'tcp.window_size_value', 'Max Packet Length'];0.2715241361202967;0.559400173145448;0.3118919772284948;0.6089918637726375;0.2915678206362467;0.5841778675761493;1576856;0.2673534742448017;0.4906135437417129;0.6274929353092483;{'ddos': {'precision': 0.9324939610832568, 'recall': 0.04689107497795948, 'f1-score': 0.08929204069014664, 'support': 18454.00000001834}, 'Other': {'precision': 0.6966921399097677, 'recall': 0.9984852942469977, 'f1-score': 0.8207245357338143, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.7003269802649542, 'macro avg': {'precision': 0.5430620336643415, 'recall': 0.3484587897416524, 'f1-score': 0.303338858807987, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.7644740928256463, 'recall': 0.7003269802609132, 'f1-score': 0.5912043179926104, 'support': 60199.99999969172}};{'ddos': {'precision': 0.8756135963693619, 'recall': 0.01663165820482237, 'f1-score': 0.03264328048740485, 'support': 568434.0}, 'Other': {'precision': 0.625782298112651, 'recall': 0.9986314840195444, 'f1-score': 0.7694171422470003, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6274929353092483, 'macro avg': {'precision': 0.500465298160671, 'recall': 0.33842104740812223, 'f1-score': 0.2673534742448017, 'support': 1576856.0}, 'weighted avg': {'precision': 0.705101243362084, 'recall': 0.6274929353092483, 'f1-score': 0.4906135437417129, 'support': 1576856.0}}
[9];1;7;41;0.5385214505188424;0.5804756881791667;0.6575665849560839;['udp.length', 'Packet Length Total', 'Min Packet Length', 'dstport', 'tcp.window_size_value', 'Max Packet Length', 'ip.len'];0.2715241361202967;0.559400173145448;0.5701578999337585;0.5941532129212704;0.4572135751143047;0.5799871936949779;1576856;0.30728675527911337;0.4918180913138282;0.6107710532857787;{'ddos': {'precision': 0.28654902182759323, 'recall': 0.07217927042978164, 'f1-score': 0.11531233964141308, 'support': 18454.00000001834}, 'Other': {'precision': 0.6874846790954059, 'recall': 0.9196178817599963, 'f1-score': 0.7867863815681541, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.9596517759443491, 'recall': 0.5678031408751109, 'f1-score': 0.7134656303469599, 'support': 389.00000000000136}, 'accuracy': 0.6575665849560839, 'macro avg': {'precision': 0.6445618256224495, 'recall': 0.5198667643549629, 'f1-score': 0.5385214505188424, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5663386056968895, 'recall': 0.6575665849528811, 'f1-score': 0.5804756881791667, 'support': 60199.99999969172}};{'ddos': {'precision': 0.31949313467718377, 'recall': 0.030782817354345446, 'f1-score': 0.05615514712725569, 'support': 568434.0}, 'Other': {'precision': 0.6208890119553514, 'recall': 0.9619393593551773, 'f1-score': 0.7546713076623595, 'support': 981355.0}, 'ransomware': {'precision': 0.9494348602022605, 'recall': 0.05896479107400155, 'f1-score': 0.11103381104772506, 'support': 27067.0}, 'accuracy': 0.6107710532857787, 'macro avg': {'precision': 0.6299390022782653, 'recall': 0.3505623225945081, 'f1-score': 0.30728675527911337, 'support': 1576856.0}, 'weighted avg': {'precision': 0.5178796606701112, 'recall': 0.6107710532857787, 'f1-score': 0.4918180913138282, 'support': 1576856.0}}
[10];1;8;41;0.2800167351201836;0.5679193791050766;0.690207820218383;['udp.length', 'Packet Length Total', 'Min Packet Length', 'dstport', 'tcp.window_size_value', 'Max Packet Length', 'ip.len', 'srcport'];0.2715130177331377;0.5594593950864966;0.2836214106138451;0.5814713761116317;0.2774257120241641;0.5702937866275279;1576856;0.26012959914476735;0.482367573590981;0.6239269787475838;{'ddos': {'precision': 0.8743256945633813, 'recall': 0.012246394551514201, 'f1-score': 0.024154465392294214, 'support': 18454.00000001834}, 'Other': {'precision': 0.6894138691881592, 'recall': 0.9992145419630429, 'f1-score': 0.8158957399682565, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.690207820218383, 'macro avg': {'precision': 0.5212465212505135, 'recall': 0.33715364550485233, 'f1-score': 0.2800167351201836, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.7416427866363261, 'recall': 0.6902078202143829, 'f1-score': 0.5679193791050766, 'support': 60199.99999969172}};{'ddos': {'precision': 0.7618947368421053, 'recall': 0.00636661424193486, 'f1-score': 0.012627707682000893, 'support': 568434.0}, 'Other': {'precision': 0.6235101195466464, 'recall': 0.9988475118586037, 'f1-score': 0.7677610897523011, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6239269787475838, 'macro avg': {'precision': 0.4618016187962506, 'recall': 0.33507137536684617, 'f1-score': 0.26012959914476735, 'support': 1576856.0}, 'weighted avg': {'precision': 0.6626931350800608, 'recall': 0.6239269787475838, 'f1-score': 0.482367573590981, 'support': 1576856.0}}
[14];1;1;85;0.2717179478428445;0.5596076944162292;0.686545716424881;['udp.length'];0.2715163277984764;0.559384102582023;0.27411946141727944;0.5722704363515922;0.2727969285542222;0.5657086844853598;1576856;0.25563155819991423;0.47723395166605903;0.6217200556043164;{'ddos': {'precision': 0.20886808658632391, 'recall': 0.0005238250063215054, 'f1-score': 0.0010450291603363415, 'support': 18454.00000001834}, 'Other': {'precision': 0.6869132331237845, 'recall': 0.9991146713249461, 'f1-score': 0.814108814368197, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.686545716424881, 'macro avg': {'precision': 0.29859377323670283, 'recall': 0.3332128321104226, 'f1-score': 0.2717179478428445, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5359322633240708, 'recall': 0.6865457164208932, 'f1-score': 0.5596076944162292, 'support': 60199.99999969172}};{'ddos': {'precision': 0.042435424354243544, 'recall': 8.092408265515434e-05, 'f1-score': 0.00016154010935563054, 'support': 568434.0}, 'Other': {'precision': 0.6221185552224561, 'recall': 0.9989422787880023, 'f1-score': 0.766733134490387, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6217200556043164, 'macro avg': {'precision': 0.2215179931922332, 'recall': 0.3330077342902192, 'f1-score': 0.25563155819991423, 'support': 1576856.0}, 'weighted avg': {'precision': 0.4024723200899216, 'recall': 0.6217200556043164, 'f1-score': 0.47723395166605903, 'support': 1576856.0}}
[19];1;2;85;0.27331453059588934;0.5607279566978538;0.6855249530956624;['udp.length', 'Packet Length Total'];0.2717607927081645;0.5592350532296047;0.2764841069772463;0.5744557800487213;0.27406953904026504;0.5667050984878635;1576856;0.25602092978808494;0.47764224766209357;0.6217390808038273;{'ddos': {'precision': 0.2938488056280649, 'recall': 0.00341396556265146, 'f1-score': 0.006749514572727001, 'support': 18454.00000001834}, 'Other': {'precision': 0.6869248815568355, 'recall': 0.9963392135730392, 'f1-score': 0.8131940772149411, 'support': 41356.999999673375}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 389.00000000000136}, 'accuracy': 0.6855249530956624, 'macro avg': {'precision': 0.3269245623949668, 'recall': 0.3332510597118969, 'f1-score': 0.27331453059588934, 'support': 60199.99999969172}, 'weighted avg': {'precision': 0.5619906675342298, 'recall': 0.6855249530916832, 'f1-score': 0.5607279566978538, 'support': 60199.99999969172}};{'ddos': {'precision': 0.2248283752860412, 'recall': 0.0006913731409451229, 'f1-score': 0.0013785072134862202, 'support': 568434.0}, 'Other': {'precision': 0.6221795584810692, 'recall': 0.9986192560286543, 'f1-score': 0.7666842821507686, 'support': 981355.0}, 'ransomware': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 27067.0}, 'accuracy': 0.6217390808038273, 'macro avg': {'precision': 0.28233597792237014, 'recall': 0.33310354305653317, 'f1-score': 0.25602092978808494, 'support': 1576856.0}, 'weighted avg': {'precision': 0.4682603315017574, 'recall': 0.6217390808038273, 'f1-score': 0.47764224766209357, 'support': 1576856.0}}
