depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[8];1;1;41;0.5630917937483275;0.5737635676343731;0.6169457871930085;['Packet Length Total'];0.20196751423239276;0.2633373221676866;0.6647244799992925;0.6660926229634301;0.4025290419873713;0.4325974727947451;1576856;0.4850312786486854;0.49408454089784926;0.5983342803654867;{'Other': {'precision': 0.5370582737434862, 'recall': 0.9472265362810057, 'f1-score': 0.6854693182647398, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9741306280619438, 'recall': 0.20303958213357062, 'f1-score': 0.3360381938859286, 'support': 18453.99999999515}, 'xss': {'precision': 0.8421412800982558, 'recall': 0.5532186529225802, 'f1-score': 0.6677678690943142, 'support': 15608.000000001224}, 'accuracy': 0.6169457871930085, 'macro avg': {'precision': 0.7844433939678953, 'recall': 0.5678282571123855, 'f1-score': 0.5630917937483275, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7501391506504232, 'recall': 0.6169457871892291, 'f1-score': 0.5737635676343731, 'support': 60199.999999900065}};{'Other': {'precision': 0.5843863906504623, 'recall': 0.952913046484294, 'f1-score': 0.7244774861514228, 'support': 867820}, 'ddos': {'precision': 0.9746603970741902, 'recall': 0.05907282111907451, 'f1-score': 0.11139419392721013, 'support': 568434}, 'xss': {'precision': 0.6515261000015709, 'recall': 0.5899702706931622, 'f1-score': 0.6192221558674231, 'support': 140602}, 'accuracy': 0.5983342803654867, 'macro avg': {'precision': 0.7368576292420744, 'recall': 0.5339853794321768, 'f1-score': 0.4850312786486854, 'support': 1576856}, 'weighted avg': {'precision': 0.7310611611949189, 'recall': 0.5983342803654867, 'f1-score': 0.49408454089784926, 'support': 1576856}}
[11];1;2;41;0.5636311428738925;0.5760768328443872;0.6157511329011246;['Packet Length Total', 'tcp.window_size_value'];0.20196751423239276;0.2633373221676866;0.6673263846840722;0.6697598985783106;0.3991156070908848;0.43072716746149214;1576856;0.5015939118362851;0.5091071989156332;0.6129678296559736;{'Other': {'precision': 0.533521516863378, 'recall': 0.9618890065469878, 'f1-score': 0.686351304599358, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9626732558364852, 'recall': 0.23118370954541792, 'f1-score': 0.3728325600433229, 'support': 18453.99999999515}, 'xss': {'precision': 0.8861788567329129, 'recall': 0.490780315951074, 'f1-score': 0.6317095639789965, 'support': 15608.000000001224}, 'accuracy': 0.6157511329011246, 'macro avg': {'precision': 0.7941245431442586, 'recall': 0.5612843440144932, 'f1-score': 0.5636311428738925, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7565089246991595, 'recall': 0.6157511328971603, 'f1-score': 0.5760768328443872, 'support': 60199.999999900065}};{'Other': {'precision': 0.5889588653496848, 'recall': 0.9867656887372958, 'f1-score': 0.7376471971542782, 'support': 867820}, 'ddos': {'precision': 0.9617414898865319, 'recall': 0.06859019692699592, 'f1-score': 0.12804815969154676, 'support': 568434}, 'xss': {'precision': 0.8652213517944981, 'recall': 0.5066642010782207, 'f1-score': 0.6390863786630303, 'support': 140602}, 'accuracy': 0.6129678296559736, 'macro avg': {'precision': 0.805307235676905, 'recall': 0.5206733622475042, 'f1-score': 0.5015939118362851, 'support': 1576856}, 'weighted avg': {'precision': 0.7479748925044102, 'recall': 0.6129678296559736, 'f1-score': 0.5091071989156332, 'support': 1576856}}
[9];1;3;41;0.5659723385754479;0.5762815342460507;0.6205003755218229;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length'];0.20196751423239276;0.2633373221676866;0.6682969962481655;0.6697182315511556;0.404989210333984;0.4346931694549961;1576856;0.4948860993055038;0.4974585340284545;0.6033277610637877;{'Other': {'precision': 0.5408065027181453, 'recall': 0.9475125053013171, 'f1-score': 0.6885901765853313, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9835964833723674, 'recall': 0.19851819471744778, 'f1-score': 0.3303601618838487, 'support': 18453.99999999515}, 'xss': {'precision': 0.8355782433888259, 'recall': 0.571795616179803, 'f1-score': 0.6789666772571639, 'support': 15608.000000001224}, 'accuracy': 0.6205003755218229, 'macro avg': {'precision': 0.7866604098264461, 'recall': 0.5726087720661893, 'f1-score': 0.5659723385754479, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7529666959307769, 'recall': 0.6205003755180477, 'f1-score': 0.5762815342460507, 'support': 60199.999999900065}};{'Other': {'precision': 0.5873260954935176, 'recall': 0.9599352400267337, 'f1-score': 0.7287650812549563, 'support': 867820}, 'ddos': {'precision': 0.9567118886112103, 'recall': 0.05657121143351735, 'f1-score': 0.10682572428020452, 'support': 568434}, 'xss': {'precision': 0.689969166700036, 'recall': 0.6127437732037951, 'f1-score': 0.6490674923813505, 'support': 140602}, 'accuracy': 0.6033277610637877, 'macro avg': {'precision': 0.7446690502682546, 'recall': 0.5430834082213488, 'f1-score': 0.4948860993055038, 'support': 1576856}, 'weighted avg': {'precision': 0.729636658425606, 'recall': 0.6033277610637877, 'f1-score': 0.4974585340284545, 'support': 1576856}}
[9];1;4;41;0.5833519821306964;0.592042060444617;0.6350349949198808;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length', 'udp.length'];0.28436394290759187;0.330444429503238;0.67159698243288;0.6736463375539733;0.44211954249982427;0.46625951376484065;1576856;0.49937677062009483;0.500699013080269;0.605226475974978;{'Other': {'precision': 0.5559949374058656, 'recall': 0.9406752125940423, 'f1-score': 0.6988990272111807, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9692100944308323, 'recall': 0.20590550453082554, 'f1-score': 0.33965287103070974, 'support': 18453.99999999515}, 'xss': {'precision': 0.8162709378055868, 'recall': 0.6305713612621867, 'f1-score': 0.7115040481501987, 'support': 15608.000000001224}, 'accuracy': 0.6350349949198808, 'macro avg': {'precision': 0.7804919898807615, 'recall': 0.5923840261290182, 'f1-score': 0.5833519821306964, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7501454410934951, 'recall': 0.6350349949160762, 'f1-score': 0.592042060444617, 'support': 60199.999999900065}};{'Other': {'precision': 0.5900843633119738, 'recall': 0.9573575165356871, 'f1-score': 0.7301362435176014, 'support': 867820}, 'ddos': {'precision': 0.9388519134775375, 'recall': 0.05955836561500544, 'f1-score': 0.11201103733039534, 'support': 568434}, 'xss': {'precision': 0.6751531941161415, 'recall': 0.6378714385286127, 'f1-score': 0.6559830310122878, 'support': 140602}, 'accuracy': 0.605226475974978, 'macro avg': {'precision': 0.7346964903018843, 'recall': 0.5515957735597684, 'f1-score': 0.49937677062009483, 'support': 1576856}, 'weighted avg': {'precision': 0.7233953196450439, 'recall': 0.605226475974978, 'f1-score': 0.500699013080269, 'support': 1576856}}
[11];1;5;41;0.5870591606013499;0.5940659255942468;0.6340453106181836;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length', 'udp.length', 'ip.len'];0.283629308753112;0.32978136152469756;0.6743167786865557;0.6746996771228496;0.4430342743907949;0.4666586378574951;1576856;0.5030571742297326;0.5016521024320936;0.6050977387916208;{'Other': {'precision': 0.5479112418114781, 'recall': 0.9388523429230917, 'f1-score': 0.691983255939704, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9505317142014301, 'recall': 0.21228340705251766, 'f1-score': 0.3470579408780879, 'support': 18453.99999999515}, 'xss': {'precision': 0.8601925332582294, 'recall': 0.6222659639892807, 'f1-score': 0.7221362849862576, 'support': 15608.000000001224}, 'accuracy': 0.6340453106181836, 'macro avg': {'precision': 0.786211829757046, 'recall': 0.5911339046549634, 'f1-score': 0.5870591606013499, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7522973646421081, 'recall': 0.6340453106144236, 'f1-score': 0.5940659255942468, 'support': 60199.999999900065}};{'Other': {'precision': 0.5875877086861844, 'recall': 0.9570498490470374, 'f1-score': 0.7281329203535168, 'support': 867820}, 'ddos': {'precision': 0.9292021276595744, 'recall': 0.06146359999577787, 'f1-score': 0.1153004616902682, 'support': 568434}, 'xss': {'precision': 0.7049932416315496, 'recall': 0.630624030952618, 'f1-score': 0.665738140645413, 'support': 140602}, 'accuracy': 0.6050977387916208, 'macro avg': {'precision': 0.7405943593257694, 'recall': 0.549712493331811, 'f1-score': 0.5030571742297326, 'support': 1576856}, 'weighted avg': {'precision': 0.7212033992615472, 'recall': 0.6050977387916208, 'f1-score': 0.5016521024320936, 'support': 1576856}}
[12];1;6;41;0.5982309366009283;0.6034547446181281;0.6397402829530822;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length', 'udp.length', 'ip.len', 'SYN Flag Count'];0.30605565527375317;0.34795291815314255;0.6786578534344123;0.6777113672833369;0.45644180582773136;0.47773425234709166;1576856;0.5106101883943767;0.5061691783047152;0.6071029948200724;{'Other': {'precision': 0.5545183987682569, 'recall': 0.9212410929229216, 'f1-score': 0.6923148908793036, 'support': 26137.99999990369}, 'ddos': {'precision': 0.8809761913011963, 'recall': 0.22671387799768059, 'f1-score': 0.3606234889872064, 'support': 18453.99999999515}, 'xss': {'precision': 0.8521823844053843, 'recall': 0.6566624450402524, 'f1-score': 0.7417544299362747, 'support': 15608.000000001224}, 'accuracy': 0.6397402829530822, 'macro avg': {'precision': 0.7625589914916125, 'recall': 0.6015391386536182, 'f1-score': 0.5982309366009283, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7317674285231347, 'recall': 0.6397402829493637, 'f1-score': 0.6034547446181281, 'support': 60199.999999900065}};{'Other': {'precision': 0.5894693693975787, 'recall': 0.9544836486829066, 'f1-score': 0.7288290095626252, 'support': 867820}, 'ddos': {'precision': 0.8624960014623223, 'recall': 0.06640700591449492, 'f1-score': 0.12331917673962758, 'support': 568434}, 'xss': {'precision': 0.7134502009476598, 'recall': 0.6489665865350421, 'f1-score': 0.6796823788808771, 'support': 140602}, 'accuracy': 0.6071029948200724, 'macro avg': {'precision': 0.7218051906025202, 'recall': 0.5566190803774812, 'f1-score': 0.5106101883943767, 'support': 1576856}, 'weighted avg': {'precision': 0.6989464386091584, 'recall': 0.6071029948200724, 'f1-score': 0.5061691783047152, 'support': 1576856}}
[11];1;7;41;0.54116646155157;0.5516744021783127;0.5914868098128778;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length', 'udp.length', 'ip.len', 'SYN Flag Count', 'dstport'];0.26993022026604185;0.31469011374732037;0.6438459188925291;0.6471034799566359;0.41322042587518354;0.43919188131189224;1576856;0.5045122718251988;0.5065187239757721;0.6115479155991416;{'Other': {'precision': 0.5197517600577701, 'recall': 0.891515483871201, 'f1-score': 0.6566676068677074, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9775283101987773, 'recall': 0.2029300015411144, 'f1-score': 0.3360894993449471, 'support': 18453.99999999515}, 'xss': {'precision': 0.7420896067948036, 'recall': 0.5484497683674759, 'f1-score': 0.6307422784420554, 'support': 15608.000000001224}, 'accuracy': 0.5914868098128778, 'macro avg': {'precision': 0.7464565590171169, 'recall': 0.5476317512599306, 'f1-score': 0.54116646155157, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.717726138266933, 'recall': 0.5914868098092637, 'f1-score': 0.5516744021783127, 'support': 60199.999999900065}};{'Other': {'precision': 0.5884198837681962, 'recall': 0.9824859994007974, 'f1-score': 0.7360266503109217, 'support': 867820}, 'ddos': {'precision': 0.9323714122593034, 'recall': 0.06320522699205185, 'f1-score': 0.11838515374780877, 'support': 568434}, 'xss': {'precision': 0.8483335385855509, 'recall': 0.5389254775892235, 'f1-score': 0.6591250114168656, 'support': 140602}, 'accuracy': 0.6115479155991416, 'macro avg': {'precision': 0.7897082782043502, 'recall': 0.5282055679940242, 'f1-score': 0.5045122718251988, 'support': 1576856}, 'weighted avg': {'precision': 0.7355849532741903, 'recall': 0.6115479155991416, 'f1-score': 0.5065187239757721, 'support': 1576856}}
[13];1;8;41;0.5769906178715086;0.5819379687055211;0.6124019193909183;['Packet Length Total', 'tcp.window_size_value', 'Max Packet Length', 'udp.length', 'ip.len', 'SYN Flag Count', 'dstport', 'Min Packet Length'];0.27869013517220453;0.322100679353153;0.6779327807627263;0.6785422537652434;0.4362825551418894;0.45882008262321605;1576856;0.530493107767344;0.5200552826428237;0.619983054888969;{'Other': {'precision': 0.5357726522186531, 'recall': 0.8803911978486291, 'f1-score': 0.6661510630128101, 'support': 26137.99999990369}, 'ddos': {'precision': 0.7062485639339481, 'recall': 0.23419800325082962, 'f1-score': 0.3517520489595206, 'support': 18453.99999999515}, 'xss': {'precision': 0.8565122828221402, 'recall': 0.6107791174900877, 'f1-score': 0.713068741642195, 'support': 15608.000000001224}, 'accuracy': 0.6124019193909183, 'macro avg': {'precision': 0.6995111663249137, 'recall': 0.5751227728631821, 'f1-score': 0.5769906178715086, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.6711890414091245, 'recall': 0.6124019193873685, 'f1-score': 0.5819379687055211, 'support': 60199.999999900065}};{'Other': {'precision': 0.5952852182661486, 'recall': 0.9777234910465303, 'f1-score': 0.7400141376532978, 'support': 867820}, 'ddos': {'precision': 0.8675721561969439, 'recall': 0.07371480242209298, 'f1-score': 0.13588398202136423, 'support': 568434}, 'xss': {'precision': 0.8452006084622763, 'recall': 0.6204321417903017, 'f1-score': 0.7155812036273701, 'support': 140602}, 'accuracy': 0.619983054888969, 'macro avg': {'precision': 0.769352660975123, 'recall': 0.5572901450863084, 'f1-score': 0.530493107767344, 'support': 1576856}, 'weighted avg': {'precision': 0.7157247238190398, 'recall': 0.619983054888969, 'f1-score': 0.5200552826428237, 'support': 1576856}}
[14];1;1;85;0.5674011801802813;0.5777098738102141;0.6194449466051556;['Packet Length Total'];0.20196751423239276;0.2633373221676866;0.6700192525165173;0.6710833889800851;0.4052251646269793;0.43500423344504213;1576856;0.4868914785180744;0.4950846286565066;0.5979658256682918;{'Other': {'precision': 0.5389427004627177, 'recall': 0.9452816674454325, 'f1-score': 0.6864900827210635, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9706914659274067, 'recall': 0.20965773584355002, 'f1-score': 0.34483519731898404, 'support': 18453.99999999515}, 'xss': {'precision': 0.8403482209842694, 'recall': 0.5582899605644257, 'f1-score': 0.6708782605007967, 'support': 15608.000000001224}, 'accuracy': 0.6194449466051556, 'macro avg': {'precision': 0.7833274624581312, 'recall': 0.5710764546178028, 'f1-score': 0.5674011801802813, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7494382001671207, 'recall': 0.6194449466014231, 'f1-score': 0.5777098738102141, 'support': 60199.999999900065}};{'Other': {'precision': 0.5844775696130736, 'recall': 0.9499562121177203, 'f1-score': 0.7236911813439436, 'support': 867820}, 'ddos': {'precision': 0.9200222528345873, 'recall': 0.06109592318545337, 'f1-score': 0.11458274907536022, 'support': 568434}, 'xss': {'precision': 0.6513569612774327, 'recall': 0.5959090197863472, 'f1-score': 0.6224005051349193, 'support': 140602}, 'accuracy': 0.5979658256682918, 'macro avg': {'precision': 0.7186189279083646, 'recall': 0.5356537183631737, 'f1-score': 0.4868914785180744, 'support': 1576856}, 'weighted avg': {'precision': 0.7113999916282292, 'recall': 0.5979658256682918, 'f1-score': 0.4950846286565066, 'support': 1576856}}
[16];1;2;85;0.5723185532712483;0.5832875757611676;0.6218791416777083;['Packet Length Total', 'tcp.window_size_value'];0.23359875162704524;0.28841453455731175;0.6681166836634093;0.6704139400511359;0.4122886505419972;0.4413432753896046;1576856;0.5042572774770236;0.509873794481213;0.6135227313083756;{'Other': {'precision': 0.5379714442804919, 'recall': 0.9577444499950839, 'f1-score': 0.6889532524022923, 'support': 26137.99999990369}, 'ddos': {'precision': 0.9614377695529008, 'recall': 0.23123044738003373, 'f1-score': 0.372800553289633, 'support': 18453.99999999515}, 'xss': {'precision': 0.8816642777166502, 'recall': 0.5213014619982055, 'f1-score': 0.6552018541218194, 'support': 15608.000000001224}, 'accuracy': 0.6218791416777083, 'macro avg': {'precision': 0.7936911638500144, 'recall': 0.5700921197911077, 'f1-score': 0.5723185532712483, 'support': 60199.999999900065}, 'weighted avg': {'precision': 0.7568917982816354, 'recall': 0.6218791416737552, 'f1-score': 0.5832875757611676, 'support': 60199.999999900065}};{'Other': {'precision': 0.5894577198725798, 'recall': 0.9857539581940955, 'f1-score': 0.7377551711216641, 'support': 867820}, 'ddos': {'precision': 0.9611317871490893, 'recall': 0.068602511461313, 'f1-score': 0.12806420944258437, 'support': 568434}, 'xss': {'precision': 0.858413116605114, 'recall': 0.5190822321161861, 'f1-score': 0.6469524518668227, 'support': 140602}, 'accuracy': 0.6135227313083756, 'macro avg': {'precision': 0.8030008745422611, 'recall': 0.5244795672571981, 'f1-score': 0.5042572774770236, 'support': 1576856}, 'weighted avg': {'precision': 0.7474225837851014, 'recall': 0.6135227313083756, 'f1-score': 0.509873794481213, 'support': 1576856}}
