,Classes,PIX-STAR Photo-frame,Android Phone,TP-Link Smart plug,TP-Link Day Night Cloud camera,Samsung SmartCam,Amazon Echo,Belkin wemo motion sensor,Laptop,Insteon Camera,iHome,Withings Smart scale,Withings Aura smart sleep sensor,MacBook,HP Printer,Light Bulbs LiFX Smart Bulb,Netatmo weather station,Smart Things,Netatmo Welcome,Belkin Wemo switch,NEST Protect smoke alarm,Withings Smart Baby Monitor,Samsung Galaxy Tab,Triby Speaker,Dropcam
0,PIX-STAR Photo-frame,155.00000000000034,0.0,0.0,0.0,1.0,0.7777777777777779,0.0,0.0,2.0,0.0,0.0,14.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Android Phone,44.3195156695157,257.15906816613426,0.0,8.208333333333336,34.59743589743589,44.69754947894486,0.0,26.675290691467143,45.69908424908427,0.0,0.0,25.0144350695306,68.05294542152761,0.5,0.0,0.0,2.0,14.760271515462595,0.0,0.0,0.125,488.08401554395385,0.16666666666666666,0.0
2,TP-Link Smart plug,0.0,0.0,41.63335381845923,0.0,6.800000000000003,29.0,0.0,0.0,48.00000000000001,0.0,0.0,16.000000000000014,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TP-Link Day Night Cloud camera,0.0,0.0,1.0,233.7994547437278,0.0,0.0,0.0,1.0,5.200000000000002,0.0,0.0,1.0000000000000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909093,7.999999999999989,0.0,0.0
4,Samsung SmartCam,0.0,0.0,0.0,0.0,12329.608333336308,0.0,0.0,0.0,25.0,0.0,0.0,1.0000000000000158,0.5,0.0,0.0,0.0,0.0,1.5,9.925558312655087e-05,0.0,0.0,0.0,0.0,0.0
5,Amazon Echo,4.0,0.0,0.0,1.0,0.0,4249.948760630263,0.0,0.0,261.99999999999994,0.0,0.0,21.333333333333332,0.0,0.0,0.0,0.0,0.0,46.075939237266525,0.0,0.0,0.0,7.706533878132722,0.0,0.0
6,Belkin wemo motion sensor,0.0,0.0,0.0,0.0,22.60714285714284,0.0,3187.225315756844,0.0,0.0,0.0,0.0,2.9746949406847643,0.0,0.0,0.0,0.0,0.0,3.2043290043290025,81.05788671895039,0.0,0.0,0.0,0.0,0.0
7,Laptop,19.499999999999993,15.436614262930098,1.0,4.5,79.76367595817925,106.55555555555554,0.0,9079.39087608052,78.50000000000004,9.833333333333332,0.0,1.6,279.65569984395484,3.0166666666666657,0.0,0.0,1.0,2.6,2.5142857142857142,0.0,6.0,114.78366119615477,17.11419114265062,0.0
8,Insteon Camera,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6831.553081639868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0
9,iHome,0.0,0.0,0.0,0.0,0.0,8.800000000000002,0.0,0.0,0.0,130.21549044549562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0007117437722419929,0.0,0.0
10,Withings Smart scale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021296296296296296,3.971296296296309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Withings Aura smart sleep sensor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,979.999999999984,0.0,1.0000000000000666,0.0,0.0,0.0,0.0,0.0,0.0,2.475,0.0,0.0,0.0
12,MacBook,17.999999999999996,2.999999999999999,0.0,0.0,19.998983421162944,48.5,0.0,34.251661368297654,26.36666666666666,0.0,0.0,2.9000000000000004,862.1602481056111,0.0,0.0,0.0,0.0,5.076923076923077,0.0,0.5,1.0,33.52411489490686,3.500000000000001,0.0
13,HP Printer,32.0,2.4166666666666665,0.0,0.0,28.850697450697563,7.0062893081761,18.656862745098028,181.49306746003154,11.697368421052632,0.0,0.0,4.300000000000001,14.885620915032673,564.5515421578202,0.0,0.0,0.0,0.11764705882352941,7.529893221282939,0.0,0.0,14.694117647058807,15.000000000000066,0.0
14,Light Bulbs LiFX Smart Bulb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.906878306878044,65.00000000000006,0.0,0.0,0.0,0.0,0.0,1493.332141438144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Netatmo weather station,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.999999999992,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0
16,Smart Things,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.000000000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Netatmo Welcome,15.0,2.0,0.0,0.0,6.999506703394194,5.4,0.0,2.0004315925766076,97.0,0.0,0.0,20.617496142986962,7.0,0.0,0.0,0.0,0.5,1606.098060842132,0.0,0.0,0.0,73.28544384808748,0.0,0.0
18,Belkin Wemo switch,0.0,0.0,0.0,0.0,164.91441497705068,0.0,99.22097872887377,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1691.5013766791092,0.0,0.0,4.5,0.0,0.0
19,NEST Protect smoke alarm,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,18.3333333333334,0.0,1.3333333333333333,0.0,0.0
20,Withings Smart Baby Monitor,0.0,1.0,1.0,0.0,8.297731230701842,1.0,0.0,0.0,446.0,0.0,0.0,191.39988780444457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.9366300366398,1.959887804330568,0.04,0.0
21,Samsung Galaxy Tab,69.36047261720597,231.82161335277257,0.0,53.10119047619119,47.67038965253329,71.95969215969221,0.4,44.69797193272232,152.59355775012935,0.0,0.0,92.55480945209291,87.69198453631485,1.03125,5.0,0.0,2.0,20.981594406165733,1.0,0.0,4.0,5196.644489332599,6.616666666666666,0.0
22,Triby Speaker,2.0,0.0,0.0,6.0,0.5397505479595032,5.000000000000001,0.0,1.0397505479595033,25.0,0.0,0.0,0.0,21.789508083935342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.53975054796034,0.0
23,Dropcam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499987304852344
