,Cluster,Class List,Feature List,Depth,Tree,Feats
0,-1,"['Blipcare Blood Pressure meter', 'IPhone']",-1,-1,-1,-1
1,0,"['PIX-STAR Photo-frame', 'Android Phone']","['ip.len', 'udp.length', 'srcport', 'dstport', 'ip.ttl', 'tcp.window_size_value']",-1,-1,-1
2,1,"['Laptop', 'Insteon Camera', 'iHome', 'Withings Smart scale']","['udp.length', 'srcport', 'ip.ttl', 'tcp.hdr_len', 'ip.len', 'dstport', 'tcp.window_size_value', 'tcp.flags.rst', 'Packet Length Mean', 'Packet Length Total']",-1,-1,-1
3,2,"['MacBook', 'HP Printer']","['tcp.hdr_len', 'tcp.window_size_value', 'srcport', 'dstport', 'ip.ttl']",-1,-1,-1
4,3,"['Light Bulbs LiFX Smart Bulb', 'Netatmo weather station', 'Smart Things']","['dstport', 'ip.ttl', 'srcport', 'udp.length', 'tcp.hdr_len', 'ip.len', 'tcp.window_size_value', 'Flow IAT Mean']",-1,-1,-1
5,4,"['Samsung SmartCam', 'Belkin wemo motion sensor']","['tcp.window_size_value', 'srcport', 'udp.length', 'ip.len', 'Packet Length Total', 'Max Packet Length', 'dstport']",-1,-1,-1
6,5,"['NEST Protect smoke alarm', 'Withings Smart Baby Monitor']","['udp.length', 'ip.len', 'tcp.window_size_value', 'ip.ttl', 'srcport', 'Flow Duration', 'dstport', 'Flow IAT Max', 'Flow IAT Mean']",-1,-1,-1
7,6,"['Samsung Galaxy Tab', 'Triby Speaker']","['dstport', 'ip.len', 'srcport', 'tcp.window_size_value', 'udp.length']",-1,-1,-1
8,7,['Dropcam'],"['ip.len', 'udp.length', 'srcport', 'ip.ttl', 'Flow Duration']",-1,-1,-1
9,8,"['TP-Link Smart plug', 'TP-Link Day Night Cloud camera']","['ip.len', 'dstport', 'udp.length', 'srcport', 'tcp.window_size_value']",-1,-1,-1
10,9,"['Netatmo Welcome', 'Belkin Wemo switch']","['tcp.window_size_value', 'ip.ttl', 'dstport', 'Packet Length Total', 'srcport', 'Packet Length Mean', 'ip.len', 'Max Packet Length']",-1,-1,-1
11,10,"['Amazon Echo', 'Withings Aura smart sleep sensor']","['ip.len', 'udp.length', 'tcp.window_size_value', 'ip.ttl', 'dstport', 'srcport']",-1,-1,-1
