,class,f1_score,Cluster_F1_Score,Cluster,support
14,Light Bulbs LiFX Smart Bulb,99.83655077969695,99.19893190921577,3,1508.9999999998954
15,Netatmo weather station,99.27182707828857,96.06299212598269,3,247.9999999999996
19,Smart Things,99.23920919159549,99.45124525113316,3,592.0000000003295
2,Samsung SmartCam,97.74455264433817,96.3490891363986,1,13334.000000004085
3,Amazon Echo,96.68425698571494,91.20508912905545,1,4649.0
5,Belkin wemo motion sensor,95.94255573828421,95.86958062263776,1,3281.9999999995284
0,Laptop,94.08449097764243,87.82890955084632,1,11484.000000007463
1,Insteon Camera,93.8228066688689,91.48199051783001,1,6887.999999999669
20,iHome,93.60273210946357,79.62494848036911,1,159.99999999998053
22,Withings Smart scale,91.89189189189173,61.8680129823302,1,5.999999999999969
8,Withings Aura smart sleep sensor,91.36605071030002,93.0996773023471,1,985.9999999999312
6,Netatmo Welcome,89.52810439405708,85.16855157543736,4,1845.0000000002904
11,Belkin Wemo switch,88.91910362237367,87.68998187612516,4,2002.999999999914
4,Samsung Galaxy Tab,85.85647765606758,74.7314527452414,6,7961.999999998589
21,Triby Speaker,80.61264673312523,67.96377443013144,6,149.00000000002802
16,NEST Protect smoke alarm,76.42098350821173,89.05109489051092,5,22.00000000000005
9,Withings Smart Baby Monitor,75.36449255127013,79.32206971620556,5,1773.0000000011821
10,MacBook,66.56574312827829,62.93321492406824,2,1340.9999999999018
7,HP Printer,64.35521033868903,86.48152087394077,2,727.0000000000059
18,PIX-STAR Photo-frame,57.63379470587561,35.5690254204008,0,183.9999999999996
12,Android Phone,50.34774706253088,26.906845294208704,0,1524.9999999999393
17,TP-Link Smart plug,46.94251190040305,25.77777777777839,0,193.99999999999744
13,TP-Link Day Night Cloud camera,46.50725697606184,66.66653898544318,0,294.99999999999204
23,Dropcam,19.178082191841053,85.71387117675418,7,3.9999999999845204
25,Blipcare Blood Pressure meter,0.1,-1.0,-1,0.0
24,IPhone,0.0,-1.0,-1,0.0
