depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.4948752006510868;0.755127100179097;0.7836645843826895;['tcp.window_size_value'];0.5489289579517084;0.8226456976494584;0.5492303640134343;0.8036864109704313;0.5488758025278649;0.8176254412057425;357240;0.5153826432731624;0.38387997638785454;0.39965849288993394;{'Samsung SmartCam': {'precision': 0.7429816855608466, 'recall': 1.0, 'f1-score': 0.8525410125830143, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9924090305493457, 'recall': 0.43578083548261415, 'f1-score': 0.6056237293923036, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.9230769230769178, 'recall': 0.013422818791942799, 'f1-score': 0.02646085997794246, 'support': 149.00000000002802}, 'accuracy': 0.7836645843826895, 'macro avg': {'precision': 0.8861558797290368, 'recall': 0.4830678847581856, 'f1-score': 0.4948752006510868, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8368392146439767, 'recall': 0.7836645843839556, 'f1-score': 0.755127100179097, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.2665725357628726, 'recall': 1.0, 'f1-score': 0.42093528516677114, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9841094106154347, 'recall': 0.22225082088372317, 'f1-score': 0.36260997111430404, 'support': 271963}, 'Triby Speaker': {'precision': 0.9997888513513513, 'recall': 0.6163759437646447, 'f1-score': 0.7626026735384119, 'support': 7682}, 'accuracy': 0.39965849288993394, 'macro avg': {'precision': 0.7501569325765528, 'recall': 0.6128755882161226, 'f1-score': 0.5153826432731624, 'support': 357240}, 'weighted avg': {'precision': 0.8285926030338334, 'recall': 0.39965849288993394, 'f1-score': 0.38387997638785454, 'support': 357240}}
5;1;2;500;0.5714685160756251;0.8143436387539161;0.8299560972520692;['tcp.window_size_value', 'ip.len'];0.49068619944663044;0.7548310429678081;0.701126251653159;0.9199778703077626;0.549342356001514;0.8032988541651194;357240;0.4266633402819142;0.42122930013267407;0.42087952077035046;{'Samsung SmartCam': {'precision': 0.7856836602002378, 'recall': 0.9998500074996215, 'f1-score': 0.8799227119088836, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.999327369945269, 'recall': 0.559749739893673, 'f1-score': 0.7175696851238844, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.582796404731156, 'recall': 0.06497366821650476, 'f1-score': 0.11691315119410751, 'support': 149.00000000002802}, 'accuracy': 0.8299560972520692, 'macro avg': {'precision': 0.7892691449588876, 'recall': 0.5415244718699331, 'f1-score': 0.5714685160756251, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8635946425236014, 'recall': 0.829956097253378, 'f1-score': 0.8143436387539161, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.2695157670785731, 'recall': 0.9534248340743605, 'f1-score': 0.4202379498481926, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9216789644977764, 'recall': 0.27282019980659133, 'f1-score': 0.4210176896996864, 'support': 271963}, 'Triby Speaker': {'precision': 0.9710080285459411, 'recall': 0.2833897422546212, 'f1-score': 0.4387343812978638, 'support': 7682}, 'accuracy': 0.42087952077035046, 'macro avg': {'precision': 0.7207342533740969, 'recall': 0.5032115920451911, 'f1-score': 0.4266633402819142, 'support': 357240}, 'weighted avg': {'precision': 0.781085365142371, 'recall': 0.42087952077035046, 'f1-score': 0.42122930013267407, 'support': 357240}}
5;1;3;500;0.5976849789842914;0.8481725918413782;0.8524569606825478;['tcp.window_size_value', 'ip.len', 'udp.length'];0.5273943606797963;0.7995445854989517;0.6417612754374414;0.8492129000122045;0.5604561544374338;0.8162919254178526;357240;0.43623359617853735;0.45763330490310394;0.44019986563654684;{'Samsung SmartCam': {'precision': 0.8526731360562388, 'recall': 0.9242637830887379, 'f1-score': 0.8870263091260342, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.8541048540469407, 'recall': 0.7469386035663844, 'f1-score': 0.7969351287092543, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.339899305294812, 'recall': 0.06497366821650476, 'f1-score': 0.10909349911758573, 'support': 149.00000000002802}, 'accuracy': 0.8524569606825478, 'macro avg': {'precision': 0.6822257651326639, 'recall': 0.5787253516238756, 'f1-score': 0.5976849789842914, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8496419417386127, 'recall': 0.852456960683864, 'f1-score': 0.8481725918413782, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.26247768542970373, 'recall': 0.8697467620336362, 'f1-score': 0.4032577065793483, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.8964119778128006, 'recall': 0.3220732231958024, 'f1-score': 0.4738839581580678, 'support': 271963}, 'Triby Speaker': {'precision': 0.904445367677607, 'recall': 0.2833897422546212, 'f1-score': 0.43155912379819605, 'support': 7682}, 'accuracy': 0.44019986563654684, 'macro avg': {'precision': 0.6877783436400371, 'recall': 0.49173657582801994, 'f1-score': 0.43623359617853735, 'support': 357240}, 'weighted avg': {'precision': 0.7588898108759375, 'recall': 0.44019986563654684, 'f1-score': 0.45763330490310394, 'support': 357240}}
5;1;4;500;0.5480833849878438;0.7852181839427703;0.800942946336853;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport'];0.40980858489886324;0.6601615701817946;0.6822905844990039;0.8997943588125312;0.4933706180338428;0.7331758174346729;357240;0.2868324357301572;0.4066301938708948;0.40908073004142875;{'Samsung SmartCam': {'precision': 0.773038501146807, 'recall': 0.9632705864706794, 'f1-score': 0.8577335172344004, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.8967546563101082, 'recall': 0.5429905376942445, 'f1-score': 0.6764103746098992, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 1.0, 'recall': 0.058260557707842386, 'f1-score': 0.1101062631192319, 'support': 149.00000000002802}, 'accuracy': 0.800942946336853, 'macro avg': {'precision': 0.8899310524856384, 'recall': 0.5215072272909221, 'f1-score': 0.5480833849878438, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8205481906193663, 'recall': 0.8009429463381249, 'f1-score': 0.7852181839427703, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.26288248851266144, 'recall': 0.9349055995876023, 'f1-score': 0.4103736094651125, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9052630281820311, 'recall': 0.27012130326551775, 'f1-score': 0.4160865895999593, 'support': 271963}, 'Triby Speaker': {'precision': 1.0, 'recall': 0.017313199687581358, 'f1-score': 0.034037108125399874, 'support': 7682}, 'accuracy': 0.40908073004142875, 'macro avg': {'precision': 0.7227151722315641, 'recall': 0.40744670084690043, 'f1-score': 0.2868324357301572, 'support': 357240}, 'weighted avg': {'precision': 0.7677707301243133, 'recall': 0.40908073004142875, 'f1-score': 0.4066301938708948, 'support': 357240}}
5;1;5;500;0.6401974736957058;0.9340289774802283;0.9378910889224535;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport', 'dstport'];0.6437888335121777;0.9344401840376358;0.6729097615464164;0.9584180346049403;0.6515712152576535;0.9408053938943166;357240;0.5515949927478919;0.4638007776106715;0.45455716045235695;{'Samsung SmartCam': {'precision': 0.9129476703367542, 'recall': 0.9993250337483089, 'f1-score': 0.9541855191686446, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9922481463731387, 'recall': 0.8520565689490008, 'f1-score': 0.9168241496330285, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.32398032976566127, 'recall': 0.026845637583886587, 'f1-score': 0.04958275228544433, 'support': 149.00000000002802}, 'accuracy': 0.9378910889224535, 'macro avg': {'precision': 0.7430587154918514, 'recall': 0.6260757467603988, 'f1-score': 0.6401974736957058, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.9382978338460293, 'recall': 0.937891088923863, 'f1-score': 0.9340289774802283, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.2803189654845691, 'recall': 0.9531928603647142, 'f1-score': 0.4332314144467093, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9451083150737536, 'recall': 0.3076815596239194, 'f1-score': 0.46423172196471024, 'support': 271963}, 'Triby Speaker': {'precision': 0.9785522788203753, 'recall': 0.6176776881020568, 'f1-score': 0.757321841832256, 'support': 7682}, 'accuracy': 0.45455716045235695, 'macro avg': {'precision': 0.7346598531262326, 'recall': 0.6261840360302301, 'f1-score': 0.5515949927478919, 'support': 357240}, 'weighted avg': {'precision': 0.8014306388564452, 'recall': 0.45455716045235695, 'f1-score': 0.4638007776106715, 'support': 357240}}
6;1;1;500;0.7266666321519532;0.8424210421482423;0.8520805998211168;['tcp.window_size_value'];0.7171386263519134;0.8717880530298939;0.9117959895465284;0.9408483059283448;0.7621504436008667;0.8906796527993872;357240;0.6173319718693816;0.47870240759402705;0.46844698242078153;{'Samsung SmartCam': {'precision': 0.8116241610522433, 'recall': 0.9959427028648503, 'f1-score': 0.8943859027345646, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9890328928527045, 'recall': 0.618878198158495, 'f1-score': 0.7613491791554564, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.6499096401329841, 'recall': 0.43933053323505944, 'f1-score': 0.5242648145658384, 'support': 149.00000000002802}, 'accuracy': 0.8520805998211168, 'macro avg': {'precision': 0.8168555646793106, 'recall': 0.6847171447528014, 'f1-score': 0.7266666321519532, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8763680574839464, 'recall': 0.8520805998223726, 'f1-score': 0.8424210421482423, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.2842549351555842, 'recall': 0.9499452284296669, 'f1-score': 0.4375734621914588, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9569709304898013, 'recall': 0.31810944871177327, 'f1-score': 0.4774938115225724, 'support': 271963}, 'Triby Speaker': {'precision': 0.9468297221852984, 'recall': 0.9272324915386618, 'f1-score': 0.9369286418941137, 'support': 7682}, 'accuracy': 0.46844698242078153, 'macro avg': {'precision': 0.729351862610228, 'recall': 0.7317623895600339, 'f1-score': 0.6173319718693816, 'support': 357240}, 'weighted avg': {'precision': 0.8106342872803237, 'recall': 0.46844698242078153, 'f1-score': 0.47870240759402705, 'support': 357240}}
6;1;2;500;0.584483639380376;0.8521529553575361;0.8530736858467597;['tcp.window_size_value', 'udp.length'];0.601187180426687;0.87930677526514;0.5170556930063127;0.7428958100500928;0.5797201713535431;0.8453437898523025;357240;0.5495471928513976;0.47692213704842285;0.45283562870899113;{'Samsung SmartCam': {'precision': 0.9254167190200058, 'recall': 0.8364119256815573, 'f1-score': 0.8786661317389863, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.76021111140239, 'recall': 0.8964391579957741, 'f1-score': 0.822724048875038, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.8571428571427693, 'recall': 0.026845637583886583, 'f1-score': 0.052060737527103454, 'support': 149.00000000002802}, 'accuracy': 0.8530736858467597, 'macro avg': {'precision': 0.8475902291883882, 'recall': 0.5865655737537393, 'f1-score': 0.584483639380376, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.8636055810731293, 'recall': 0.8530736858475209, 'f1-score': 0.8521529553575361, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.25950066830580354, 'recall': 0.810670790643727, 'f1-score': 0.3931512285975894, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.854973341689601, 'recall': 0.3461132580534852, 'f1-score': 0.492749829869654, 'support': 271963}, 'Triby Speaker': {'precision': 0.9995779700358726, 'recall': 0.616636292632127, 'f1-score': 0.7627405200869496, 'support': 7682}, 'accuracy': 0.45283562870899113, 'macro avg': {'precision': 0.704683993343759, 'recall': 0.5911401137764464, 'f1-score': 0.5495471928513976, 'support': 357240}, 'weighted avg': {'precision': 0.728742098446236, 'recall': 0.45283562870899113, 'f1-score': 0.47692213704842285, 'support': 357240}}
6;1;3;500;0.7646684840936543;0.9389194967550163;0.940801396844478;['tcp.window_size_value', 'udp.length', 'ip.len'];0.6292193065623543;0.855193218092378;0.7932697975894879;0.9766738940327087;0.6791264367880641;0.8889531146961325;357240;0.8817976096521618;0.9472822158970976;0.9479677527712462;{'Samsung SmartCam': {'precision': 0.9193208507040839, 'recall': 0.9989800638634649, 'f1-score': 0.9574964961682416, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9900046842827787, 'recall': 0.8549579642608117, 'f1-score': 0.917538780691553, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.6010907785828092, 'recall': 0.32154679415659637, 'f1-score': 0.4189701754211682, 'support': 149.00000000002802}, 'accuracy': 0.940801396844478, 'macro avg': {'precision': 0.8368054378565573, 'recall': 0.7251616074269576, 'f1-score': 0.7646684840936543, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.9433529515297926, 'recall': 0.9408013968444718, 'f1-score': 0.9389194967550163, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.8937931215404391, 'recall': 0.8781622527224693, 'f1-score': 0.8859087451977145, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9631369701370609, 'recall': 0.9753973886153631, 'f1-score': 0.9692284083684699, 'support': 271963}, 'Triby Speaker': {'precision': 0.9393939393939394, 'recall': 0.6819838583702161, 'f1-score': 0.7902556753903011, 'support': 7682}, 'accuracy': 0.9479677527712462, 'macro avg': {'precision': 0.9321080103571465, 'recall': 0.8451811665693495, 'f1-score': 0.8817976096521618, 'support': 357240}, 'weighted avg': {'precision': 0.9475644421614046, 'recall': 0.9479677527712462, 'f1-score': 0.9472822158970976, 'support': 357240}}
6;1;4;500;0.7049353488492326;0.8963636206022614;0.9006986147459313;['tcp.window_size_value', 'udp.length', 'ip.len', 'dstport'];0.5671291418228087;0.7962558303424814;0.7740404615487742;0.9438860111064838;0.6324091867037241;0.8385886894050026;357240;0.43150669733677377;0.4081499699741125;0.37467528832157654;{'Samsung SmartCam': {'precision': 0.8663503514957752, 'recall': 0.9982675866204315, 'f1-score': 0.9276425554815733, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9939166611141396, 'recall': 0.7494304306922658, 'f1-score': 0.8545302251190546, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.48741934515742735, 'recall': 0.2524611012513749, 'f1-score': 0.3326332659470703, 'support': 149.00000000002802}, 'accuracy': 0.9006986147459313, 'macro avg': {'precision': 0.7825621192557808, 'recall': 0.6667197061880241, 'f1-score': 0.7049353488492326, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.9110797633510651, 'recall': 0.9006986147472931, 'f1-score': 0.8963636206022614, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.19214059442243986, 'recall': 0.5807848443843031, 'f1-score': 0.2887531956609492, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.71837416387609, 'recall': 0.3147303125792847, 'f1-score': 0.4376984715453806, 'support': 271963}, 'Triby Speaker': {'precision': 0.9000564652738566, 'recall': 0.4149960947669878, 'f1-score': 0.5680684248039914, 'support': 7682}, 'accuracy': 0.37467528832157654, 'macro avg': {'precision': 0.6035237411907954, 'recall': 0.4368370839101918, 'f1-score': 0.43150669733677377, 'support': 357240}, 'weighted avg': {'precision': 0.6079794421696229, 'recall': 0.37467528832157654, 'f1-score': 0.4081499699741125, 'support': 357240}}
6;1;5;500;0.7798883648595369;0.9406718906522697;0.9426823960723039;['tcp.window_size_value', 'udp.length', 'ip.len', 'dstport', 'srcport'];0.770982723989984;0.9394898604078198;0.9089100981434081;0.9789817627963768;0.8106923376926218;0.950088710889144;357240;0.8136294277546524;0.905740607482002;0.9109590191467921;{'Samsung SmartCam': {'precision': 0.9183565334266609, 'recall': 0.9992800359980379, 'f1-score': 0.9571108148578336, 'support': 13334.000000004085}, 'Samsung Galaxy Tab': {'precision': 0.9942687443203612, 'recall': 0.8597490796650304, 'f1-score': 0.9221288240170353, 'support': 7961.999999998589}, 'Triby Speaker': {'precision': 0.8994169763156783, 'recall': 0.30940813073022816, 'f1-score': 0.4604254557037417, 'support': 149.00000000002802}, 'accuracy': 0.9426823960723039, 'macro avg': {'precision': 0.9373474180209002, 'recall': 0.7228124154644323, 'f1-score': 0.7798883648595369, 'support': 21445.000000002703}, 'weighted avg': {'precision': 0.946409274351162, 'recall': 0.9426823960722754, 'f1-score': 0.9406718906522697, 'support': 21445.000000002703}};{'Samsung SmartCam': {'precision': 0.9179673506985313, 'recall': 0.6935240672723758, 'f1-score': 0.7901158437210941, 'support': 77595}, 'Samsung Galaxy Tab': {'precision': 0.9085135878983099, 'recall': 0.9831521199574942, 'f1-score': 0.9443603658331995, 'support': 271963}, 'Triby Speaker': {'precision': 0.9826026443980515, 'recall': 0.5514189013277793, 'f1-score': 0.706412073709664, 'support': 7682}, 'accuracy': 0.9109590191467921, 'macro avg': {'precision': 0.9363611943316309, 'recall': 0.7426983628525496, 'f1-score': 0.8136294277546524, 'support': 357240}, 'weighted avg': {'precision': 0.9121602032171829, 'recall': 0.9109590191467921, 'f1-score': 0.905740607482002, 'support': 357240}}
