depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[10];1;1;41;0.45016174533408;0.8774586797094226;0.8853141091672481;['ip.ttl'];0.45003987378965543;0.8771758469410781;0.5109895612136687;0.9337367439141228;0.4734959306037584;0.9007420635273174;526227;0.37632618536898016;0.8422706920750257;0.807906093758017;{'Insteon Camera': {'precision': 0.7668377360523386, 'recall': 0.999419279907096, 'f1-score': 0.8678152851437761, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9997045462260516, 'recall': 0.8839143736834665, 'f1-score': 0.9382505224447012, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.8233333333333102, 'recall': 0.25050709939146326, 'f1-score': 0.38413685847587115, 'support': 985.9999999998929}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.03225806451612388, 'recall': 0.5000000000000009, 'f1-score': 0.06060606060605152, 'support': 6.000000000000046}, 'accuracy': 0.8853141091672481, 'macro avg': {'precision': 0.5244267360255648, 'recall': 0.5267681505964054, 'f1-score': 0.45016174533408, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9001529169147405, 'recall': 0.8853141091672231, 'f1-score': 0.8774586797094226, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.3121370910635887, 'recall': 0.9495679647669882, 'f1-score': 0.46983307377558814, 'support': 41779}, 'Laptop': {'precision': 0.994503206681, 'recall': 0.8227089864102236, 'f1-score': 0.9004856210638136, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.8425996061202848, 'recall': 0.33980938416422285, 'f1-score': 0.48430493273542596, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.013871965507545225, 'recall': 0.5085910652920962, 'f1-score': 0.027007299270072994, 'support': 291}, 'accuracy': 0.807906093758017, 'macro avg': {'precision': 0.4326223738744838, 'recall': 0.5241354801267062, 'f1-score': 0.37632618536898016, 'support': 526227}, 'weighted avg': {'precision': 0.9233585112828014, 'recall': 0.807906093758017, 'f1-score': 0.8422706920750257, 'support': 526227}}
[10];1;2;41;0.7476787497200399;0.9164603814906046;0.9180026850292377;['ip.ttl', 'tcp.window_size_value'];0.6888479817183436;0.9154298080033438;0.8570636396624216;0.9858861818312095;0.7533536764855251;0.9446183963534653;526227;0.7822694122888035;0.9371756548929755;0.927679499531571;{'Insteon Camera': {'precision': 0.8206466343178793, 'recall': 0.9995644599303247, 'f1-score': 0.9013121746347681, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9992305535210768, 'recall': 0.904657299068956, 'f1-score': 0.9495950220658366, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.885590232808801, 'recall': 0.5000000000000151, 'f1-score': 0.6391429528292739, 'support': 985.9999999998929}, 'iHome': {'precision': 0.8837186563372077, 'recall': 0.9624999999999925, 'f1-score': 0.9214284600634032, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.3207394349421115, 'recall': 0.3333333333333304, 'f1-score': 0.326915139006918, 'support': 6.000000000000046}, 'accuracy': 0.9180026850292377, 'macro avg': {'precision': 0.7819851023854152, 'recall': 0.7400110184665237, 'f1-score': 0.7476787497200399, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9293325694013276, 'recall': 0.9180026850290803, 'f1-score': 0.9164603814906046, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.7477621784603787, 'recall': 0.9497594485267719, 'f1-score': 0.8367424402176205, 'support': 41779}, 'Laptop': {'precision': 0.9949451517024757, 'recall': 0.9449259852208745, 'f1-score': 0.9692907016537997, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.24452641196575411, 'recall': 0.4414711632453568, 'f1-score': 0.31472810819050934, 'support': 16368}, 'iHome': {'precision': 0.9802323211738333, 'recall': 0.7768087855297158, 'f1-score': 0.8667447517794395, 'support': 6192}, 'Withings Smart scale': {'precision': 0.8913738019169329, 'recall': 0.9587628865979382, 'f1-score': 0.923841059602649, 'support': 291}, 'accuracy': 0.927679499531571, 'macro avg': {'precision': 0.771767973043875, 'recall': 0.8143456538241314, 'f1-score': 0.7822694122888035, 'support': 526227}, 'weighted avg': {'precision': 0.9517486747438376, 'recall': 0.927679499531571, 'f1-score': 0.9371756548929755, 'support': 526227}}
[12];1;3;41;0.6488451434888671;0.9101782822426663;0.9136944357164984;['ip.ttl', 'tcp.window_size_value', 'dstport'];0.6409985102227437;0.911271735599388;0.7358246317305263;0.9747053473783087;0.6784012361253453;0.9378230607898521;526227;0.7060342183258385;0.9772258079045036;0.9791914896042963;{'Insteon Camera': {'precision': 0.8125945222341947, 'recall': 0.999419279907079, 'f1-score': 0.8963757685598672, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9912547280481037, 'recall': 0.9080433788688129, 'f1-score': 0.9478262409660377, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 1.0, 'recall': 0.5010141987829233, 'f1-score': 0.6675675675675337, 'support': 985.9999999998929}, 'iHome': {'precision': 1.0, 'recall': 0.18750000000001543, 'f1-score': 0.3157894736842324, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.3571428571428567, 'recall': 0.4999999999999938, 'f1-score': 0.4166666666666642, 'support': 6.000000000000046}, 'accuracy': 0.9136944357164984, 'macro avg': {'precision': 0.8321984214850311, 'recall': 0.619195371511765, 'f1-score': 0.6488451434888671, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9285424719932998, 'recall': 0.9136944357165147, 'f1-score': 0.9101782822426663, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.893283142092612, 'recall': 0.9428660331745614, 'f1-score': 0.9174051259359316, 'support': 41779}, 'Laptop': {'precision': 0.9882311845577961, 'recall': 0.9928790698379756, 'f1-score': 0.9905496749931108, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 1.0, 'recall': 0.9694525904203324, 'f1-score': 0.9844893907432684, 'support': 16368}, 'iHome': {'precision': 1.0, 'recall': 0.2525839793281654, 'f1-score': 0.4033006704486849, 'support': 6192}, 'Withings Smart scale': {'precision': 0.15392895586652314, 'recall': 0.49140893470790376, 'f1-score': 0.23442622950819672, 'support': 291}, 'accuracy': 0.9791914896042963, 'macro avg': {'precision': 0.8070886565033863, 'recall': 0.7298381214937877, 'f1-score': 0.7060342183258385, 'support': 526227}, 'weighted avg': {'precision': 0.9807361078355337, 'recall': 0.9791914896042963, 'f1-score': 0.9772258079045036, 'support': 526227}}
[12];1;4;41;0.749180016533316;0.9194973692576807;0.9210773911454154;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean'];0.7281501384416866;0.9064399793386695;0.8452435042462982;0.9922779218223203;0.7732590176321256;0.9419528447143182;526227;0.8947307176248274;0.9853477351155182;0.9849627632181549;{'Insteon Camera': {'precision': 0.8189990870073527, 'recall': 0.999400039319531, 'f1-score': 0.9002508942150357, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9988411237610085, 'recall': 0.9100267775940177, 'f1-score': 0.9523678076826336, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9887339007091718, 'recall': 0.5035496957403273, 'f1-score': 0.6672681466911765, 'support': 985.9999999998929}, 'iHome': {'precision': 0.9934210526315665, 'recall': 0.943749999999983, 'f1-score': 0.9679487179487032, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.5714285714285726, 'recall': 0.16666666666666557, 'f1-score': 0.2580645161290311, 'support': 6.000000000000046}, 'accuracy': 0.9210773911454154, 'macro avg': {'precision': 0.8742847471075346, 'recall': 0.704678635864105, 'f1-score': 0.749180016533316, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9347072701561012, 'recall': 0.92107739114538, 'f1-score': 0.9194973692576807, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.8603722574607466, 'recall': 0.9902343282510352, 'f1-score': 0.9207469064363928, 'support': 41779}, 'Laptop': {'precision': 0.9994420035149385, 'recall': 0.985591327499962, 'f1-score': 0.9924683435918747, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.9522010315461197, 'recall': 0.9700024437927663, 'f1-score': 0.9610193087585497, 'support': 16368}, 'iHome': {'precision': 0.9765051395007343, 'recall': 0.9665697674418605, 'f1-score': 0.9715120525931337, 'support': 6192}, 'Withings Smart scale': {'precision': 0.9712230215827338, 'recall': 0.4639175257731959, 'f1-score': 0.627906976744186, 'support': 291}, 'accuracy': 0.9849627632181549, 'macro avg': {'precision': 0.9519486907210546, 'recall': 0.875263078551764, 'f1-score': 0.8947307176248274, 'support': 526227}, 'weighted avg': {'precision': 0.9866458681298255, 'recall': 0.9849627632181549, 'f1-score': 0.9853477351155182, 'support': 526227}}
[12];1;5;41;0.7474503693271812;0.9601122185034527;0.9609364367620638;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length'];0.6618579657415096;0.943975083162619;0.7611751754411527;0.9848910432412917;0.7054069343686247;0.9603972766679557;526227;0.7943773472957787;0.980031958045035;0.9822091986918193;{'Insteon Camera': {'precision': 0.9168930364666323, 'recall': 0.99657661395254, 'f1-score': 0.9550756735947273, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9909413828367729, 'recall': 0.9490517105819941, 'f1-score': 0.9695442913257005, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9583002857975955, 'recall': 0.9452332657200759, 'f1-score': 0.9517219257446161, 'support': 985.9999999998929}, 'iHome': {'precision': 0.9953935455347369, 'recall': 0.4062552345059096, 'f1-score': 0.5770116508861179, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.16543209876543102, 'f1-score': 0.2838983050847442, 'support': 6.000000000000046}, 'accuracy': 0.9609364367620638, 'macro avg': {'precision': 0.9723056501271475, 'recall': 0.6925097847051901, 'f1-score': 0.7474503693271812, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9632082116759879, 'recall': 0.9609364367620411, 'f1-score': 0.9601122185034527, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.8823303539049001, 'recall': 0.9899949735513057, 'f1-score': 0.9330671358960477, 'support': 41779}, 'Laptop': {'precision': 0.9923820145242935, 'recall': 0.9908469942395639, 'f1-score': 0.9916139103286792, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.9800492758848627, 'recall': 0.9963954056695992, 'f1-score': 0.9881547456754218, 'support': 16368}, 'iHome': {'precision': 0.99822695035461, 'recall': 0.27277131782945735, 'f1-score': 0.4284627092846271, 'support': 6192}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.46048109965635736, 'f1-score': 0.6305882352941177, 'support': 291}, 'accuracy': 0.9822091986918193, 'macro avg': {'precision': 0.9705977189337333, 'recall': 0.7420979581892567, 'f1-score': 0.7943773472957787, 'support': 526227}, 'weighted avg': {'precision': 0.9833340144812835, 'recall': 0.9822091986918193, 'f1-score': 0.980031958045035, 'support': 526227}}
[13];1;6;41;0.8102768976741264;0.9303966728938015;0.9295091209946905;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length', 'tcp.hdr_len'];0.7998868210370906;0.956204036757213;0.8094592363638053;0.9270861129220568;0.8015021349703906;0.9436556215857246;526227;0.8132488291449598;0.9328400313805523;0.9232859583411721;{'Insteon Camera': {'precision': 0.8390334670344808, 'recall': 0.9966703821206097, 'f1-score': 0.9110835678490598, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9988246900031613, 'recall': 0.888032967778348, 'f1-score': 0.9401761177858873, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9528255406780325, 'recall': 0.9467544465375658, 'f1-score': 0.9497802919410333, 'support': 985.9999999998929}, 'iHome': {'precision': 0.9933774834436961, 'recall': 0.9374999999999766, 'f1-score': 0.9646302250803676, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.16666666666666557, 'f1-score': 0.2857142857142841, 'support': 6.000000000000046}, 'accuracy': 0.9295091209946905, 'macro avg': {'precision': 0.9568122362318741, 'recall': 0.7871248926206331, 'f1-score': 0.8102768976741264, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9400835710607487, 'recall': 0.9295091209946142, 'f1-score': 0.9303966728938015, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.5216458460288442, 'recall': 0.9834845257186625, 'f1-score': 0.6817092088562966, 'support': 41779}, 'Laptop': {'precision': 0.9994029963448274, 'recall': 0.9175319596964452, 'f1-score': 0.956719148840046, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.8767601848865957, 'recall': 0.9966397849462365, 'f1-score': 0.932864413564362, 'support': 16368}, 'iHome': {'precision': 0.9708206686930091, 'recall': 0.7737403100775194, 'f1-score': 0.8611485575626854, 'support': 6192}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.4639175257731959, 'f1-score': 0.6338028169014084, 'support': 291}, 'accuracy': 0.9232859583411721, 'macro avg': {'precision': 0.8737259391906553, 'recall': 0.8270628212424119, 'f1-score': 0.8132488291449598, 'support': 526227}, 'weighted avg': {'precision': 0.957321458214408, 'recall': 0.9232859583411721, 'f1-score': 0.9328400313805523, 'support': 526227}}
[12];1;7;41;0.7285357868956162;0.9574892071050117;0.9571708041067494;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length', 'tcp.hdr_len', 'ip.len'];0.6520677410067443;0.9316586533388759;0.7910032562531638;0.9937674288757827;0.7091358998731304;0.9565592081478863;526227;0.7570002254810158;0.9908465698244858;0.9911749112075207;{'Insteon Camera': {'precision': 0.9271356479260584, 'recall': 0.9941616074596502, 'f1-score': 0.9594795011459846, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.996562397570163, 'recall': 0.9498326173613304, 'f1-score': 0.9726365544367845, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.7534686223313093, 'recall': 0.8017241379310143, 'f1-score': 0.7768477286310735, 'support': 985.9999999998929}, 'iHome': {'precision': 0.9877955098838428, 'recall': 0.8852490588740708, 'f1-score': 0.9337151502642376, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.9571708041067494, 'macro avg': {'precision': 0.7329924355422748, 'recall': 0.7261934843252131, 'f1-score': 0.7285357868956162, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9594140678042897, 'recall': 0.9571708041067052, 'f1-score': 0.9574892071050117, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.9237935281603404, 'recall': 0.9873860073242539, 'f1-score': 0.9545317814748827, 'support': 41779}, 'Laptop': {'precision': 0.9987912491657228, 'recall': 0.9952902640181803, 'f1-score': 0.9970376832730019, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.9677940736306495, 'recall': 0.9877199413489736, 'f1-score': 0.9776554893719952, 'support': 16368}, 'iHome': {'precision': 0.9699263502454992, 'recall': 0.7656653746770026, 'f1-score': 0.8557761732851985, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9911749112075207, 'macro avg': {'precision': 0.7720610402404424, 'recall': 0.747212317473682, 'f1-score': 0.7570002254810158, 'support': 526227}, 'weighted avg': {'precision': 0.9909807961432378, 'recall': 0.9911749112075207, 'f1-score': 0.9908465698244858, 'support': 526227}}
[12];1;8;41;0.749005246283471;0.9466903509500323;0.94748135915879;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length', 'tcp.hdr_len', 'ip.len', 'srcport'];0.5997688039968386;0.9419991592470672;0.7833850455653788;0.9857866540873644;0.6979652218989536;0.9604860043748884;526227;0.8257692163607111;0.973478976947569;0.9737945791455018;{'Insteon Camera': {'precision': 0.8869136653540908, 'recall': 0.9922561906855154, 'f1-score': 0.9366322817735002, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9921727221260859, 'recall': 0.9445962697556911, 'f1-score': 0.9678001415781223, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9158883679272336, 'recall': 0.7510141987829387, 'f1-score': 0.8252973899620634, 'support': 985.9999999998929}, 'iHome': {'precision': 1.0, 'recall': 0.4639299833934977, 'f1-score': 0.6338144428438767, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.8169220438225512, 'recall': 0.2488425925925901, 'f1-score': 0.38148197525979216, 'support': 6.000000000000046}, 'accuracy': 0.94748135915879, 'macro avg': {'precision': 0.9223793598459922, 'recall': 0.6801278470420465, 'f1-score': 0.749005246283471, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9511954686997861, 'recall': 0.9474813591587075, 'f1-score': 0.9466903509500323, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.8279221440945684, 'recall': 0.9723066612412935, 'f1-score': 0.894324336224737, 'support': 41779}, 'Laptop': {'precision': 0.9926863992032694, 'recall': 0.9803551582874239, 'f1-score': 0.986482244457524, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.8891340319911748, 'recall': 0.9848484848484849, 'f1-score': 0.9345469302568264, 'support': 16368}, 'iHome': {'precision': 1.0, 'recall': 0.48804909560723514, 'f1-score': 0.6559583242891253, 'support': 6192}, 'Withings Smart scale': {'precision': 0.9795918367346939, 'recall': 0.4948453608247423, 'f1-score': 0.6575342465753425, 'support': 291}, 'accuracy': 0.9737945791455018, 'macro avg': {'precision': 0.9378668824047413, 'recall': 0.7840809521618359, 'f1-score': 0.8257692163607111, 'support': 526227}, 'weighted avg': {'precision': 0.9764630665687619, 'recall': 0.9737945791455018, 'f1-score': 0.973478976947569, 'support': 526227}}
[10];1;9;41;0.7780748384887828;0.9420217654126078;0.941885125791599;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length', 'tcp.hdr_len', 'ip.len', 'srcport', 'Packet Length Total'];0.7776344961048557;0.9387522724686318;0.8363985314405215;0.9910708847941296;0.7990641903274882;0.960063630503491;526227;0.777897593797882;0.9820648993349473;0.9815307842433019;{'Insteon Camera': {'precision': 0.8730591292224127, 'recall': 1.0, 'f1-score': 0.932228049399441, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9981205774897548, 'recall': 0.9248837352677802, 'f1-score': 0.9601075586071808, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9043530091780259, 'recall': 0.7494925642967115, 'f1-score': 0.8196724854476138, 'support': 985.9999999998929}, 'iHome': {'precision': 0.8172803308225919, 'recall': 0.8687544483986634, 'f1-score': 0.8422316452081726, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.33898305084744945, 'recall': 0.33333333333332854, 'f1-score': 0.3361344537815062, 'support': 6.000000000000046}, 'accuracy': 0.941885125791599, 'macro avg': {'precision': 0.786359219512047, 'recall': 0.7752928162592968, 'f1-score': 0.7780748384887828, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9475793286346629, 'recall': 0.9418851257916052, 'f1-score': 0.9420217654126078, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.9396352023030384, 'recall': 1.0, 'f1-score': 0.9688782727673292, 'support': 41779}, 'Laptop': {'precision': 0.9964834875374535, 'recall': 0.9834617642662322, 'f1-score': 0.9899298052034429, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.8392103755403927, 'recall': 0.9843597262952102, 'f1-score': 0.9060083785531532, 'support': 16368}, 'iHome': {'precision': 0.7058915455539928, 'recall': 0.7294896640826873, 'f1-score': 0.7174966245731078, 'support': 6192}, 'Withings Smart scale': {'precision': 0.22795341098169716, 'recall': 0.47079037800687284, 'f1-score': 0.3071748878923766, 'support': 291}, 'accuracy': 0.9815307842433019, 'macro avg': {'precision': 0.7418348043833148, 'recall': 0.8336203065302005, 'f1-score': 0.777897593797882, 'support': 526227}, 'weighted avg': {'precision': 0.9832338854398496, 'recall': 0.9815307842433019, 'f1-score': 0.9820648993349473, 'support': 526227}}
[14];1;10;41;0.6313741357146643;0.9540112710843196;0.9578032141374956;['ip.ttl', 'tcp.window_size_value', 'dstport', 'Packet Length Mean', 'udp.length', 'tcp.hdr_len', 'ip.len', 'srcport', 'Packet Length Total', 'tcp.flags.rst'];0.6059059155861426;0.9420852147741204;0.6266331559361946;0.9717897473692999;0.6112190550857294;0.9540123644455089;526227;0.5763822234434466;0.9720046968205727;0.9770992366412213;{'Insteon Camera': {'precision': 0.9236582080951309, 'recall': 0.9889141952387668, 'f1-score': 0.9551729513004091, 'support': 6887.999999998317}, 'Laptop': {'precision': 0.9850290999344631, 'recall': 0.9538496436448036, 'f1-score': 0.9691886705795298, 'support': 11484.000000009266}, 'Withings Aura smart sleep sensor': {'precision': 0.9102213998685172, 'recall': 0.9462471281912528, 'f1-score': 0.9278847151197993, 'support': 985.9999999998929}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998695}, 'Withings Smart scale': {'precision': 0.3897931093707819, 'recall': 0.24999999999999808, 'f1-score': 0.30462434157358337, 'support': 6.000000000000046}, 'accuracy': 0.9578032141374956, 'macro avg': {'precision': 0.6417403634537786, 'recall': 0.6278021934149642, 'f1-score': 0.6313741357146643, 'support': 19524.00000000746}, 'weighted avg': {'precision': 0.9513444468312638, 'recall': 0.957803214137372, 'f1-score': 0.9540112710843196, 'support': 19524.00000000746}};{'Insteon Camera': {'precision': 0.9559758995655201, 'recall': 0.95323009167285, 'f1-score': 0.9546010211174765, 'support': 41779}, 'Laptop': {'precision': 0.9849029258779032, 'recall': 0.9922854784584821, 'f1-score': 0.9885804194445824, 'support': 461597}, 'Withings Aura smart sleep sensor': {'precision': 0.878595281697727, 'recall': 0.9965786901270772, 'f1-score': 0.933875307723135, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0031746031746031746, 'recall': 0.010309278350515464, 'f1-score': 0.0048543689320388345, 'support': 291}, 'accuracy': 0.9770992366412213, 'macro avg': {'precision': 0.5645297420631507, 'recall': 0.590480707721785, 'f1-score': 0.5763822234434466, 'support': 526227}, 'weighted avg': {'precision': 0.9671676374734907, 'recall': 0.9770992366412213, 'f1-score': 0.9720046968205727, 'support': 526227}}
