depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[1];1;1;41;0.13455041734719983;0.5495971626984842;0.6766076353018324;['tcp.flags.rst'];0.13542893531171984;0.5596492121498254;0.13365251657402702;0.5377233631060674;0.1349745568416932;0.5539763608940538;1488248;0.130827857316159;0.5074119882834659;0.6460186743069704;{'Laptop': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6887.999999999669}, 'Other': {'precision': 0.6797097189411392, 'recall': 0.9938680097621454, 'f1-score': 0.807302504083199, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.6766076353018324, 'macro avg': {'precision': 0.11328495315685654, 'recall': 0.1656446682936909, 'f1-score': 0.13455041734719983, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.46273426763722175, 'recall': 0.6766076353031744, 'f1-score': 0.5495971626984842, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 461597}, 'Insteon Camera': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 41779}, 'Other': {'precision': 0.646300080666846, 'recall': 0.9993919051663114, 'f1-score': 0.784967143896954, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.6460186743069704, 'macro avg': {'precision': 0.107716680111141, 'recall': 0.16656531752771855, 'f1-score': 0.130827857316159, 'support': 1488248}, 'weighted avg': {'precision': 0.41777596872510486, 'recall': 0.6460186743069704, 'f1-score': 0.5074119882834659, 'support': 1488248}}
[12];1;2;41;0.386013864052636;0.7180676692646635;0.7669597359450719;['tcp.flags.rst', 'ip.len'];0.37233322225608306;0.7201129987184036;0.3456279666385634;0.6785940496617133;0.36356429020177067;0.7099193871127413;1488248;0.22879671156771209;0.5597860475850083;0.6594693895103504;{'Laptop': {'precision': 0.927018994779302, 'recall': 0.1432211521754629, 'f1-score': 0.2481101627491885, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.727187273171022, 'recall': 0.7345462984073472, 'f1-score': 0.7308482614652305, 'support': 6887.999999999669}, 'Other': {'precision': 0.7732485405568499, 'recall': 0.9535756941968334, 'f1-score': 0.8539966014009102, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.46174141001725316, 'recall': 0.506592292089286, 'f1-score': 0.483128158700487, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.7669597359450719, 'macro avg': {'precision': 0.48153270308740453, 'recall': 0.38965590614482154, 'f1-score': 0.386013864052636, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.7898131492697228, 'recall': 0.7669597359461998, 'f1-score': 0.7180676692646635, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.9196103144054228, 'recall': 0.058486082015264396, 'f1-score': 0.10997771685331008, 'support': 461597}, 'Insteon Camera': {'precision': 0.4904370350290654, 'recall': 0.3897412575695924, 'f1-score': 0.4343291544411843, 'support': 41779}, 'Other': {'precision': 0.6696076400545719, 'recall': 0.9744527406366389, 'f1-score': 0.793767683554395, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.02840466926070039, 'recall': 0.04459921798631476, 'f1-score': 0.03470571455738329, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.6594693895103504, 'macro avg': {'precision': 0.3513432764582934, 'recall': 0.24454654970130174, 'f1-score': 0.22879671156771209, 'support': 1488248}, 'weighted avg': {'precision': 0.7321500652475109, 'recall': 0.6594693895103504, 'f1-score': 0.5597860475850083, 'support': 1488248}}
[9];1;3;41;0.4163602870336148;0.7858776994151709;0.7762117243893385;['tcp.flags.rst', 'ip.len', 'ip.ttl'];0.4333385506192739;0.8152377602573165;0.47116293751212107;0.8343344180497265;0.4426102471240818;0.8201077678757589;1488248;0.3275599613642447;0.6600900592259339;0.6021892856566916;{'Laptop': {'precision': 0.9757873378406267, 'recall': 0.6025386724613576, 'f1-score': 0.7450293580786898, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.43562454639015247, 'recall': 0.9444097738304561, 'f1-score': 0.5962287651883214, 'support': 6887.999999999669}, 'Other': {'precision': 0.876100007534728, 'recall': 0.8119797461376942, 'f1-score': 0.8428221002730245, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.43992926698150725, 'recall': 0.24421925044213955, 'f1-score': 0.31408149866165325, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.7762117243893385, 'macro avg': {'precision': 0.4545735264578357, 'recall': 0.4338579071452746, 'f1-score': 0.4163602870336148, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.835802394203356, 'recall': 0.7762117243925928, 'f1-score': 0.7858776994151709, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8563407392543542, 'recall': 0.4992428460323616, 'f1-score': 0.6307571034041051, 'support': 461597}, 'Insteon Camera': {'precision': 0.08885244004598591, 'recall': 0.8454007994446971, 'f1-score': 0.16080420312684957, 'support': 41779}, 'Other': {'precision': 0.7672379394890343, 'recall': 0.6495835329997994, 'f1-score': 0.7035256608714351, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.7750035068031982, 'recall': 0.33754887585532745, 'f1-score': 0.4702728007830786, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.6021892856566916, 'macro avg': {'precision': 0.4145724375987621, 'recall': 0.38862934238869756, 'f1-score': 0.3275599613642447, 'support': 1488248}, 'weighted avg': {'precision': 0.7725733543702451, 'recall': 0.6021892856566916, 'f1-score': 0.6600900592259339, 'support': 1488248}}
[17];1;4;41;0.517653935991417;0.8641250577111114;0.8695805333822272;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value'];0.5028001782250867;0.8672444469002603;0.4793785845032637;0.8444845626767448;0.49615292223040974;0.8613366430162442;1488248;0.33053212789640357;0.7075532446878561;0.721830635754256;{'Laptop': {'precision': 0.9014772770411736, 'recall': 0.627462172615804, 'f1-score': 0.7399153589018028, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.7885841615487679, 'recall': 0.9476696525421887, 'f1-score': 0.8608387463977598, 'support': 6887.999999999669}, 'Other': {'precision': 0.8854432019314094, 'recall': 0.9332323235805329, 'f1-score': 0.9087098882077194, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.5905704023559211, 'recall': 0.6024674812454132, 'f1-score': 0.59645962244122, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.8695805333822272, 'macro avg': {'precision': 0.5276791738128787, 'recall': 0.5184719383306565, 'f1-score': 0.517653935991417, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8703887906384555, 'recall': 0.8695805333830013, 'f1-score': 0.8641250577111114, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.6395821639308352, 'recall': 0.5060366510180959, 'f1-score': 0.5650256648427937, 'support': 461597}, 'Insteon Camera': {'precision': 0.7145045313364251, 'recall': 0.40194834725579837, 'f1-score': 0.5144756594467081, 'support': 41779}, 'Other': {'precision': 0.7502231363442836, 'recall': 0.8553784168952653, 'f1-score': 0.7993573217335217, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.37232845894263217, 'recall': 0.06066715542521994, 'f1-score': 0.10433412135539795, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.721830635754256, 'macro avg': {'precision': 0.412773048425696, 'recall': 0.3040050950990632, 'f1-score': 0.33053212789640357, 'support': 1488248}, 'weighted avg': {'precision': 0.7074796519153549, 'recall': 0.721830635754256, 'f1-score': 0.7075532446878561, 'support': 1488248}}
[11];1;5;41;0.48779222361451263;0.8266382323762406;0.8331807554709412;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport'];0.47578097768642325;0.8403371636286354;0.525192650089111;0.852751460096671;0.4879841541346786;0.8435795536734733;1488248;0.3590141145389582;0.7838277274327031;0.7928712150125516;{'Laptop': {'precision': 0.9036380639189661, 'recall': 0.5360746864446356, 'f1-score': 0.6729363085135656, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.6634162782274178, 'recall': 0.9361486143388728, 'f1-score': 0.7765314586219088, 'support': 6887.999999999669}, 'Other': {'precision': 0.8668984423532079, 'recall': 0.9063647980433602, 'f1-score': 0.8861924318149752, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.5614449142352458, 'recall': 0.6240472115219002, 'f1-score': 0.5910931427366262, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.8331807554709412, 'macro avg': {'precision': 0.4992329497891396, 'recall': 0.5004392183914614, 'f1-score': 0.48779222361451263, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8436037552501703, 'recall': 0.8331807554718718, 'f1-score': 0.8266382323762406, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8934925697224673, 'recall': 0.5705149730175889, 'f1-score': 0.6963774084832555, 'support': 461597}, 'Insteon Camera': {'precision': 0.5285535639849938, 'recall': 0.4552526388855645, 'f1-score': 0.4891723676765598, 'support': 41779}, 'Other': {'precision': 0.7912652724265912, 'recall': 0.9305545305144066, 'f1-score': 0.855275892213109, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.09207004664678443, 'recall': 0.14711632453567938, 'f1-score': 0.11325901886082498, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.7928712150125516, 'macro avg': {'precision': 0.3842302421301394, 'recall': 0.35057307782553987, 'f1-score': 0.3590141145389582, 'support': 1488248}, 'weighted avg': {'precision': 0.8044605067331029, 'recall': 0.7928712150125516, 'f1-score': 0.7838277274327031, 'support': 1488248}}
[14];1;6;41;0.4277009273540761;0.7918114358650541;0.8139622994127368;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport', 'udp.length'];0.4432403988462142;0.8069700470951326;0.4497427131338583;0.7573572652912625;0.444136357116833;0.7939293240084525;1488248;0.3084914490724535;0.7249711060767475;0.743266579226043;{'Laptop': {'precision': 0.8899323791870891, 'recall': 0.36149060826341, 'f1-score': 0.5141382255108521, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.6626533133325009, 'recall': 0.9419530787398029, 'f1-score': 0.7779955654103545, 'support': 6887.999999999669}, 'Other': {'precision': 0.8377268095343127, 'recall': 0.9341954754106848, 'f1-score': 0.8833351233815272, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.9005707562736562, 'recall': 0.24949290060853083, 'f1-score': 0.3907366498217231, 'support': 985.9999999999313}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.8139622994127368, 'macro avg': {'precision': 0.5484805430545932, 'recall': 0.4145220105037381, 'f1-score': 0.4277009273540761, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8265519624258985, 'recall': 0.8139622994143629, 'f1-score': 0.7918114358650541, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8326990284551616, 'recall': 0.4175915354735841, 'f1-score': 0.5562356078051146, 'support': 461597}, 'Insteon Camera': {'precision': 0.2039101335139541, 'recall': 0.42514181765958975, 'f1-score': 0.2756234191456015, 'support': 41779}, 'Other': {'precision': 0.7657354008080659, 'recall': 0.9292728537110936, 'f1-score': 0.8396149330828832, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.7650574712643678, 'recall': 0.10166177908113393, 'f1-score': 0.17947473440112172, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.743266579226043, 'macro avg': {'precision': 0.4279003390069249, 'recall': 0.31227799765423353, 'f1-score': 0.3084914490724535, 'support': 1488248}, 'weighted avg': {'precision': 0.7673899320653067, 'recall': 0.743266579226043, 'f1-score': 0.7249711060767475, 'support': 1488248}}
[12];1;7;41;0.4422400167932106;0.7831631178580379;0.7959937489697372;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport', 'udp.length', 'srcport'];0.42446950373673126;0.792208529367954;0.42906546766220055;0.7801417057021126;0.4246482489688758;0.7890743988588055;1488248;0.25137612604911047;0.6129293193986444;0.6292842321978594;{'Laptop': {'precision': 0.928528288564186, 'recall': 0.4031675168484426, 'f1-score': 0.5622191538073714, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.5766698777859242, 'recall': 0.923685594232125, 'f1-score': 0.710047277025628, 'support': 6887.999999999669}, 'Other': {'precision': 0.8383665338155625, 'recall': 0.894782208215864, 'f1-score': 0.8656561785256934, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.6193778959602488, 'recall': 0.4414867671206717, 'f1-score': 0.5155174914005709, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.7959937489697372, 'macro avg': {'precision': 0.49382376602098693, 'recall': 0.4438536810695172, 'f1-score': 0.4422400167932106, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8200178758786058, 'recall': 0.7959937489717522, 'f1-score': 0.7831631178580379, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.4628772369868993, 'recall': 0.3262282900452126, 'f1-score': 0.3827210540294285, 'support': 461597}, 'Insteon Camera': {'precision': 0.2649020775137, 'recall': 0.41537614591062494, 'f1-score': 0.3234970640320626, 'support': 41779}, 'Other': {'precision': 0.7066257349172301, 'recall': 0.7981956734832192, 'f1-score': 0.749624641481363, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.06620663931368892, 'recall': 0.04337732160312806, 'f1-score': 0.052413996751808654, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.6292842321978594, 'macro avg': {'precision': 0.2501019481219197, 'recall': 0.2638629051736975, 'f1-score': 0.25137612604911047, 'support': 1488248}, 'weighted avg': {'precision': 0.6085024500358689, 'recall': 0.6292842321978594, 'f1-score': 0.6129293193986444, 'support': 1488248}}
[13];1;8;41;0.44894054969260194;0.8097686927089862;0.8269334795670777;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport', 'udp.length', 'srcport', 'Packet Length Mean'];0.4366750739133178;0.7980865144404677;0.39992581611578176;0.794218079426636;0.4303576319260951;0.7974332430896078;1488248;0.279796480583427;0.7203381480626756;0.7195023947621633;{'Laptop': {'precision': 0.8931487464284017, 'recall': 0.4260314645257866, 'f1-score': 0.5768877751812735, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.7829788657206977, 'recall': 0.8685394889663143, 'f1-score': 0.8235428470710018, 'support': 6887.999999999669}, 'Other': {'precision': 0.8308850296952083, 'recall': 0.9453838578994896, 'f1-score': 0.8844441292983132, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.5062521371489158, 'recall': 0.342765784474733, 'f1-score': 0.4087685466050232, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.8269334795670777, 'macro avg': {'precision': 0.5022107964988706, 'recall': 0.43045343264438723, 'f1-score': 0.44894054969260194, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8296921962124546, 'recall': 0.826933479567383, 'f1-score': 0.8097686927089862, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8998601044869312, 'recall': 0.49330043306174, 'f1-score': 0.6372580435266278, 'support': 461597}, 'Insteon Camera': {'precision': 0.11878868186739493, 'recall': 0.35189927954235384, 'f1-score': 0.1776193784167447, 'support': 41779}, 'Other': {'precision': 0.7471353487360333, 'recall': 0.8604302816674481, 'f1-score': 0.799790523507649, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.18048090523338048, 'recall': 0.038978494623655914, 'f1-score': 0.06411093804954028, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.7195023947621633, 'macro avg': {'precision': 0.3243775067206233, 'recall': 0.29076808148253297, 'f1-score': 0.279796480583427, 'support': 1488248}, 'weighted avg': {'precision': 0.7673785577227984, 'recall': 0.7195023947621633, 'f1-score': 0.7203381480626756, 'support': 1488248}}
[11];1;9;41;0.39797402057014514;0.7861871201968045;0.7895364381238708;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport', 'udp.length', 'srcport', 'Packet Length Mean', 'Packet Length Total'];0.36341163619498973;0.7878023861391377;0.5056175616910533;0.8522744058380702;0.41304031644869127;0.8055131664446374;1488248;0.32474516492933764;0.7507472593807979;0.7673358203740237;{'Laptop': {'precision': 0.9233312834323067, 'recall': 0.515306211697938, 'f1-score': 0.6614568957340033, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.5087450314889632, 'recall': 0.9445277877931652, 'f1-score': 0.6612988459804792, 'support': 6887.999999999669}, 'Other': {'precision': 0.8580790741681918, 'recall': 0.8581170331067777, 'f1-score': 0.8580980532176957, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.41762826880006965, 'recall': 0.13759296822178152, 'f1-score': 0.2069903284886926, 'support': 985.9999999999313}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.7895364381238708, 'macro avg': {'precision': 0.4512972763149219, 'recall': 0.4092573334699437, 'f1-score': 0.39797402057014514, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8215599587828846, 'recall': 0.7895364381251496, 'f1-score': 0.7861871201968045, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8499495358406441, 'recall': 0.4980578296652708, 'f1-score': 0.6280737508981186, 'support': 461597}, 'Insteon Camera': {'precision': 0.44245543009048116, 'recall': 0.43423729624931184, 'f1-score': 0.43830784470053874, 'support': 41779}, 'Other': {'precision': 0.7673287992455021, 'recall': 0.9286055086115583, 'f1-score': 0.8402987622746079, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.04817355240070187, 'recall': 0.036901270772238516, 'f1-score': 0.04179063170276068, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.7673358203740237, 'macro avg': {'precision': 0.35131788626288823, 'recall': 0.3163003175497299, 'f1-score': 0.32474516492933764, 'support': 1488248}, 'weighted avg': {'precision': 0.7725825432279002, 'recall': 0.7673358203740237, 'f1-score': 0.7507472593807979, 'support': 1488248}}
[12];1;10;41;0.468573765607043;0.8088340276653592;0.8265341975524927;['tcp.flags.rst', 'ip.len', 'ip.ttl', 'tcp.window_size_value', 'dstport', 'udp.length', 'srcport', 'Packet Length Mean', 'Packet Length Total', 'tcp.hdr_len'];0.4501494845221555;0.815575328800875;0.3957086802495942;0.8003174143687716;0.441440476738657;0.8120946777275612;1488248;0.33018957889168477;0.7555956149568716;0.780339029516586;{'Laptop': {'precision': 0.8109764097827367, 'recall': 0.4139071236498121, 'f1-score': 0.5480829874173638, 'support': 11484.000000007463}, 'Insteon Camera': {'precision': 0.8557997862546283, 'recall': 0.8313250096786295, 'f1-score': 0.8433848726614799, 'support': 6887.999999999669}, 'Other': {'precision': 0.8264333713373072, 'recall': 0.9518951082215464, 'f1-score': 0.884738553635685, 'support': 41637.999999815}, 'Withings Aura smart sleep sensor': {'precision': 0.6731619510645925, 'recall': 0.4442190669371507, 'f1-score': 0.5352361799277293, 'support': 985.9999999999312}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 159.99999999998053}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.999999999999969}, 'accuracy': 0.8265341975524927, 'macro avg': {'precision': 0.5277285864065441, 'recall': 0.44022438474785647, 'f1-score': 0.468573765607043, 'support': 61161.999999822045}, 'weighted avg': {'precision': 0.8221243977822577, 'recall': 0.8265341975534384, 'f1-score': 0.8088340276653592, 'support': 61161.999999822045}};{'Laptop': {'precision': 0.8652952241776009, 'recall': 0.4823189925411127, 'f1-score': 0.6193884208081036, 'support': 461597}, 'Insteon Camera': {'precision': 0.7648812810601877, 'recall': 0.33155413006534384, 'f1-score': 0.4625891232112742, 'support': 41779}, 'Other': {'precision': 0.7633353234028041, 'recall': 0.9609031403680377, 'f1-score': 0.8508003096131952, 'support': 962021}, 'Withings Aura smart sleep sensor': {'precision': 0.2405686167304538, 'recall': 0.026881720430107527, 'f1-score': 0.04835961971753586, 'support': 16368}, 'iHome': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6192}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.780339029516586, 'macro avg': {'precision': 0.4390134075618411, 'recall': 0.30027633056743364, 'f1-score': 0.33018957889168477, 'support': 1488248}, 'weighted avg': {'precision': 0.7859280798025965, 'recall': 0.780339029516586, 'f1-score': 0.7555956149568716, 'support': 1488248}}
