depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[13];1;1;41;0.5439577686538691;0.8888759587365691;0.8975269883231827;['udp.length'];0.5113900936542218;0.8886243209488003;0.36840825022631823;0.820628723171764;0.48195001861633036;0.8656592837790942;339983;0.18399196804832565;0.4720773444169668;0.3654182709135457;{'Other': {'precision': 0.9165288750076236, 'recall': 0.967827464673167, 'f1-score': 0.9414799087826914, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.729796591532075, 'recall': 0.49915397631135183, 'f1-score': 0.5928324215691604, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.25000000000000006, 'recall': 0.06060606060606035, 'f1-score': 0.09756097560975578, 'support': 22.000000000000092}, 'accuracy': 0.8975269883231827, 'macro avg': {'precision': 0.6321084888465661, 'recall': 0.5091958338635264, 'f1-score': 0.5439577686538691, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.8879647661302524, 'recall': 0.8975269883220878, 'f1-score': 0.8888759587365691, 'support': 12104.000000021117}};{'Other': {'precision': 0.7605885690322899, 'recall': 0.4107587116456126, 'f1-score': 0.5334342527815922, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.0050617499675890175, 'recall': 0.022813881408465016, 'f1-score': 0.008285241106974641, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.009569377990430622, 'recall': 0.011049723756906077, 'f1-score': 0.010256410256410255, 'support': 362}, 'accuracy': 0.3654182709135457, 'macro avg': {'precision': 0.2584065656634365, 'recall': 0.1482074389369946, 'f1-score': 0.18399196804832565, 'support': 339983}, 'weighted avg': {'precision': 0.6723167566205461, 'recall': 0.3654182709135457, 'f1-score': 0.4720773444169668, 'support': 339983}}
[12];1;2;41;0.5809567268261425;0.9123375719095677;0.9163614989533609;['udp.length', 'ip.len'];0.5113072955731554;0.8885527133628972;0.5181723883458186;0.8856232281960392;0.5218901464192108;0.8874527735130566;339983;0.18714349923884607;0.47383915889880246;0.36798016371406805;{'Other': {'precision': 0.9365457260088167, 'recall': 0.967339016068388, 'f1-score': 0.9516933468482887, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.7706626494768323, 'recall': 0.6305743560819982, 'f1-score': 0.6936158580203831, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.25000000000000006, 'recall': 0.06060606060606035, 'f1-score': 0.09756097560975578, 'support': 22.000000000000092}, 'accuracy': 0.9163614989533609, 'macro avg': {'precision': 0.6524027918285497, 'recall': 0.5528398109188155, 'f1-score': 0.5809567268261425, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9109992371900085, 'recall': 0.91636149895215, 'f1-score': 0.9123375719095677, 'support': 12104.000000021117}};{'Other': {'precision': 0.764919422397905, 'recall': 0.4105322404990358, 'f1-score': 0.5343036965115473, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.010296161779212627, 'recall': 0.04666937655606931, 'f1-score': 0.016870390948580664, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.009569377990430622, 'recall': 0.011049723756906077, 'f1-score': 0.010256410256410255, 'support': 362}, 'accuracy': 0.36798016371406805, 'macro avg': {'precision': 0.2615949873891828, 'recall': 0.15608378027067038, 'f1-score': 0.18714349923884607, 'support': 339983}, 'weighted avg': {'precision': 0.676747609393877, 'recall': 0.367980163714068, 'f1-score': 0.47383915889880246, 'support': 339983}}
[16];1;3;41;0.6715980783283623;0.9501102236658293;0.9527270599251316;['udp.length', 'ip.len', 'ip.ttl'];0.6737913633558458;0.9498443956761328;0.5941156892608952;0.930394723112013;0.6459952979477294;0.9428650358632958;339983;0.36213858477355343;0.8453494926180847;0.8887856157513758;{'Other': {'precision': 0.9560083661278638, 'recall': 0.9901518090988581, 'f1-score': 0.9727805812539274, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.929954311654345, 'recall': 0.7452528670803111, 'f1-score': 0.8274213790530482, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.5033557046979868, 'recall': 0.1363636363636358, 'f1-score': 0.2145922746781109, 'support': 22.000000000000092}, 'accuracy': 0.9527270599251316, 'macro avg': {'precision': 0.7964394608267318, 'recall': 0.6239227708476017, 'f1-score': 0.6715980783283623, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9513692222801353, 'recall': 0.9527270599251756, 'f1-score': 0.9501102236658293, 'support': 12104.000000021117}};{'Other': {'precision': 0.8899797931772258, 'recall': 0.9974588605170869, 'f1-score': 0.9406591611846497, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.8837363365352766, 'recall': 0.06778110868350186, 'f1-score': 0.12590547651070055, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.018018018018018018, 'recall': 0.022099447513812154, 'f1-score': 0.019851116625310174, 'support': 362}, 'accuracy': 0.8887856157513758, 'macro avg': {'precision': 0.5972447159101735, 'recall': 0.3624464722381336, 'f1-score': 0.36213858477355343, 'support': 339983}, 'weighted avg': {'precision': 0.8883285191342648, 'recall': 0.8887856157513758, 'f1-score': 0.8453494926180847, 'support': 339983}}
[9];1;4;41;0.9169802604669046;0.9827036938528905;0.9826682675201285;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max'];0.7533686086809932;0.9322981381831544;0.9316465392301566;0.9924514910034365;0.835680523533525;0.9565915260311486;339983;0.5935011701616517;0.8612782448945993;0.8963006973878106;{'Other': {'precision': 0.9910167699874779, 'recall': 0.9886119021421537, 'f1-score': 0.9898128753390154, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.9362290290398126, 'recall': 0.9507122507123013, 'f1-score': 0.9434150568771938, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.8680425997908437, 'recall': 0.7728995621236997, 'f1-score': 0.8177128491845046, 'support': 22.000000000000092}, 'accuracy': 0.9826682675201285, 'macro avg': {'precision': 0.9317627996060448, 'recall': 0.9040745716593849, 'f1-score': 0.9169802604669046, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9827679186619359, 'recall': 0.9826682675200943, 'f1-score': 0.9827036938528905, 'support': 12104.000000021117}};{'Other': {'precision': 0.8974452806531826, 'recall': 0.996449731731605, 'f1-score': 0.9443597488802825, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.8886608517188301, 'recall': 0.13200548752604035, 'f1-score': 0.22986573469884317, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.448871181938911, 'recall': 0.9337016574585635, 'f1-score': 0.6062780269058295, 'support': 362}, 'accuracy': 0.8963006973878106, 'macro avg': {'precision': 0.7449924381036412, 'recall': 0.6873856255720696, 'f1-score': 0.5935011701616517, 'support': 339983}, 'weighted avg': {'precision': 0.8959506279339332, 'recall': 0.8963006973878106, 'f1-score': 0.8612782448945993, 'support': 339983}}
[10];1;5;41;0.8673216882076816;0.9796055013073258;0.9792875098554001;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport'];0.7680215696296747;0.9120158699710476;0.8882580185975538;0.9942367087500086;0.808975991168991;0.9438302933681177;339983;0.6250435559979309;0.8629862992721186;0.896433056946965;{'Other': {'precision': 0.9972539497342584, 'recall': 0.9783994401796787, 'f1-score': 0.987736726612228, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.887750009058404, 'recall': 0.9899470899471446, 'f1-score': 0.9360674184705884, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.9218750000000001, 'recall': 0.5363636363636347, 'f1-score': 0.6781609195402286, 'support': 22.000000000000092}, 'accuracy': 0.9792875098554001, 'macro avg': {'precision': 0.9356263195975542, 'recall': 0.8349033888301527, 'f1-score': 0.8673216882076816, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9810767501546074, 'recall': 0.979287509855302, 'f1-score': 0.9796055013073258, 'support': 12104.000000021117}};{'Other': {'precision': 0.8981831183542003, 'recall': 0.9955938040158663, 'f1-score': 0.9443831920667466, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.8103646281940856, 'recall': 0.14341242823027286, 'f1-score': 0.2436971162148161, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9845360824742269, 'recall': 0.5276243093922652, 'f1-score': 0.6870503597122302, 'support': 362}, 'accuracy': 0.896433056946965, 'macro avg': {'precision': 0.8976946096741708, 'recall': 0.5555435138794681, 'f1-score': 0.6250435559979309, 'support': 339983}, 'weighted avg': {'precision': 0.8881077568312093, 'recall': 0.896433056946965, 'f1-score': 0.8629862992721186, 'support': 339983}}
[9];1;6;41;0.9143023459748311;0.9803733984603437;0.9800015156373937;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration'];0.7856518714886346;0.9517325097764101;0.9499837562032013;0.9951388442518032;0.8660284487401029;0.9687651644332065;339983;0.6920746702538995;0.864683905972411;0.8986302256289285;{'Other': {'precision': 0.9973585878780403, 'recall': 0.9791124744905502, 'f1-score': 0.9881513102057827, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.891014024561049, 'recall': 0.9883671742809347, 'f1-score': 0.9371691216691067, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.9416609301174603, 'recall': 0.7224020795791131, 'f1-score': 0.8175866060496039, 'support': 22.000000000000092}, 'accuracy': 0.9800015156373937, 'macro avg': {'precision': 0.9433445141855165, 'recall': 0.8966272427835328, 'f1-score': 0.9143023459748311, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9816799478225694, 'recall': 0.9800015156373018, 'f1-score': 0.9803733984603437, 'support': 12104.000000021117}};{'Other': {'precision': 0.8987598904214812, 'recall': 0.9975920788386027, 'f1-score': 0.9456005657137084, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.8954797779540048, 'recall': 0.1434378334434226, 'f1-score': 0.24726826811483127, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8403990024937655, 'recall': 0.930939226519337, 'f1-score': 0.8833551769331586, 'support': 362}, 'accuracy': 0.8986302256289285, 'macro avg': {'precision': 0.8782128902897505, 'recall': 0.6906563796004542, 'f1-score': 0.6920746702538995, 'support': 339983}, 'weighted avg': {'precision': 0.8983179905959763, 'recall': 0.8986302256289285, 'f1-score': 0.864683905972411, 'support': 339983}}
[9];1;7;41;0.8464743324478666;0.977750450591024;0.9780629457416792;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'tcp.window_size_value'];0.7992245125666938;0.9775775191257883;0.8678583359129134;0.9959611177543949;0.8331097513787687;0.9849843605823988;339983;0.5982711343155792;0.8646151904777278;0.8994861507781271;{'Other': {'precision': 0.9824350876475242, 'recall': 0.9919788166587212, 'f1-score': 0.9871838863807332, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.9535170691546282, 'recall': 0.9024440684339657, 'f1-score': 0.9272778462669271, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7211604622561266, 'recall': 0.5514064085834414, 'f1-score': 0.6249612646959394, 'support': 22.000000000000092}, 'accuracy': 0.9780629457416792, 'macro avg': {'precision': 0.8857042063527597, 'recall': 0.8152764312253762, 'f1-score': 0.8464743324478666, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9777242739870471, 'recall': 0.9780629457416816, 'f1-score': 0.977750450591024, 'support': 12104.000000021117}};{'Other': {'precision': 0.8981368429872757, 'recall': 0.9995537186229222, 'f1-score': 0.9461353072004011, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.9825343076100517, 'recall': 0.1400589400945074, 'f1-score': 0.24516932381651213, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8269230769230769, 'recall': 0.47513812154696133, 'f1-score': 0.6035087719298246, 'support': 362}, 'accuracy': 0.8994861507781271, 'macro avg': {'precision': 0.9025314091734682, 'recall': 0.5382502600881303, 'f1-score': 0.5982711343155792, 'support': 339983}, 'weighted avg': {'precision': 0.9078322501669477, 'recall': 0.8994861507781271, 'f1-score': 0.8646151904777278, 'support': 339983}}
[11];1;8;41;0.7306468329089008;0.9890723514620922;0.9893761544719758;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'tcp.window_size_value', 'srcport'];0.739700262025954;0.992818321252559;0.7128852469657107;0.988056793690305;0.7261192105212477;0.9909043853699842;339983;0.41297177906387916;0.8636572586252971;0.8981331419512152;{'Other': {'precision': 0.9959275172004909, 'recall': 0.9915810431398095, 'f1-score': 0.9937495275272844, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.9564072398937666, 'recall': 0.9867362286144554, 'f1-score': 0.9713350436618498, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.3451983023313177, 'recall': 0.16893939393939325, 'f1-score': 0.22685592753756792, 'support': 22.000000000000092}, 'accuracy': 0.9893761544719758, 'macro avg': {'precision': 0.7658443531418584, 'recall': 0.715752221897886, 'f1-score': 0.7306468329089008, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9889558140947577, 'recall': 0.9893761544719466, 'f1-score': 0.9890723514620922, 'support': 12104.000000021117}};{'Other': {'precision': 0.8978891172399743, 'recall': 0.9981715785371962, 'f1-score': 0.9453783831950957, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.9273476112026359, 'recall': 0.14300594481987705, 'f1-score': 0.24779890825849626, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.09243697478991597, 'recall': 0.03038674033149171, 'f1-score': 0.045738045738045734, 'support': 362}, 'accuracy': 0.8981331419512152, 'macro avg': {'precision': 0.6392245677441754, 'recall': 0.3905214212295216, 'f1-score': 0.41297177906387916, 'support': 339983}, 'weighted avg': {'precision': 0.9004421024297966, 'recall': 0.8981331419512152, 'f1-score': 0.8636572586252971, 'support': 339983}}
[11];1;9;41;0.8664610796549961;0.9891951489295929;0.9891805934432014;['udp.length', 'ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'tcp.window_size_value', 'srcport', 'Flow IAT Mean'];0.9395409358030644;0.9717189197388927;0.8530946365506167;0.9945643525177179;0.8935414031756483;0.9807215617343338;339983;0.594508996191859;0.8646794066203654;0.8988272943058918;{'Other': {'precision': 0.9973972732183408, 'recall': 0.9900743443062843, 'f1-score': 0.9937223179312038, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.9461663692263795, 'recall': 0.9892413987592201, 'f1-score': 0.9672245384512692, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7330120161268862, 'recall': 0.5654767082996729, 'f1-score': 0.6384363825825151, 'support': 22.000000000000092}, 'accuracy': 0.9891805934432014, 'macro avg': {'precision': 0.8921918861905355, 'recall': 0.8482641504550591, 'f1-score': 0.8664610796549961, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.9894124030569406, 'recall': 0.9891805934431753, 'f1-score': 0.9891951489295929, 'support': 12104.000000021117}};{'Other': {'precision': 0.8984784355103655, 'recall': 0.9982581704461815, 'f1-score': 0.9457437963724024, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.9309947299077734, 'recall': 0.14361566993547076, 'f1-score': 0.2488444777039222, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.6416938110749185, 'recall': 0.5441988950276243, 'f1-score': 0.5889387144992526, 'support': 362}, 'accuracy': 0.8988272943058918, 'macro avg': {'precision': 0.8237223254976858, 'recall': 0.5620242451364255, 'f1-score': 0.594508996191859, 'support': 339983}, 'weighted avg': {'precision': 0.9019696405001008, 'recall': 0.8988272943058918, 'f1-score': 0.8646794066203654, 'support': 339983}}
[13];1;1;85;0.5439577686538691;0.8888759587365691;0.8975269883231827;['udp.length'];0.5113900936542218;0.8886243209488003;0.36840825022631823;0.820628723171764;0.48195001861633036;0.8656592837790942;339983;0.18399196804832565;0.4720773444169668;0.3654182709135457;{'Other': {'precision': 0.9165288750076236, 'recall': 0.967827464673167, 'f1-score': 0.9414799087826914, 'support': 10309.000000021171}, 'Withings Smart Baby Monitor': {'precision': 0.729796591532075, 'recall': 0.49915397631135183, 'f1-score': 0.5928324215691604, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.25000000000000006, 'recall': 0.06060606060606035, 'f1-score': 0.09756097560975578, 'support': 22.000000000000092}, 'accuracy': 0.8975269883231827, 'macro avg': {'precision': 0.6321084888465661, 'recall': 0.5091958338635264, 'f1-score': 0.5439577686538691, 'support': 12104.000000021117}, 'weighted avg': {'precision': 0.8879647661302524, 'recall': 0.8975269883220878, 'f1-score': 0.8888759587365691, 'support': 12104.000000021117}};{'Other': {'precision': 0.7605885690322899, 'recall': 0.4107587116456126, 'f1-score': 0.5334342527815922, 'support': 300259}, 'Withings Smart Baby Monitor': {'precision': 0.0050617499675890175, 'recall': 0.022813881408465016, 'f1-score': 0.008285241106974641, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.009569377990430622, 'recall': 0.011049723756906077, 'f1-score': 0.010256410256410255, 'support': 362}, 'accuracy': 0.3654182709135457, 'macro avg': {'precision': 0.2584065656634365, 'recall': 0.1482074389369946, 'f1-score': 0.18399196804832565, 'support': 339983}, 'weighted avg': {'precision': 0.6723167566205461, 'recall': 0.3654182709135457, 'f1-score': 0.4720773444169668, 'support': 339983}}
