depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[12];1;1;41;0.5545205686040063;0.9705363104464139;0.9749602467316454;['ip.ttl'];0.5332343250315965;0.977048272006852;0.30939806183893315;0.9862821521659483;0.5157582428822377;0.9790303898112903;1451836;0.45178595895097284;0.9718459393146945;0.9725788587691723;{'Other': {'precision': 0.9797665884807112, 'recall': 0.9967098567339041, 'f1-score': 0.9881655998498257, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7575742031086905, 'recall': 0.49834327369122056, 'f1-score': 0.6012051196280147, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.810543155328714, 'recall': 0.5135135135132268, 'f1-score': 0.6287115549381851, 'support': 592.0000000003295}, 'accuracy': 0.9749602467316454, 'macro avg': {'precision': 0.6369709867295289, 'recall': 0.5021416609845879, 'f1-score': 0.5545205686040063, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9682857157035156, 'recall': 0.9749602467317359, 'f1-score': 0.9705363104464139, 'support': 59094.00000000135}};{'Other': {'precision': 0.9833232029198129, 'recall': 0.9897427208692989, 'f1-score': 0.9865225187030215, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.10858294930875576, 'recall': 0.19701086956521738, 'f1-score': 0.14000297088532382, 'support': 9568}, 'Netatmo weather station': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5177}, 'Smart Things': {'precision': 0.9551128999249607, 'recall': 0.5286787750632481, 'f1-score': 0.6806183462155461, 'support': 26483}, 'accuracy': 0.9725788587691723, 'macro avg': {'precision': 0.5117547630383823, 'recall': 0.4288580913744411, 'f1-score': 0.45178595895097284, 'support': 1451836}, 'weighted avg': {'precision': 0.9735374747643746, 'recall': 0.9725788587691723, 'f1-score': 0.9718459393146945, 'support': 1451836}}
[13];1;2;41;0.8545466087701834;0.9895654508683651;0.9902739452151094;['ip.ttl', 'ip.len'];0.7632204934394311;0.989266435274114;0.6367517586391892;0.9977936757757202;0.7978231449894895;0.9915298144281699;1451836;0.4765126962232266;0.963415636543195;0.9743421433274833;{'Other': {'precision': 0.9943380050316014, 'recall': 0.99819871164415, 'f1-score': 0.9962646181168239, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8717655876369615, 'recall': 0.8992710404241854, 'f1-score': 0.8853047244522882, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.8828061227898404, 'recall': 0.868800912349268, 'f1-score': 0.8757475272944669, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.926829268292683, 'recall': 0.5135135135132277, 'f1-score': 0.6608695652171547, 'support': 592.0000000003295}, 'accuracy': 0.9902739452151094, 'macro avg': {'precision': 0.9189347459377716, 'recall': 0.8199460444827077, 'f1-score': 0.8545466087701834, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9900636818043042, 'recall': 0.9902739452145682, 'f1-score': 0.9895654508683651, 'support': 59094.00000000135}};{'Other': {'precision': 0.9745831231384798, 'recall': 0.9997745652938308, 'f1-score': 0.9870181315039693, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8760045924225028, 'recall': 0.15948996655518394, 'f1-score': 0.2698496905393457, 'support': 9568}, 'Netatmo weather station': {'precision': 0.9156760772659732, 'recall': 0.4761444852231022, 'f1-score': 0.6265090862879655, 'support': 5177}, 'Smart Things': {'precision': 0.9156626506024096, 'recall': 0.011479062039799117, 'f1-score': 0.022673876561625957, 'support': 26483}, 'accuracy': 0.9743421433274833, 'macro avg': {'precision': 0.9204816108573414, 'recall': 0.411722019777979, 'f1-score': 0.4765126962232266, 'support': 1451836}, 'weighted avg': {'precision': 0.972648640157933, 'recall': 0.9743421433274833, 'f1-score': 0.963415636543195, 'support': 1451836}}
[13];1;3;41;0.7758076467551522;0.9867600774995496;0.9876018070898166;['ip.ttl', 'ip.len', 'udp.length'];0.7493353564296882;0.9886673110515075;0.5647156124252166;0.9930010687290367;0.7468614806495938;0.989658247105669;1451836;0.6070998384979657;0.9796653523175356;0.9830621364947556;{'Other': {'precision': 0.9932583022609703, 'recall': 0.9967617977350413, 'f1-score': 0.9950069659888199, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8605871507441942, 'recall': 0.9092731091406346, 'f1-score': 0.8842604944353903, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.7942861178548644, 'recall': 0.49193548387096175, 'f1-score': 0.6075741928057137, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.7633219879189114, 'recall': 0.5168916452406302, 'f1-score': 0.6163889337906852, 'support': 592.0000000003295}, 'accuracy': 0.9876018070898166, 'macro avg': {'precision': 0.8528633896947351, 'recall': 0.7287155089968169, 'f1-score': 0.7758076467551522, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.986731951574571, 'recall': 0.9876018070895599, 'f1-score': 0.9867600774995496, 'support': 59094.00000000135}};{'Other': {'precision': 0.983926788917819, 'recall': 0.9992457153227544, 'f1-score': 0.9915270869428506, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7950924155513066, 'recall': 0.26076505016722407, 'f1-score': 0.3927278451125452, 'support': 9568}, 'Netatmo weather station': {'precision': 0.8305785123966942, 'recall': 0.23295344794282402, 'f1-score': 0.36385578518630257, 'support': 5177}, 'Smart Things': {'precision': 0.9539384028345598, 'recall': 0.5286410149907488, 'f1-score': 0.680288636750164, 'support': 26483}, 'accuracy': 0.9830621364947556, 'macro avg': {'precision': 0.890884029925095, 'recall': 0.5054013071058878, 'f1-score': 0.6070998384979657, 'support': 1451836}, 'weighted avg': {'precision': 0.9815884850456437, 'recall': 0.9830621364947556, 'f1-score': 0.9796653523175356, 'support': 1451836}}
[9];1;4;41;0.9660693171113013;0.996308613229325;0.9963358125629097;['ip.ttl', 'ip.len', 'udp.length', 'dstport'];0.9348283689145729;0.9957145587712495;0.753017445168064;0.9982238160938293;0.9414101898611577;0.9963701804031947;1451836;0.6760446982007696;0.9815941618421972;0.9845416424444634;{'Other': {'precision': 0.9975706564242577, 'recall': 0.9986336859208527, 'f1-score': 0.9981018881274563, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9762537688471647, 'recall': 0.9218025182240114, 'f1-score': 0.9482470974953253, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.9235531028841095, 'recall': 0.9838709677419067, 'f1-score': 0.9527583289828239, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9591326105087709, 'recall': 0.971283783783571, 'f1-score': 0.9651699538395997, 'support': 592.0000000003295}, 'accuracy': 0.9963358125629097, 'macro avg': {'precision': 0.9641275346660758, 'recall': 0.9688977389175855, 'f1-score': 0.9660693171113013, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9963306175063681, 'recall': 0.9963358125626746, 'f1-score': 0.996308613229325, 'support': 59094.00000000135}};{'Other': {'precision': 0.9847911294157573, 'recall': 0.999766767237957, 'f1-score': 0.992222444626824, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8468279004556607, 'recall': 0.2525083612040134, 'f1-score': 0.38901859753643026, 'support': 9568}, 'Netatmo weather station': {'precision': 0.9305715381664749, 'recall': 0.46861116476723974, 'f1-score': 0.6233299075025694, 'support': 5177}, 'Smart Things': {'precision': 0.9968568834252985, 'recall': 0.5389117547105691, 'f1-score': 0.6996078431372549, 'support': 26483}, 'accuracy': 0.9845416424444634, 'macro avg': {'precision': 0.9397618628657979, 'recall': 0.5649495119799448, 'f1-score': 0.6760446982007696, 'support': 1451836}, 'weighted avg': {'precision': 0.9839086677360959, 'recall': 0.9845416424444634, 'f1-score': 0.9815941618421972, 'support': 1451836}}
[9];1;5;41;0.9654875931492263;0.9957910653177767;0.9958456019229074;['ip.ttl', 'ip.len', 'udp.length', 'dstport', 'srcport'];0.9590721710696881;0.9964874023564447;0.6386830712583397;0.9977229250939094;0.9553918343124744;0.9968513088181794;1451836;0.48363780212059865;0.9637467012541225;0.9743104593080761;{'Other': {'precision': 0.997026610952845, 'recall': 0.9986518636003286, 'f1-score': 0.9978385754850704, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9762589928057555, 'recall': 0.8992710404241854, 'f1-score': 0.9361848913418764, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.9420849420849394, 'recall': 0.9838709677419067, 'f1-score': 0.962524654832332, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9530864197530878, 'recall': 0.9780405405399962, 'f1-score': 0.9654022509376263, 'support': 592.0000000003295}, 'accuracy': 0.9958456019229074, 'macro avg': {'precision': 0.9671142413991569, 'recall': 0.9649586030766043, 'f1-score': 0.9654875931492263, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9958255336378303, 'recall': 0.9958456019223682, 'f1-score': 0.9957910653177767, 'support': 59094.00000000135}};{'Other': {'precision': 0.9746347384362928, 'recall': 0.9995739425836235, 'f1-score': 0.98694681817975, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9769526248399488, 'recall': 0.15948996655518394, 'f1-score': 0.2742138364779874, 'support': 9568}, 'Netatmo weather station': {'precision': 0.9669190912714228, 'recall': 0.46861116476723974, 'f1-score': 0.6312776476710903, 'support': 5177}, 'Smart Things': {'precision': 0.5461393596986818, 'recall': 0.021900842049616735, 'f1-score': 0.042112906153566894, 'support': 26483}, 'accuracy': 0.9743104593080761, 'macro avg': {'precision': 0.8661614535615865, 'recall': 0.412393978988916, 'f1-score': 0.48363780212059865, 'support': 1451836}, 'weighted avg': {'precision': 0.9668062994918316, 'recall': 0.9743104593080761, 'f1-score': 0.9637467012541225, 'support': 1451836}}
[10];1;6;41;0.986618276152048;0.9982233121453947;0.9982372515220075;['ip.ttl', 'ip.len', 'udp.length', 'dstport', 'srcport', 'tcp.window_size_value'];0.9835731128356104;0.998626079015303;0.8198624686914618;0.9992881809031319;0.9815006832455786;0.9987880518398633;1451836;0.7769513228574885;0.9915434822695953;0.9931652059874532;{'Other': {'precision': 0.9985096354798795, 'recall': 0.9996563573883229, 'f1-score': 0.9990826673895824, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9993028114122875, 'recall': 0.9498556271956634, 'f1-score': 0.9739520193856611, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 1.0, 'recall': 0.9879032258064347, 'f1-score': 0.9939148073022227, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9693961952026633, 'recall': 0.9898648648648705, 'f1-score': 0.9795236105307258, 'support': 592.0000000003295}, 'accuracy': 0.9982372515220075, 'macro avg': {'precision': 0.9918021605237075, 'recall': 0.9818200188138229, 'f1-score': 0.986618276152048, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9982444876854988, 'recall': 0.9982372515219589, 'f1-score': 0.9982233121453947, 'support': 59094.00000000135}};{'Other': {'precision': 0.9933744042775776, 'recall': 0.9996327824597621, 'f1-score': 0.9964937671879787, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.999613601236476, 'recall': 0.2703804347826087, 'f1-score': 0.42563343205001647, 'support': 9568}, 'Netatmo weather station': {'precision': 1.0, 'recall': 0.5331272937994977, 'f1-score': 0.695476880433413, 'support': 5177}, 'Smart Things': {'precision': 0.9808468862297632, 'recall': 0.9997356794925046, 'f1-score': 0.9902012117585459, 'support': 26483}, 'accuracy': 0.9931652059874532, 'macro avg': {'precision': 0.9934587229359542, 'recall': 0.7007190476335933, 'f1-score': 0.7769513228574885, 'support': 1451836}, 'weighted avg': {'precision': 0.9932106330837908, 'recall': 0.9931652059874532, 'f1-score': 0.9915434822695953, 'support': 1451836}}
[12];1;7;41;0.9222965528290701;0.992978044456926;0.9930607732315884;['ip.ttl', 'ip.len', 'udp.length', 'dstport', 'srcport', 'tcp.window_size_value', 'tcp.hdr_len'];0.916628316615918;0.994797836439818;0.8022094915748875;0.9977451715452148;0.9140505879929518;0.995598425420264;1451836;0.6442596261729828;0.980372261458917;0.9837936240732424;{'Other': {'precision': 0.9972705949753276, 'recall': 0.9980427056715737, 'f1-score': 0.9976565009346486, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.855130784708245, 'recall': 0.901259111994762, 'f1-score': 0.8775892108150243, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.9420849420849394, 'recall': 0.9838709677419067, 'f1-score': 0.962524654832332, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9787856620336595, 'recall': 0.753378378378287, 'f1-score': 0.8514158447342755, 'support': 592.0000000003295}, 'accuracy': 0.9930607732315884, 'macro avg': {'precision': 0.9433179959505429, 'recall': 0.9091377909466324, 'f1-score': 0.9222965528290701, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9932241927024861, 'recall': 0.9930607732313504, 'f1-score': 0.992978044456926, 'support': 59094.00000000135}};{'Other': {'precision': 0.984191734282113, 'recall': 0.9997157254176923, 'f1-score': 0.9918929925661147, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.662057044079516, 'recall': 0.1601170568561873, 'f1-score': 0.2578690456152163, 'support': 9568}, 'Netatmo weather station': {'precision': 0.9669190912714228, 'recall': 0.46861116476723974, 'f1-score': 0.6312776476710903, 'support': 5177}, 'Smart Things': {'precision': 0.9990815966089721, 'recall': 0.534002945285655, 'f1-score': 0.6959988188395099, 'support': 26483}, 'accuracy': 0.9837936240732424, 'macro avg': {'precision': 0.903062366560506, 'recall': 0.5406117230816936, 'f1-score': 0.6442596261729828, 'support': 1451836}, 'weighted avg': {'precision': 0.9822787930375628, 'recall': 0.9837936240732424, 'f1-score': 0.980372261458917, 'support': 1451836}}
[12];1;8;41;0.8912374576394306;0.9911492994475377;0.9917403197588585;['ip.ttl', 'ip.len', 'udp.length', 'dstport', 'srcport', 'tcp.window_size_value', 'tcp.hdr_len', 'Flow IAT Mean'];0.883899261213183;0.9936174298439483;0.9690462127620642;0.9991985723934833;0.8847700018859324;0.9950535911471965;1451836;0.7820266535652864;0.9922626990867107;0.9935529908336754;{'Other': {'precision': 0.9952115424081264, 'recall': 0.9985290201348735, 'f1-score': 0.996867521218694, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8724801556353954, 'recall': 0.9121094819570841, 'f1-score': 0.8918548062937494, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.9606299212598416, 'recall': 0.9838709677419067, 'f1-score': 0.972111553784846, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9868932926788951, 'recall': 0.547297297296928, 'f1-score': 0.7041159492604333, 'support': 592.0000000003295}, 'accuracy': 0.9917403197588585, 'macro avg': {'precision': 0.9538037279955647, 'recall': 0.8604516917826981, 'f1-score': 0.8912374576394306, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9918490638396674, 'recall': 0.991740319758796, 'f1-score': 0.9911492994475377, 'support': 59094.00000000135}};{'Other': {'precision': 0.9938527059297712, 'recall': 0.9998787756768712, 'f1-score': 0.996856633880716, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8534136546184738, 'recall': 0.35535117056856186, 'f1-score': 0.5017709563164108, 'support': 9568}, 'Netatmo weather station': {'precision': 0.9837793998377939, 'recall': 0.46861116476723974, 'f1-score': 0.634829255527934, 'support': 5177}, 'Smart Things': {'precision': 0.9995424213536701, 'recall': 0.9898047804251784, 'f1-score': 0.9946497685360856, 'support': 26483}, 'accuracy': 0.9935529908336754, 'macro avg': {'precision': 0.9576470454349273, 'recall': 0.7034114728594628, 'f1-score': 0.7820266535652864, 'support': 1451836}, 'weighted avg': {'precision': 0.9929950404530827, 'recall': 0.9935529908336754, 'f1-score': 0.9922626990867107, 'support': 1451836}}
[12];1;1;85;0.5545205686040063;0.9705363104464139;0.9749602467316454;['ip.ttl'];0.5332343250315965;0.977048272006852;0.30939806183893315;0.9862821521659483;0.5157582428822377;0.9790303898112903;1451836;0.45178595895097284;0.9718459393146945;0.9725788587691723;{'Other': {'precision': 0.9797665884807112, 'recall': 0.9967098567339041, 'f1-score': 0.9881655998498257, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7575742031086905, 'recall': 0.49834327369122056, 'f1-score': 0.6012051196280147, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.810543155328714, 'recall': 0.5135135135132268, 'f1-score': 0.6287115549381851, 'support': 592.0000000003295}, 'accuracy': 0.9749602467316454, 'macro avg': {'precision': 0.6369709867295289, 'recall': 0.5021416609845879, 'f1-score': 0.5545205686040063, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9682857157035156, 'recall': 0.9749602467317359, 'f1-score': 0.9705363104464139, 'support': 59094.00000000135}};{'Other': {'precision': 0.9833232029198129, 'recall': 0.9897427208692989, 'f1-score': 0.9865225187030215, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.10858294930875576, 'recall': 0.19701086956521738, 'f1-score': 0.14000297088532382, 'support': 9568}, 'Netatmo weather station': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5177}, 'Smart Things': {'precision': 0.9551128999249607, 'recall': 0.5286787750632481, 'f1-score': 0.6806183462155461, 'support': 26483}, 'accuracy': 0.9725788587691723, 'macro avg': {'precision': 0.5117547630383823, 'recall': 0.4288580913744411, 'f1-score': 0.45178595895097284, 'support': 1451836}, 'weighted avg': {'precision': 0.9735374747643746, 'recall': 0.9725788587691723, 'f1-score': 0.9718459393146945, 'support': 1451836}}
[16];1;2;85;0.8823892733291265;0.9913354354478966;0.9919852456649221;['ip.ttl', 'ip.len'];0.8622487702413913;0.9932610510602061;0.7754840637623832;0.9981023014103335;0.8662278648281803;0.994528336192487;1451836;0.712650836815153;0.9826299092494167;0.984496871547475;{'Other': {'precision': 0.99543707999383, 'recall': 0.9990525937699535, 'f1-score': 0.997241559868218, 'support': 56745.00000000113}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8847963907713038, 'recall': 0.9080503187269061, 'f1-score': 0.8962725484468986, 'support': 1508.9999999998954}, 'Netatmo weather station': {'precision': 0.9262142404758157, 'recall': 0.9793906810035681, 'f1-score': 0.9520605089858608, 'support': 247.9999999999996}, 'Smart Things': {'precision': 0.9518072077199242, 'recall': 0.5337835371325127, 'f1-score': 0.6839824760155284, 'support': 592.0000000003295}, 'accuracy': 0.9919852456649221, 'macro avg': {'precision': 0.9395637297402184, 'recall': 0.8550692826582351, 'f1-score': 0.8823892733291265, 'support': 59094.00000000135}, 'weighted avg': {'precision': 0.9918842159361692, 'recall': 0.991985245664638, 'f1-score': 0.9913354354478966, 'support': 59094.00000000135}};{'Other': {'precision': 0.9861787496086443, 'recall': 0.9981483161870626, 'f1-score': 0.9921274323662059, 'support': 1410608}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9579759862778731, 'recall': 0.4669732441471572, 'f1-score': 0.6278808319280494, 'support': 9568}, 'Netatmo weather station': {'precision': 0.5271518285925378, 'recall': 0.551284527718756, 'f1-score': 0.538948163535077, 'support': 5177}, 'Smart Things': {'precision': 0.9986456625561337, 'recall': 0.5290186157157422, 'f1-score': 0.6916469194312796, 'support': 26483}, 'accuracy': 0.984496871547475, 'macro avg': {'precision': 0.8674880567587971, 'recall': 0.6363561759421795, 'f1-score': 0.712650836815153, 'support': 1451836}, 'weighted avg': {'precision': 0.9845834832327858, 'recall': 0.984496871547475, 'f1-score': 0.9826299092494167, 'support': 1451836}}
