depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[10];1;1;41;0.7762970394989296;0.9628787169656716;0.9672473846766787;['Packet Length Total'];0.32141139110631184;0.8976426109512309;0.9363472552626065;0.9889699913096891;0.5870111684124272;0.9319726051906981;1447020;0.9051164294941575;0.9863698178218246;0.9867161476690025;{'Other': {'precision': 0.9704251847646646, 'recall': 0.9952869390334707, 'f1-score': 0.9826988397865722, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.778011274184895, 'recall': 0.380020956246358, 'f1-score': 0.5106258368579029, 'support': 1845.0000000002906}, 'Belkin Wemo switch': {'precision': 0.9616551961657567, 'recall': 0.7387095190876684, 'f1-score': 0.8355664418523138, 'support': 2002.999999999914}, 'accuracy': 0.9672473846766787, 'macro avg': {'precision': 0.9033638850384387, 'recall': 0.7046724714558324, 'f1-score': 0.7762970394989296, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9640903616442102, 'recall': 0.9672473846765509, 'f1-score': 0.9628787169656716, 'support': 58813.000000010725}};{'Other': {'precision': 0.9902898771118015, 'recall': 0.995767235064449, 'f1-score': 0.9930210030701486, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9022427470793992, 'recall': 0.8315949175042671, 'f1-score': 0.8654795061295205, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9312273479797754, 'recall': 0.7934728735369247, 'f1-score': 0.856848779282803, 'support': 26229}, 'accuracy': 0.9867161476690025, 'macro avg': {'precision': 0.941253324056992, 'recall': 0.8736116753685469, 'f1-score': 0.9051164294941575, 'support': 1447020}, 'weighted avg': {'precision': 0.986331670779787, 'recall': 0.9867161476690025, 'f1-score': 0.9863698178218246, 'support': 1447020}}
[10];1;2;41;0.7761779017744023;0.9628523747000023;0.9672162124301805;['Packet Length Total', 'Packet Length Mean'];0.32141139110631184;0.8976426109512309;0.93586305301439;0.9888966173351963;0.5869427749297592;0.9319563579296809;1447020;0.9050835805504643;0.9863632358412505;0.9867092369144863;{'Other': {'precision': 0.9704242229196011, 'recall': 0.9952535844745091, 'f1-score': 0.9826820882736664, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.7764317484951879, 'recall': 0.380020956246358, 'f1-score': 0.5102851751972265, 'support': 1845.0000000002906}, 'Belkin Wemo switch': {'precision': 0.9616551961657567, 'recall': 0.7387095190876684, 'f1-score': 0.8355664418523138, 'support': 2002.999999999914}, 'accuracy': 0.9672162124301805, 'macro avg': {'precision': 0.9028370558601818, 'recall': 0.7046613532695117, 'f1-score': 0.7761779017744023, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9640399120376364, 'recall': 0.9672162124300524, 'f1-score': 0.9628523747000023, 'support': 58813.000000010725}};{'Other': {'precision': 0.9902898067954697, 'recall': 0.9957599535145857, 'f1-score': 0.9930173469839747, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9020365248794313, 'recall': 0.8315949175042671, 'f1-score': 0.8653846153846153, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9312273479797754, 'recall': 0.7934728735369247, 'f1-score': 0.856848779282803, 'support': 26229}, 'accuracy': 0.9867092369144863, 'macro avg': {'precision': 0.9411845598848921, 'recall': 0.8736092481852591, 'f1-score': 0.9050835805504643, 'support': 1447020}, 'weighted avg': {'precision': 0.9863248407050451, 'recall': 0.9867092369144863, 'f1-score': 0.9863632358412505, 'support': 1447020}}
[8];1;3;41;0.7807851839438881;0.9636943821800703;0.9680278661939969;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length'];0.32141139110631184;0.8976426109512309;0.9437883878288943;0.9905729143355704;0.5905735495059025;0.9326027345146456;1447020;0.9100437535590595;0.9869759722837048;0.9873215297646197;{'Other': {'precision': 0.9710543254677508, 'recall': 0.9954628099548326, 'f1-score': 0.983107088198547, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.7964973174519027, 'recall': 0.380020956246358, 'f1-score': 0.5145447869233185, 'support': 1845.0000000002906}, 'Belkin Wemo switch': {'precision': 0.9557108689404759, 'recall': 0.7568002401489369, 'f1-score': 0.8447036767097988, 'support': 2002.999999999914}, 'accuracy': 0.9680278661939969, 'macro avg': {'precision': 0.9077541706200432, 'recall': 0.7107613354500425, 'f1-score': 0.7807851839438881, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9650558111390589, 'recall': 0.9680278661938749, 'f1-score': 0.9636943821800703, 'support': 58813.000000010725}};{'Other': {'precision': 0.9904621461220933, 'recall': 0.9962347105656745, 'f1-score': 0.9933400419360272, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9083690098052755, 'recall': 0.8315949175042671, 'f1-score': 0.8682881753077457, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9464831804281345, 'recall': 0.8023942963894926, 'f1-score': 0.8685030434334057, 'support': 26229}, 'accuracy': 0.9873215297646197, 'macro avg': {'precision': 0.948438112118501, 'recall': 0.8767413081531448, 'f1-score': 0.9100437535590595, 'support': 1447020}, 'weighted avg': {'precision': 0.9869726171167069, 'recall': 0.9873215297646197, 'f1-score': 0.9869759722837048, 'support': 1447020}}
[9];1;4;41;0.849378413915303;0.974596381485444;0.977174456443011;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length', 'tcp.window_size_value'];0.7052812242276847;0.9475046569483162;0.9901270590382941;0.9974979355233048;0.799866139680644;0.9623339033085245;1447020;0.9274969218568314;0.9894119145417696;0.9898778178601539;{'Other': {'precision': 0.9774102037752861, 'recall': 0.9986599258250879, 'f1-score': 0.9879208100780418, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.9804633514926637, 'recall': 0.5190114064703775, 'f1-score': 0.6787332168794136, 'support': 1845.0000000002904}, 'Belkin Wemo switch': {'precision': 0.9673605092684725, 'recall': 0.8096068092124378, 'f1-score': 0.8814812147884535, 'support': 2002.999999999914}, 'accuracy': 0.977174456443011, 'macro avg': {'precision': 0.9750780215121407, 'recall': 0.7757593805026343, 'f1-score': 0.849378413915303, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9771637194851023, 'recall': 0.9771744564427325, 'f1-score': 0.974596381485444, 'support': 58813.000000010725}};{'Other': {'precision': 0.9901160747975057, 'recall': 0.9993118935379157, 'f1-score': 0.9946927310528324, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9941538947701059, 'recall': 0.7954990833807447, 'f1-score': 0.8838009621800049, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9684192185390077, 'recall': 0.8476114224713104, 'f1-score': 0.903997072337657, 'support': 26229}, 'accuracy': 0.9898778178601539, 'macro avg': {'precision': 0.9842297293688732, 'recall': 0.8808074664633235, 'f1-score': 0.9274969218568314, 'support': 1447020}, 'weighted avg': {'precision': 0.9898552186791629, 'recall': 0.9898778178601539, 'f1-score': 0.9894119145417696, 'support': 1447020}}
[10];1;5;41;0.8313075761324559;0.97122666204423;0.9737194833781148;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length', 'tcp.window_size_value', 'ip.len'];0.6302083832755465;0.938409632320403;0.9461629791385991;0.9914190426777263;0.7420839664751459;0.9549146010363869;1447020;0.9077919241526539;0.9857100154641052;0.9862254840983539;{'Other': {'precision': 0.9768555746838063, 'recall': 0.9954649655970357, 'f1-score': 0.9860724777600526, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.826563076304327, 'recall': 0.5040594596251365, 'f1-score': 0.6262285905101124, 'support': 1845.0000000002904}, 'Belkin Wemo switch': {'precision': 0.9676988627092641, 'recall': 0.8096068092124378, 'f1-score': 0.8816216601272027, 'support': 2002.999999999914}, 'accuracy': 0.9737194833781148, 'macro avg': {'precision': 0.9237058378991324, 'recall': 0.7697104114782034, 'f1-score': 0.8313075761324559, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9718289555078565, 'recall': 0.9737194833778599, 'f1-score': 0.97122666204423, 'support': 58813.000000010725}};{'Other': {'precision': 0.9890037547801908, 'recall': 0.9965667492394421, 'f1-score': 0.9927708483698865, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9006337765626942, 'recall': 0.7635754472469815, 'f1-score': 0.8264607945992791, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.968756808575537, 'recall': 0.8476114224713104, 'f1-score': 0.9041441294887959, 'support': 26229}, 'accuracy': 0.9862254840983539, 'macro avg': {'precision': 0.9527981133061406, 'recall': 0.8692512063192447, 'f1-score': 0.9077919241526539, 'support': 1447020}, 'weighted avg': {'precision': 0.9857385399191178, 'recall': 0.9862254840983539, 'f1-score': 0.9857100154641052, 'support': 1447020}}
[9];1;6;41;0.8442794828758569;0.9726408879811411;0.974285804073259;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length', 'tcp.window_size_value', 'ip.len', 'srcport'];0.5824564707146987;0.9241053172239369;0.978613788629898;0.9956681386126909;0.6952106106977628;0.9439530304954545;1447020;0.9104635733551207;0.986617860423161;0.9871694931652638;{'Other': {'precision': 0.9795658899708286, 'recall': 0.9932042103167205, 'f1-score': 0.9863379073515581, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.8267916022599224, 'recall': 0.580539214265516, 'f1-score': 0.6821209931611362, 'support': 1845.0000000002904}, 'Belkin Wemo switch': {'precision': 0.9165522037030978, 'recall': 0.8178266223498746, 'f1-score': 0.864379548114876, 'support': 2002.999999999914}, 'accuracy': 0.974285804073259, 'macro avg': {'precision': 0.9076365653112829, 'recall': 0.7971900156440369, 'f1-score': 0.8442794828758569, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9726272033807746, 'recall': 0.9742858040729995, 'f1-score': 0.9726408879811411, 'support': 58813.000000010725}};{'Other': {'precision': 0.9891085219822432, 'recall': 0.9974645643375901, 'f1-score': 0.9932689693177245, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9499751054741752, 'recall': 0.7638915228522662, 'f1-score': 0.846831273797566, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9342473770012122, 'recall': 0.8521102596362804, 'f1-score': 0.8912904769500717, 'support': 26229}, 'accuracy': 0.9871694931652638, 'macro avg': {'precision': 0.9577770014858769, 'recall': 0.8711554489420456, 'f1-score': 0.9104635733551207, 'support': 1447020}, 'weighted avg': {'precision': 0.9868306629900171, 'recall': 0.9871694931652638, 'f1-score': 0.986617860423161, 'support': 1447020}}
[11];1;7;41;0.8543099436776913;0.9737866495612326;0.9747875153714819;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length', 'tcp.window_size_value', 'ip.len', 'srcport', 'ip.ttl'];0.5052394869666993;0.9131763743103412;0.9453656794867875;0.9912524487170091;0.6790302884884283;0.9393322852636083;1447020;0.8881668177803229;0.9827970284899081;0.9834190266893339;{'Other': {'precision': 0.9804528813049014, 'recall': 0.9928160357894622, 'f1-score': 0.9865957290087278, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.7658845062880324, 'recall': 0.685608748416882, 'f1-score': 0.7235267764227683, 'support': 1845.0000000002904}, 'Belkin Wemo switch': {'precision': 0.9945470540081125, 'recall': 0.7464286537868763, 'f1-score': 0.8528073256015778, 'support': 2002.999999999914}, 'accuracy': 0.9747875153714819, 'macro avg': {'precision': 0.9136281472003488, 'recall': 0.8082844793310735, 'f1-score': 0.8543099436776913, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9742017459439848, 'recall': 0.9747875153712984, 'f1-score': 0.9737866495612326, 'support': 58813.000000010725}};{'Other': {'precision': 0.9872839826283284, 'recall': 0.9953492741022941, 'f1-score': 0.9913002236857421, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.85546713392227, 'recall': 0.7407126451313821, 'f1-score': 0.7939648552197678, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9790419161676647, 'recall': 0.7978954592245224, 'f1-score': 0.8792353744354584, 'support': 26229}, 'accuracy': 0.9834190266893339, 'macro avg': {'precision': 0.9405976775727544, 'recall': 0.8446524594860662, 'f1-score': 0.8881668177803229, 'support': 1447020}, 'weighted avg': {'precision': 0.9828114712945252, 'recall': 0.9834190266893339, 'f1-score': 0.9827970284899081, 'support': 1447020}}
[11];1;8;41;0.873016494450443;0.9776717068423894;0.9791323324755942;['Packet Length Total', 'Packet Length Mean', 'Max Packet Length', 'tcp.window_size_value', 'ip.len', 'srcport', 'ip.ttl', 'dstport'];0.6526162096830846;0.9387220428842655;0.979358480776711;0.9953457815808091;0.7586454654401961;0.9553457388938609;1447020;0.8886981138725251;0.9842053262873751;0.9847852828571824;{'Other': {'precision': 0.9811316139734303, 'recall': 0.996841940119624, 'f1-score': 0.9889243863368261, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.976522024231746, 'recall': 0.6347494267458091, 'f1-score': 0.769388416470357, 'support': 1845.0000000002904}, 'Belkin Wemo switch': {'precision': 0.917773474369946, 'recall': 0.8103744078145348, 'f1-score': 0.8607366805441462, 'support': 2002.999999999914}, 'accuracy': 0.9791323324755942, 'macro avg': {'precision': 0.9584757041917075, 'recall': 0.8139885915599893, 'f1-score': 0.873016494450443, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9788292140499584, 'recall': 0.9791323324753671, 'f1-score': 0.9776717068423894, 'support': 58813.000000010725}};{'Other': {'precision': 0.9879679743008642, 'recall': 0.9961000018932029, 'f1-score': 0.9920173228734738, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.99138693209366, 'recall': 0.7324736076869587, 'f1-score': 0.8424866698982065, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.8150005490684139, 'recall': 0.8488695718479545, 'f1-score': 0.8315903488458952, 'support': 26229}, 'accuracy': 0.9847852828571824, 'macro avg': {'precision': 0.931451818487646, 'recall': 0.8591477271427054, 'f1-score': 0.8886981138725251, 'support': 1447020}, 'weighted avg': {'precision': 0.9849448584376079, 'recall': 0.9847852828571824, 'f1-score': 0.9842053262873751, 'support': 1447020}}
[14];1;1;85;0.7761021605589556;0.9627825783613425;0.9670976899741797;['Packet Length Total'];0.32141139110631184;0.8976426109512309;0.9353049243875526;0.9886679659131428;0.5872115274160671;0.9319423285853189;1447020;0.9213925987324979;0.9892011450185016;0.9893339414797307;{'Other': {'precision': 0.9705083589430772, 'recall': 0.9950310925678507, 'f1-score': 0.9826167488045385, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.7737273425036477, 'recall': 0.38200721572989393, 'f1-score': 0.5114832393619265, 'support': 1845.0000000002906}, 'Belkin Wemo switch': {'precision': 0.9567248602125802, 'recall': 0.739505304261875, 'f1-score': 0.834206493510402, 'support': 2002.999999999914}, 'accuracy': 0.9670976899741797, 'macro avg': {'precision': 0.9003201872197684, 'recall': 0.7055145375198731, 'f1-score': 0.7761021605589556, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9638657914275974, 'recall': 0.9670976899741597, 'f1-score': 0.9627825783613425, 'support': 58813.000000010725}};{'Other': {'precision': 0.993450219634224, 'recall': 0.9953237886777725, 'f1-score': 0.9943861216371835, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9058559120988887, 'recall': 0.9172514065364435, 'f1-score': 0.9115180450419323, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9176286780661401, 'recall': 0.8061306187807389, 'f1-score': 0.8582736295183779, 'support': 26229}, 'accuracy': 0.9893339414797307, 'macro avg': {'precision': 0.9389782699330843, 'recall': 0.9062352713316516, 'f1-score': 0.9213925987324979, 'support': 1447020}, 'weighted avg': {'precision': 0.9892030867221053, 'recall': 0.9893339414797307, 'f1-score': 0.9892011450185016, 'support': 1447020}}
[14];1;2;85;0.7759832318979062;0.9627562519237961;0.9670665177276808;['Packet Length Total', 'Packet Length Mean'];0.32141139110631184;0.8976426109512309;0.9348239492438176;0.9885947873577394;0.5871430902591775;0.9319260762099921;1447020;0.9213595708291734;0.989194543880084;0.9893270307252146;{'Other': {'precision': 0.9705073994741831, 'recall': 0.9949977380088887, 'f1-score': 0.9825999930320892, 'support': 54965.00000001052}, 'Netatmo Welcome': {'precision': 0.772173252395011, 'recall': 0.38200721572989393, 'f1-score': 0.5111432091512272, 'support': 1845.0000000002906}, 'Belkin Wemo switch': {'precision': 0.9567248602125802, 'recall': 0.739505304261875, 'f1-score': 0.834206493510402, 'support': 2002.999999999914}, 'accuracy': 0.9670665177276808, 'macro avg': {'precision': 0.8998018373605915, 'recall': 0.7055034193335525, 'f1-score': 0.7759832318979062, 'support': 58813.000000010725}, 'weighted avg': {'precision': 0.9638161419715554, 'recall': 0.9670665177276606, 'f1-score': 0.9627562519237961, 'support': 58813.000000010725}};{'Other': {'precision': 0.9934501720311008, 'recall': 0.9953165071279092, 'f1-score': 0.994382463859208, 'support': 1373334}, 'Netatmo Welcome': {'precision': 0.9056674434087882, 'recall': 0.9172514065364435, 'f1-score': 0.9114226191099339, 'support': 47457}, 'Belkin Wemo switch': {'precision': 0.9176286780661401, 'recall': 0.8061306187807389, 'f1-score': 0.8582736295183779, 'support': 26229}, 'accuracy': 0.9893270307252146, 'macro avg': {'precision': 0.9389154311686764, 'recall': 0.9062328441483638, 'f1-score': 0.9213595708291734, 'support': 1447020}, 'weighted avg': {'precision': 0.9891968604545945, 'recall': 0.9893270307252146, 'f1-score': 0.989194543880084, 'support': 1447020}}
