depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[13];1;1;41;0.8082693837502677;0.9961798615936124;0.9955530850511574;['ip.len'];0.8544641050265106;0.9969747451565206;0.824096531700103;0.9930878097645723;0.8439792950131473;0.9959915436913719;354826;0.6615393902940991;0.6326476525523953;0.5587442859316961;{'Withings Smart Baby Monitor': {'precision': 0.9994343891442569, 'recall': 0.996615905245349, 'f1-score': 0.9980231573021858, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9264705882352939, 'recall': 0.9545454545454547, 'f1-score': 0.9402985074626865, 'support': 22.00000000000005}, 'Other': {'precision': 0.3599999999994331, 'recall': 0.7499999999998198, 'f1-score': 0.48648648648593096, 'support': 3.9999999999845204}, 'accuracy': 0.9955530850511574, 'macro avg': {'precision': 0.7619683257929947, 'recall': 0.9003871199302078, 'f1-score': 0.8082693837502677, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9971203584735711, 'recall': 0.995553085047253, 'f1-score': 0.9961798615936124, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.20076798169915952, 'recall': 0.9988821706214115, 'f1-score': 0.3343367346938776, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9754098360655737, 'recall': 0.9861878453038674, 'f1-score': 0.9807692307692307, 'support': 362}, 'Other': {'precision': 0.9997478281701151, 'recall': 0.5032719563823778, 'f1-score': 0.6695122054191892, 'support': 315102}, 'accuracy': 0.5587442859316961, 'macro avg': {'precision': 0.7253085486449494, 'recall': 0.8294473241025523, 'f1-score': 0.6615393902940991, 'support': 354826}, 'weighted avg': {'precision': 0.9110895701227016, 'recall': 0.5587442859316961, 'f1-score': 0.6326476525523953, 'support': 354826}}
[11];1;2;41;0.8692708885724837;0.996657960589275;0.996468394261466;['ip.len', 'Flow Duration'];0.7677713818590551;0.9957247608429619;0.901897800199046;0.9937188066746392;0.833230136282462;0.9954215597735853;354826;0.992009735948872;0.9998620473976221;0.9998619041445667;{'Withings Smart Baby Monitor': {'precision': 0.9990962078797866, 'recall': 0.9976010528294808, 'f1-score': 0.9983480705580465, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9039881831610047, 'recall': 0.9272727272727274, 'f1-score': 0.9154824233358266, 'support': 22.00000000000005}, 'Other': {'precision': 0.575025609491945, 'recall': 0.874993652417556, 'f1-score': 0.6939821718235777, 'support': 3.9999999999845204}, 'accuracy': 0.996468394261466, 'macro avg': {'precision': 0.8260366668442455, 'recall': 0.9332891441732546, 'f1-score': 0.8692708885724837, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9969902273698613, 'recall': 0.9964683942614467, 'f1-score': 0.996657960589275, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9997457734841744, 'recall': 0.9990600071134597, 'f1-score': 0.9994027726596948, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9700272479564033, 'recall': 0.9834254143646409, 'f1-score': 0.9766803840877916, 'support': 362}, 'Other': {'precision': 0.9999111460885238, 'recall': 0.9999809585467563, 'f1-score': 0.9999460510991296, 'support': 315102}, 'accuracy': 0.9998619041445667, 'macro avg': {'precision': 0.9898947225097006, 'recall': 0.9941554600082855, 'f1-score': 0.992009735948872, 'support': 354826}, 'weighted avg': {'precision': 0.9998623126671391, 'recall': 0.9998619041445667, 'f1-score': 0.9998620473976221, 'support': 354826}}
[16];1;3;41;0.8641293120109973;0.997561565408882;0.9972577216655742;['ip.len', 'Flow Duration', 'ip.ttl'];0.772626445718514;0.9961349415123291;0.8722608711283683;0.995233117203672;0.8249116903213928;0.9960985537317625;354826;0.9864510006309527;0.9998745111051326;0.9998731772756224;{'Withings Smart Baby Monitor': {'precision': 0.9999999856484253, 'recall': 0.9978379394623063, 'f1-score': 0.9989177926797587, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9344978165938848, 'recall': 0.9727272727272728, 'f1-score': 0.9532293986636963, 'support': 22.00000000000005}, 'Other': {'precision': 0.5048058788746747, 'recall': 0.874993652417556, 'f1-score': 0.640240744689537, 'support': 3.9999999999845204}, 'accuracy': 0.9972577216655742, 'macro avg': {'precision': 0.8131012270389949, 'recall': 0.9485196215357116, 'f1-score': 0.8641293120109973, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9980979155282003, 'recall': 0.9972577216655597, 'f1-score': 0.997561565408882, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9998982964658022, 'recall': 0.9990854123266094, 'f1-score': 0.999491689117064, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9300518134715026, 'recall': 0.9917127071823204, 'f1-score': 0.9598930481283422, 'support': 362}, 'Other': {'precision': 0.9999555710704199, 'recall': 0.9999809585467563, 'f1-score': 0.9999682646474519, 'support': 315102}, 'accuracy': 0.9998731772756224, 'macro avg': {'precision': 0.9766352270025749, 'recall': 0.9969263593518954, 'f1-score': 0.9864510006309527, 'support': 354826}, 'weighted avg': {'precision': 0.9998779003156337, 'recall': 0.9998731772756224, 'f1-score': 0.9998745111051326, 'support': 354826}}
[14];1;4;41;0.8621180293924439;0.9972516479532555;0.9969795312483026;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport'];0.7949696676442329;0.9954292215392062;0.9250148216575439;0.9980082661895455;0.8409543181177797;0.9960997412801192;354826;0.9962340455135442;0.9999436015796728;0.9999436343447211;{'Withings Smart Baby Monitor': {'precision': 0.9996233449411774, 'recall': 0.997931672867876, 'f1-score': 0.9987767925902379, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.932533733133431, 'recall': 0.9424242424242422, 'f1-score': 0.9374529012810839, 'support': 22.00000000000005}, 'Other': {'precision': 0.5172039944866216, 'recall': 0.8749968468974946, 'f1-score': 0.6501243943060101, 'support': 3.9999999999845204}, 'accuracy': 0.9969795312483026, 'macro avg': {'precision': 0.8164536908537433, 'recall': 0.9384509207298709, 'f1-score': 0.8621180293924439, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9977302660853804, 'recall': 0.9969795312482883, 'f1-score': 0.9972516479532555, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9998983610722907, 'recall': 0.9997205426553529, 'f1-score': 0.9998094439574678, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9916666666666667, 'recall': 0.9861878453038674, 'f1-score': 0.9889196675900276, 'support': 362}, 'Other': {'precision': 0.9999587446963134, 'recall': 0.9999873056978376, 'f1-score': 0.9999730249931372, 'support': 315102}, 'accuracy': 0.9999436343447211, 'macro avg': {'precision': 0.997174590811757, 'recall': 0.9952985645523525, 'f1-score': 0.9962340455135442, 'support': 354826}, 'weighted avg': {'precision': 0.9999435864146332, 'recall': 0.9999436343447211, 'f1-score': 0.9999436015796728, 'support': 354826}}
[12];1;5;41;0.8943958588895914;0.9984113130899621;0.9982762828311079;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport', 'srcport'];0.7814055081073094;0.9954207218008465;0.9250148216575439;0.9980082661895455;0.8276822520023946;0.9960538007775623;354826;0.9971515826719752;0.9999407903136298;0.9999408160619572;{'Withings Smart Baby Monitor': {'precision': 0.9998118460265426, 'recall': 0.9990594352842098, 'f1-score': 0.9994354990449758, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9768160741885626, 'recall': 0.9575757575757573, 'f1-score': 0.9671002295332822, 'support': 22.00000000000005}, 'Other': {'precision': 0.6068351049646739, 'recall': 0.8749968468974946, 'f1-score': 0.716651848090516, 'support': 3.9999999999845204}, 'accuracy': 0.9982762828311079, 'macro avg': {'precision': 0.8611543417265931, 'recall': 0.9438773465858206, 'f1-score': 0.8943958588895914, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.998656863289091, 'recall': 0.9982762828311081, 'f1-score': 0.9984113130899621, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9999237649928847, 'recall': 0.9996697322290534, 'f1-score': 0.9997967324745279, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9944444444444445, 'recall': 0.988950276243094, 'f1-score': 0.9916897506925207, 'support': 362}, 'Other': {'precision': 0.9999492247250201, 'recall': 0.9999873056978376, 'f1-score': 0.9999682648488772, 'support': 315102}, 'accuracy': 0.9999408160619572, 'macro avg': {'precision': 0.9981058113874498, 'recall': 0.9962024380566618, 'f1-score': 0.9971515826719752, 'support': 354826}, 'weighted avg': {'precision': 0.9999407843163751, 'recall': 0.9999408160619572, 'f1-score': 0.9999407903136298, 'support': 354826}}
[12];1;6;41;0.9228389158509233;0.9974264241591708;0.9973503727378636;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport', 'srcport', 'tcp.window_size_value'];0.8702612337952799;0.9972286444665175;0.9544562338278749;0.9978498466303344;0.9051548132663468;0.9974450712284094;354826;0.9962718622665784;0.9999605746671568;0.9999605440413047;{'Withings Smart Baby Monitor': {'precision': 0.9996609969639604, 'recall': 0.9979319420943801, 'f1-score': 0.9987957212208729, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.8594377510040156, 'recall': 0.9727272727272728, 'f1-score': 0.9125799573560766, 'support': 22.00000000000005}, 'Other': {'precision': 0.8399995093257823, 'recall': 0.8749968055195777, 'f1-score': 0.8571410689758203, 'support': 3.9999999999845204}, 'accuracy': 0.9973503727378636, 'macro avg': {'precision': 0.8996994190979194, 'recall': 0.9485520067804102, 'f1-score': 0.9228389158509233, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9975912041003324, 'recall': 0.9973503727378639, 'f1-score': 0.9974264241591708, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9998729674796748, 'recall': 0.9998221635079518, 'f1-score': 0.9998475648484542, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9862637362637363, 'recall': 0.9917127071823204, 'f1-score': 0.9889807162534436, 'support': 362}, 'Other': {'precision': 0.9999873056978376, 'recall': 0.9999873056978376, 'f1-score': 0.9999873056978376, 'support': 315102}, 'accuracy': 0.9999605440413047, 'macro avg': {'precision': 0.9953746698137497, 'recall': 0.9971740587960366, 'f1-score': 0.9962718622665784, 'support': 354826}, 'weighted avg': {'precision': 0.9999606207506283, 'recall': 0.9999605440413047, 'f1-score': 0.9999605746671568, 'support': 354826}}
[10];1;7;41;0.8748401330699084;0.9971700878622154;0.9969792729806922;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport', 'srcport', 'tcp.window_size_value', 'udp.length'];0.8133621679360082;0.9952218423220371;0.9544562338278749;0.9978498466303344;0.8523569483428676;0.995799065577084;354826;0.9962133983540964;0.99993796340058;0.9999379977791932;{'Withings Smart Baby Monitor': {'precision': 0.99928461123373, 'recall': 0.9979314036993262, 'f1-score': 0.9986075490357381, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.932533733133431, 'recall': 0.9424242424242422, 'f1-score': 0.9374529012810839, 'support': 22.00000000000005}, 'Other': {'precision': 0.5674797240605775, 'recall': 0.8749999999995163, 'f1-score': 0.6884599488929034, 'support': 3.9999999999845204}, 'accuracy': 0.9969792729806922, 'macro avg': {'precision': 0.8330993561425796, 'recall': 0.9384518820410283, 'f1-score': 0.8748401330699084, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.997508213864697, 'recall': 0.996979272980678, 'f1-score': 0.9971700878622154, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9998729416548079, 'recall': 0.9996189218027539, 'f1-score': 0.9997459155931601, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9916666666666667, 'recall': 0.9861878453038674, 'f1-score': 0.9889196675900276, 'support': 362}, 'Other': {'precision': 0.9999555716343926, 'recall': 0.9999936528489187, 'f1-score': 0.9999746118791016, 'support': 315102}, 'accuracy': 0.9999379977791932, 'macro avg': {'precision': 0.997165059985289, 'recall': 0.9952668066518466, 'f1-score': 0.9962133983540964, 'support': 354826}, 'weighted avg': {'precision': 0.9999379487294906, 'recall': 0.9999379977791932, 'f1-score': 0.99993796340058, 'support': 354826}}
[15];1;8;41;0.8694497086389065;0.9977954428323818;0.997535660952894;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport', 'srcport', 'tcp.window_size_value', 'udp.length', 'Flow IAT Max'];0.8285030411299931;0.9966018855199429;0.9005837538836104;0.9971382028191431;0.8582490365071725;0.996791920769695;354826;0.9495075769144182;0.9734112593767799;0.9748411897662517;{'Withings Smart Baby Monitor': {'precision': 0.9996235577220064, 'recall': 0.9984959578864718, 'f1-score': 0.9990594396347355, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.976452119309262, 'recall': 0.9424242424242422, 'f1-score': 0.9591364687740939, 'support': 22.00000000000005}, 'Other': {'precision': 0.5172404794921962, 'recall': 0.8749968468974946, 'f1-score': 0.6501532175078899, 'support': 3.9999999999845204}, 'accuracy': 0.997535660952894, 'macro avg': {'precision': 0.8311053855078215, 'recall': 0.9386390157360696, 'f1-score': 0.8694497086389065, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9982676355663697, 'recall': 0.997535660952552, 'f1-score': 0.9977954428323818, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9998686284813453, 'recall': 0.7734363091306337, 'f1-score': 0.872195960464117, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9944289693593314, 'recall': 0.9861878453038674, 'f1-score': 0.9902912621359223, 'support': 362}, 'Other': {'precision': 0.9724676639332879, 'recall': 0.9999873056978376, 'f1-score': 0.9860355081432154, 'support': 315102}, 'accuracy': 0.9748411897662517, 'macro avg': {'precision': 0.988921753924655, 'recall': 0.9198704867107795, 'f1-score': 0.9495075769144182, 'support': 354826}, 'weighted avg': {'precision': 0.9755297472053843, 'recall': 0.9748411897662517, 'f1-score': 0.9734112593767799, 'support': 354826}}
[11];1;9;41;0.8944198503580871;0.9984117415762811;0.9982768204558246;['ip.len', 'Flow Duration', 'ip.ttl', 'dstport', 'srcport', 'tcp.window_size_value', 'udp.length', 'Flow IAT Max', 'Flow IAT Mean'];0.9217140492019557;0.998497328442882;0.9250148216575439;0.9980082661895455;0.9227758414307843;0.9983732530361583;354826;0.9971992211512316;0.9999689751735071;0.9999689988895966;{'Withings Smart Baby Monitor': {'precision': 0.9998118532455318, 'recall': 0.9990599736792639, 'f1-score': 0.9994357720519096, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9768160741885626, 'recall': 0.9575757575757573, 'f1-score': 0.9671002295332822, 'support': 22.00000000000005}, 'Other': {'precision': 0.6069364161866592, 'recall': 0.8749999999995163, 'f1-score': 0.7167235494890694, 'support': 3.9999999999845204}, 'accuracy': 0.9982768204558246, 'macro avg': {'precision': 0.8611881145402512, 'recall': 0.9438785770848459, 'f1-score': 0.8944198503580871, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9986570956649418, 'recall': 0.9982768204558101, 'f1-score': 0.9984117415762811, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.9999745922048885, 'recall': 0.9998729739342513, 'f1-score': 0.999923780487805, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9944444444444445, 'recall': 0.988950276243094, 'f1-score': 0.9916897506925207, 'support': 362}, 'Other': {'precision': 0.9999746118791017, 'recall': 0.9999936528489187, 'f1-score': 0.9999841322733692, 'support': 315102}, 'accuracy': 0.9999689988895966, 'macro avg': {'precision': 0.998131216176145, 'recall': 0.9962723010087546, 'f1-score': 0.9971992211512316, 'support': 354826}, 'weighted avg': {'precision': 0.9999689677182235, 'recall': 0.9999689988895966, 'f1-score': 0.9999689751735071, 'support': 354826}}
[13];1;1;85;0.8082693837502677;0.9961798615936124;0.9955530850511574;['ip.len'];0.8544641050265106;0.9969747451565206;0.824096531700103;0.9930878097645723;0.8439792950131473;0.9959915436913719;354826;0.6615393902940991;0.6326476525523953;0.5587442859316961;{'Withings Smart Baby Monitor': {'precision': 0.9994343891442569, 'recall': 0.996615905245349, 'f1-score': 0.9980231573021858, 'support': 1773.0000000011821}, 'NEST Protect smoke alarm': {'precision': 0.9264705882352939, 'recall': 0.9545454545454547, 'f1-score': 0.9402985074626865, 'support': 22.00000000000005}, 'Other': {'precision': 0.3599999999994331, 'recall': 0.7499999999998198, 'f1-score': 0.48648648648593096, 'support': 3.9999999999845204}, 'accuracy': 0.9955530850511574, 'macro avg': {'precision': 0.7619683257929947, 'recall': 0.9003871199302078, 'f1-score': 0.8082693837502677, 'support': 1799.0000000011667}, 'weighted avg': {'precision': 0.9971203584735711, 'recall': 0.995553085047253, 'f1-score': 0.9961798615936124, 'support': 1799.0000000011667}};{'Withings Smart Baby Monitor': {'precision': 0.20076798169915952, 'recall': 0.9988821706214115, 'f1-score': 0.3343367346938776, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9754098360655737, 'recall': 0.9861878453038674, 'f1-score': 0.9807692307692307, 'support': 362}, 'Other': {'precision': 0.9997478281701151, 'recall': 0.5032719563823778, 'f1-score': 0.6695122054191892, 'support': 315102}, 'accuracy': 0.5587442859316961, 'macro avg': {'precision': 0.7253085486449494, 'recall': 0.8294473241025523, 'f1-score': 0.6615393902940991, 'support': 354826}, 'weighted avg': {'precision': 0.9110895701227016, 'recall': 0.5587442859316961, 'f1-score': 0.6326476525523953, 'support': 354826}}
