depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[12];1;1;41;0.6259812627593967;0.7474108288078358;0.7537392507862136;['srcport'];0.6166614345523235;0.698915526959872;0.6259596858516971;0.6636530097180227;0.6200066599774997;0.6933967566095132;413357;0.6806134401685026;0.9346350555754827;0.9347730896053532;{'MacBook': {'precision': 0.4766118836914339, 'recall': 0.5622669649514533, 'f1-score': 0.5159083133765799, 'support': 1341.0000000000762}, 'Other': {'precision': 0.8327067812365463, 'recall': 0.8760712042993356, 'f1-score': 0.8538387535901525, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9959839357429754, 'recall': 0.3411279229710979, 'f1-score': 0.5081967213114578, 'support': 727.0000000000346}, 'accuracy': 0.7537392507862136, 'macro avg': {'precision': 0.7684342002236519, 'recall': 0.5931553640739623, 'f1-score': 0.6259812627593967, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.7784960629945905, 'recall': 0.7537392507854921, 'f1-score': 0.7474108288078358, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.38508562575890803, 'recall': 0.5946208055860865, 'f1-score': 0.46744599745870397, 'support': 15467}, 'Other': {'precision': 0.9679739163588078, 'recall': 0.976627890010479, 'f1-score': 0.9722816469904655, 'support': 376945}, 'HP Printer': {'precision': 0.9895185063871602, 'recall': 0.43270470279302936, 'f1-score': 0.602112676056338, 'support': 20945}, 'accuracy': 0.9347730896053532, 'macro avg': {'precision': 0.7808593495016254, 'recall': 0.667984466129865, 'f1-score': 0.6806134401685026, 'support': 413357}, 'weighted avg': {'precision': 0.9472550661819273, 'recall': 0.9347730896053532, 'f1-score': 0.9346350555754827, 'support': 413357}}
[10];1;2;41;0.7117388153555435;0.827532928293591;0.8271642349128637;['srcport', 'dstport'];0.7040186558395556;0.7862769620495865;0.7213315562743063;0.7632922185234404;0.7085083993019867;0.7826769854787593;413357;0.7340305515325314;0.9478170091178679;0.9456256940126815;{'MacBook': {'precision': 0.5619412515964326, 'recall': 0.9843400447427278, 'f1-score': 0.7154471544715514, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9716488464630961, 'recall': 0.8584926517199201, 'f1-score': 0.9115725702836214, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9959839357429754, 'recall': 0.3411279229710979, 'f1-score': 0.5081967213114578, 'support': 727.0000000000346}, 'accuracy': 0.8271642349128637, 'macro avg': {'precision': 0.8431913446008347, 'recall': 0.727986873144582, 'f1-score': 0.7117388153555435, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.8913155269502702, 'recall': 0.8271642349038959, 'f1-score': 0.827532928293591, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.4556306717826908, 'recall': 0.9673498415982414, 'f1-score': 0.619480385053307, 'support': 15467}, 'Other': {'precision': 0.9878716070659198, 'recall': 0.9732348220562681, 'f1-score': 0.9804985934879493, 'support': 376945}, 'HP Printer': {'precision': 0.9895185063871602, 'recall': 0.43270470279302936, 'f1-score': 0.602112676056338, 'support': 20945}, 'accuracy': 0.9456256940126815, 'macro avg': {'precision': 0.8110069284119236, 'recall': 0.791096455482513, 'f1-score': 0.7340305515325314, 'support': 413357}, 'weighted avg': {'precision': 0.9680396549283189, 'recall': 0.9456256940126815, 'f1-score': 0.9478170091178679, 'support': 413357}}
[11];1;3;41;0.776404058347047;0.8598952186854301;0.8590668210362699;['srcport', 'dstport', 'tcp.window_size_value'];0.7698790443772722;0.8252701798115488;0.8103831845331132;0.8421127088576885;0.7773534184770742;0.8280047927339894;413357;0.81384055658134;0.9608479712504757;0.9596450525816667;{'MacBook': {'precision': 0.6311149176844141, 'recall': 0.978065857897343, 'f1-score': 0.767187829687636, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9633749991525403, 'recall': 0.8847675153580061, 'f1-score': 0.922399541881596, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9636207819624778, 'recall': 0.47867950481425264, 'f1-score': 0.6396248034719085, 'support': 727.0000000000346}, 'accuracy': 0.8590668210362699, 'macro avg': {'precision': 0.8527035662664774, 'recall': 0.7805042926898672, 'f1-score': 0.776404058347047, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.8960865783120989, 'recall': 0.8590668210269714, 'f1-score': 0.8598952186854301, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.5907334353111666, 'recall': 0.9487942070214004, 'f1-score': 0.7281252325783324, 'support': 15467}, 'Other': {'precision': 0.9882924005135476, 'recall': 0.9781877992810623, 'f1-score': 0.9832141390546587, 'support': 376945}, 'HP Printer': {'precision': 0.8608661825726142, 'recall': 0.6339460491764144, 'f1-score': 0.7301822981110286, 'support': 20945}, 'accuracy': 0.9596450525816667, 'macro avg': {'precision': 0.8132973394657762, 'recall': 0.8536426851596257, 'f1-score': 0.81384055658134, 'support': 413357}, 'weighted avg': {'precision': 0.966959783309634, 'recall': 0.9596450525816667, 'f1-score': 0.9608479712504757, 'support': 413357}}
[10];1;4;41;0.7254616335478258;0.8502903930138904;0.860573634994476;['srcport', 'dstport', 'tcp.window_size_value', 'ip.ttl'];0.7057748498153661;0.795289333249494;0.7368368802602366;0.7907383685945549;0.7122401623700325;0.7946458163325038;413357;0.7187483667634047;0.9416386686434599;0.9347319629279291;{'MacBook': {'precision': 0.6544684871572397, 'recall': 0.9542935364339759, 'f1-score': 0.7764418079682058, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9455670460335939, 'recall': 0.9214316681941099, 'f1-score': 0.9333433536685857, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.974518882438923, 'recall': 0.3067313764674083, 'f1-score': 0.4665997390066856, 'support': 727.0000000000346}, 'accuracy': 0.860573634994476, 'macro avg': {'precision': 0.8581848052099188, 'recall': 0.7274855270318313, 'f1-score': 0.7254616335478258, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.8897708291582657, 'recall': 0.8605736349850949, 'f1-score': 0.8502903930138904, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.382319989069545, 'recall': 0.9045710221762462, 'f1-score': 0.5374745495755061, 'support': 15467}, 'Other': {'precision': 0.9886680837246614, 'recall': 0.9612383769515447, 'f1-score': 0.9747603008748615, 'support': 376945}, 'HP Printer': {'precision': 0.9783941605839416, 'recall': 0.4799713535449988, 'f1-score': 0.6440102498398462, 'support': 20945}, 'accuracy': 0.9347319629279291, 'macro avg': {'precision': 0.7831274111260492, 'recall': 0.7819269175575966, 'f1-score': 0.7187483667634047, 'support': 413357}, 'weighted avg': {'precision': 0.9654591546386341, 'recall': 0.9347319629279291, 'f1-score': 0.9416386686434599, 'support': 413357}}
[12];1;5;41;0.7622125448256213;0.8711024068832671;0.8801444253568506;['srcport', 'dstport', 'tcp.window_size_value', 'ip.ttl', 'tcp.hdr_len'];0.7563198645534629;0.8343479322718982;0.7870265991539704;0.8323346696170588;0.7628125227706776;0.834158083919486;413357;0.7809110012985716;0.9627651366561973;0.9653955297720856;{'MacBook': {'precision': 0.6970789733508155, 'recall': 0.9664708024121731, 'f1-score': 0.8099625085279103, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9490469620197924, 'recall': 0.9370772538008071, 'f1-score': 0.9430241268712871, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9956475110698242, 'recall': 0.36451169188446686, 'f1-score': 0.5336509990776666, 'support': 727.0000000000346}, 'accuracy': 0.8801444253568506, 'macro avg': {'precision': 0.8805911488134773, 'recall': 0.7560199160324824, 'f1-score': 0.7622125448256213, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.9031169945316011, 'recall': 0.8801444253568801, 'f1-score': 0.8711024068832671, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.6073431922488526, 'recall': 0.9240318096592746, 'f1-score': 0.7329418703043667, 'support': 15467}, 'Other': {'precision': 0.9869524403038645, 'recall': 0.9957394314820465, 'f1-score': 0.9913264645835038, 'support': 376945}, 'HP Printer': {'precision': 0.9892902141957161, 'recall': 0.44984483170207684, 'f1-score': 0.618464669007844, 'support': 20945}, 'accuracy': 0.9653955297720856, 'macro avg': {'precision': 0.8611952822494778, 'recall': 0.7898720242811326, 'f1-score': 0.7809110012985716, 'support': 413357}, 'weighted avg': {'precision': 0.9728666704596328, 'recall': 0.9653955297720856, 'f1-score': 0.9627651366561973, 'support': 413357}}
[15];1;1;85;0.6314529208848495;0.7513415788154608;0.7566097748566571;['srcport'];0.6232912548595326;0.7049798208071035;0.6333224548752856;0.6704358103646298;0.6267134478210203;0.6995583776300417;413357;0.741047961412226;0.951386498893775;0.9524744954119563;{'MacBook': {'precision': 0.47747183979966423, 'recall': 0.5689783743474248, 'f1-score': 0.5192242259271036, 'support': 1341.0000000000762}, 'Other': {'precision': 0.8385197784221493, 'recall': 0.8762909362066078, 'f1-score': 0.8569893754371347, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9698113207547213, 'recall': 0.35350756533698935, 'f1-score': 0.5181451612903103, 'support': 727.0000000000346}, 'accuracy': 0.7566097748566571, 'macro avg': {'precision': 0.7619343129921784, 'recall': 0.599592291963674, 'f1-score': 0.6314529208848495, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.7797924313416469, 'recall': 0.7566097748559844, 'f1-score': 0.7513415788154608, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.4851515936771184, 'recall': 0.6052240253442813, 'f1-score': 0.5385766066394337, 'support': 15467}, 'Other': {'precision': 0.9751518035993536, 'recall': 0.9892689914974333, 'f1-score': 0.9821596714018755, 'support': 376945}, 'HP Printer': {'precision': 0.9820754716981132, 'recall': 0.54671759369778, 'f1-score': 0.7024076061953688, 'support': 20945}, 'accuracy': 0.9524744954119563, 'macro avg': {'precision': 0.8141262896581951, 'recall': 0.7137368701798316, 'f1-score': 0.741047961412226, 'support': 413357}, 'weighted avg': {'precision': 0.9571677921551572, 'recall': 0.9524744954119563, 'f1-score': 0.951386498893775, 'support': 413357}}
[15];1;2;85;0.7186376730448334;0.8292688649156312;0.8338117643392305;['srcport', 'dstport'];0.7133830652923563;0.7886921538701772;0.7365603701220139;0.7754945403241307;0.7187716547176476;0.7866745571233292;413357;0.7462505282269168;0.9459547157843937;0.9463490396920822;{'MacBook': {'precision': 0.6040394551432835, 'recall': 0.9589858314690501, 'f1-score': 0.7412103746397865, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9396368839323892, 'recall': 0.8756317404848399, 'f1-score': 0.9065059231832557, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9959839357429754, 'recall': 0.3411279229710979, 'f1-score': 0.5081967213114578, 'support': 727.0000000000346}, 'accuracy': 0.8338117643392305, 'macro avg': {'precision': 0.8465534249395494, 'recall': 0.7252484983083294, 'f1-score': 0.7186376730448334, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.8778342219007816, 'recall': 0.8338117643302436, 'f1-score': 0.8292688649156312, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.5097811145183462, 'recall': 0.9350876058705632, 'f1-score': 0.6598384962817646, 'support': 15467}, 'Other': {'precision': 0.9782532920732145, 'recall': 0.9753518417806312, 'f1-score': 0.9768004123426482, 'support': 376945}, 'HP Printer': {'precision': 0.9895185063871602, 'recall': 0.43270470279302936, 'f1-score': 0.602112676056338, 'support': 20945}, 'accuracy': 0.9463490396920822, 'macro avg': {'precision': 0.8258509709929069, 'recall': 0.7810480501480747, 'f1-score': 0.7462505282269168, 'support': 413357}, 'weighted avg': {'precision': 0.9612948052048765, 'recall': 0.9463490396920822, 'f1-score': 0.9459547157843937, 'support': 413357}}
[15];1;3;85;0.7748571265956241;0.8636136696445817;0.862850939007088;['srcport', 'dstport', 'tcp.window_size_value'];0.7726799890261917;0.8337860621704676;0.822768571376565;0.8579232654357507;0.7820980751126592;0.8378116080164236;413357;0.807405209281303;0.9646453178740308;0.963160173893269;{'MacBook': {'precision': 0.6258047912759771, 'recall': 0.9831618558548075, 'f1-score': 0.7647982027357815, 'support': 1341.0000000000762}, 'Other': {'precision': 0.972230825040021, 'recall': 0.8914722708819949, 'f1-score': 0.9301018207421271, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9894759117412532, 'recall': 0.4617606602475394, 'f1-score': 0.6296713563089638, 'support': 727.0000000000346}, 'accuracy': 0.862850939007088, 'macro avg': {'precision': 0.8625038426857504, 'recall': 0.7787982623281139, 'f1-score': 0.7748571265956241, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.9039395264705488, 'recall': 0.862850938997773, 'f1-score': 0.8636136696445817, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.5469481850117096, 'recall': 0.9663800349130407, 'f1-score': 0.6985395490127351, 'support': 15467}, 'Other': {'precision': 0.9924374963217395, 'recall': 0.9842045921818833, 'f1-score': 0.9883038988335867, 'support': 376945}, 'HP Printer': {'precision': 0.9983621325034805, 'recall': 0.5820482215325854, 'f1-score': 0.7353721799975872, 'support': 20945}, 'accuracy': 0.963160173893269, 'macro avg': {'precision': 0.8459159379456431, 'recall': 0.8442109495425032, 'f1-score': 0.807405209281303, 'support': 413357}, 'weighted avg': {'precision': 0.9760683730863626, 'recall': 0.963160173893269, 'f1-score': 0.9646453178740308, 'support': 413357}}
[14];1;4;85;0.7659210455494488;0.871456848020042;0.8795757288475424;['srcport', 'dstport', 'tcp.window_size_value', 'ip.ttl'];0.7547209769273756;0.8290080722578198;0.7905374700598964;0.8331105587751783;0.7620277007087211;0.8298129945455377;413357;0.7986697580974408;0.9664000704149496;0.9679042570949566;{'MacBook': {'precision': 0.6967790727667693, 'recall': 0.9728307338874131, 'f1-score': 0.811983846783294, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9503918994418047, 'recall': 0.932180180787569, 'f1-score': 0.9411979514035496, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9719597913989946, 'recall': 0.37825819902593094, 'f1-score': 0.5445813384615028, 'support': 727.0000000000346}, 'accuracy': 0.8795757288475424, 'macro avg': {'precision': 0.8730435878691895, 'recall': 0.7610897045669711, 'f1-score': 0.7659210455494488, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.9013792203343309, 'recall': 0.8795757288379661, 'f1-score': 0.871456848020042, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.6091278233651976, 'recall': 0.9310790715717334, 'f1-score': 0.7364545245339947, 'support': 15467}, 'Other': {'precision': 0.989744712735869, 'recall': 0.9952035442836488, 'f1-score': 0.9924666223085866, 'support': 376945}, 'HP Printer': {'precision': 0.986998409877467, 'recall': 0.5037956552876581, 'f1-score': 0.6670881274497409, 'support': 20945}, 'accuracy': 0.9679042570949566, 'macro avg': {'precision': 0.8619569819928445, 'recall': 0.8100260903810135, 'f1-score': 0.7986697580974408, 'support': 413357}, 'weighted avg': {'precision': 0.9753636263111432, 'recall': 0.9679042570949566, 'f1-score': 0.9664000704149496, 'support': 413357}}
[16];1;5;85;0.7598444488760557;0.8670962909885132;0.8785384911199571;['srcport', 'dstport', 'tcp.window_size_value', 'ip.ttl', 'tcp.hdr_len'];0.7576495059091081;0.8286318464657422;0.7838754577017769;0.8245750800073307;0.7633650742936737;0.8281241603536116;413357;0.8115790941560164;0.9646836322437319;0.9675655668102875;{'MacBook': {'precision': 0.728242360198042, 'recall': 0.9715297761549179, 'f1-score': 0.8324752736655258, 'support': 1341.0000000000762}, 'Other': {'precision': 0.9317729370823084, 'recall': 0.935887677295882, 'f1-score': 0.9338257744900343, 'support': 4551.000410220195}, 'HP Printer': {'precision': 0.9771798255495368, 'recall': 0.3480055020632461, 'f1-score': 0.5132322984726072, 'support': 727.0000000000346}, 'accuracy': 0.8785384911199571, 'macro avg': {'precision': 0.8790650409432956, 'recall': 0.7518076518380153, 'f1-score': 0.7598444488760557, 'support': 6619.000410220306}, 'weighted avg': {'precision': 0.8955252137379076, 'recall': 0.8785384911199677, 'f1-score': 0.8670962909885132, 'support': 6619.000410220306}};{'MacBook': {'precision': 0.6855184233076264, 'recall': 0.93101441779272, 'f1-score': 0.7896252022043704, 'support': 15467}, 'Other': {'precision': 0.9826228134492511, 'recall': 0.9954874053243842, 'f1-score': 0.9890132771060521, 'support': 376945}, 'HP Printer': {'precision': 0.9842421927227581, 'recall': 0.49205060873716877, 'f1-score': 0.6560988031576267, 'support': 20945}, 'accuracy': 0.9675655668102875, 'macro avg': {'precision': 0.8841278098265453, 'recall': 0.8061841439514245, 'f1-score': 0.8115790941560164, 'support': 413357}, 'weighted avg': {'precision': 0.9715878105257807, 'recall': 0.9675655668102875, 'f1-score': 0.9646836322437319, 'support': 413357}}
