,class,f1_score,Cluster_F1_Score,Cluster,support
14,Light Bulbs LiFX Smart Bulb,99.83655077969695,99.59684632001867,1,1508.9999999998954
15,Netatmo weather station,99.27182707828857,99.66247555535958,1,247.9999999999996
19,Smart Things,99.23920919159549,99.79424378393131,1,592.0000000003295
2,Samsung SmartCam,97.74455264433817,97.52949973347289,2,13334.000000004085
3,Amazon Echo,96.68425698571494,93.73746244607086,0,4649.0
5,Belkin wemo motion sensor,95.94255573828421,96.46498701669591,2,3281.9999999995284
0,Laptop,94.08449097764243,93.46594566197257,0,11484.000000007463
1,Insteon Camera,93.8228066688689,91.77309017084558,0,6887.999999999669
20,iHome,93.60273210946357,87.23722587662057,0,159.99999999998053
22,Withings Smart scale,91.89189189189173,89.07479499710088,0,5.999999999999969
8,Withings Aura smart sleep sensor,91.36605071030002,92.91627888913531,0,985.9999999999312
6,Netatmo Welcome,89.52810439405708,91.14523135788416,4,1845.0000000002904
11,Belkin Wemo switch,88.91910362237367,89.1144242974012,4,2002.999999999914
4,Samsung Galaxy Tab,85.85647765606758,74.54500205442102,3,7961.999999998589
21,Triby Speaker,80.61264673312523,68.01224672618379,3,149.00000000002802
16,NEST Protect smoke alarm,76.42098350821173,90.14576476120104,5,22.00000000000005
9,Withings Smart Baby Monitor,75.36449255127013,78.81133244830072,5,1773.0000000011821
10,MacBook,66.56574312827829,-1.0,-1,1340.9999999999018
7,HP Printer,64.35521033868903,-1.0,-1,727.0000000000059
18,PIX-STAR Photo-frame,57.63379470587561,-1.0,-1,183.9999999999996
12,Android Phone,50.34774706253088,-1.0,-1,1524.9999999999393
17,TP-Link Smart plug,46.94251190040305,-1.0,-1,193.99999999999744
13,TP-Link Day Night Cloud camera,46.50725697606184,-1.0,-1,294.99999999999204
23,Dropcam,19.178082191841053,-1.0,-1,3.9999999999845204
25,Blipcare Blood Pressure meter,1.0,-1.0,-1,0.0
24,IPhone,0.0,-1.0,-1,0.0
