depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.5559787869008457;0.9195578884451644;0.9201108827321385;['ip.len'];0.377169560554715;0.8897004185861254;0.6934503291219304;0.9002538854330432;0.4747433574732432;0.8955608049209935;1488248;0.5249339491872379;0.9053751339461218;0.8777112416747747;{'Other': {'precision': 0.9576748411026527, 'recall': 0.9570445149228762, 'f1-score': 0.9573595742609817, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.302070179383654, 'recall': 0.53187096911151, 'f1-score': 0.385308626006487, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 0.9986069898528211, 'recall': 0.19427367492610267, 'f1-score': 0.3252681604350682, 'support': 1845.000000000146}, 'accuracy': 0.9201108827321385, 'macro avg': {'precision': 0.7527840034463759, 'recall': 0.5610630529868297, 'f1-score': 0.5559787869008457, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9374391339154874, 'recall': 0.9201108827319961, 'f1-score': 0.9195578884451644, 'support': 61161.999999882944}};{'Other': {'precision': 0.9665368129879922, 'recall': 0.9025903424522926, 'f1-score': 0.9334697112375783, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.09562940161066953, 'recall': 0.5554920126577453, 'f1-score': 0.1631688579299841, 'support': 26229}, 'Netatmo Welcome': {'precision': 0.9997988602078445, 'recall': 0.3142212950671134, 'f1-score': 0.4781632783941512, 'support': 47457}, 'accuracy': 0.8777112416747747, 'macro avg': {'precision': 0.6873216916021687, 'recall': 0.5907678833923837, 'f1-score': 0.5249339491872379, 'support': 1488248}, 'weighted avg': {'precision': 0.9522485266821458, 'recall': 0.8777112416747747, 'f1-score': 0.9053751339461218, 'support': 1488248}}
5;1;2;500;0.5722298483555862;0.924336872202426;0.9265231824481611;['ip.len', 'Max Packet Length'];0.32122418638864947;0.8965962551978832;0.7098289067848662;0.905202041305883;0.4634787215805069;0.9061150086146319;1488248;0.5427058238200797;0.9085526656121446;0.8811515285086894;{'Other': {'precision': 0.9597209060295232, 'recall': 0.9619632318181869, 'f1-score': 0.9608407606898838, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.35368556678668883, 'recall': 0.5956029810267075, 'f1-score': 0.4438190651504239, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.18485498398908792, 'f1-score': 0.31202971922645073, 'support': 1845.000000000146}, 'accuracy': 0.9265231824481611, 'macro avg': {'precision': 0.7711354909387373, 'recall': 0.5808070656113274, 'f1-score': 0.5722298483555862, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9410888492601241, 'recall': 0.9265231824479203, 'f1-score': 0.924336872202426, 'support': 61161.999999882944}};{'Other': {'precision': 0.9686720417322393, 'recall': 0.9042035626575576, 'f1-score': 0.9353282290912548, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.10516653899997358, 'recall': 0.6071905143162148, 'f1-score': 0.17928123153125264, 'support': 26229}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.34544956486925005, 'f1-score': 0.5135080108377317, 'support': 47457}, 'accuracy': 0.8811515285086894, 'macro avg': {'precision': 0.6912795269107376, 'recall': 0.6189478806143408, 'f1-score': 0.5427058238200797, 'support': 1488248}, 'weighted avg': {'precision': 0.9544525333467743, 'recall': 0.8811515285086894, 'f1-score': 0.9085526656121446, 'support': 1488248}}
5;1;3;500;0.6287841823420856;0.9431256569084623;0.9530498178984623;['ip.len', 'Max Packet Length', 'dstport'];0.39673618313042347;0.9026292775490876;0.7831846080783764;0.9547850936648619;0.5088125449117074;0.9158915690810334;1488248;0.6172629136544188;0.9481603221757957;0.9516787524659869;{'Other': {'precision': 0.9585983466164841, 'recall': 0.992775385670295, 'f1-score': 0.9753875718618383, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.7584216824309614, 'recall': 0.5370862271639588, 'f1-score': 0.6288465504522526, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 0.8150740028702995, 'recall': 0.17058037668444767, 'f1-score': 0.2821184247121659, 'support': 1845.000000000146}, 'accuracy': 0.9530498178984623, 'macro avg': {'precision': 0.8440313439725817, 'recall': 0.5668139965062339, 'f1-score': 0.6287841823420856, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9477132174091889, 'recall': 0.9530498178982827, 'f1-score': 0.9431256569084623, 'support': 61161.999999882944}};{'Other': {'precision': 0.9682033434926037, 'recall': 0.9813914130310301, 'f1-score': 0.9747527727925088, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.36480804160135355, 'recall': 0.5589995806168745, 'f1-score': 0.4414935260463716, 'support': 26229}, 'Netatmo Welcome': {'precision': 0.9441906234624305, 'recall': 0.28305624038603366, 'f1-score': 0.4355424421243758, 'support': 47457}, 'accuracy': 0.9516787524659869, 'macro avg': {'precision': 0.7590673361854626, 'recall': 0.6078157446779794, 'f1-score': 0.6172629136544188, 'support': 1488248}, 'weighted avg': {'precision': 0.9568033436083254, 'recall': 0.9516787524659869, 'f1-score': 0.9481603221757957, 'support': 1488248}}
5;1;4;500;0.6755102912103607;0.9511539884073119;0.9604552291798439;['ip.len', 'Max Packet Length', 'dstport', 'Packet Length Total'];0.3550856553726461;0.9024468980258538;0.8471190731531651;0.9719202483432967;0.5113638521704993;0.9213202982921197;1488248;0.6677697246920825;0.9541377336403368;0.9575258962215975;{'Other': {'precision': 0.9624044986032223, 'recall': 0.9967369031780972, 'f1-score': 0.9792698767636158, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.8722830861713197, 'recall': 0.6377034495190266, 'f1-score': 0.7367720438040051, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.1837744438702823, 'f1-score': 0.31048895306346086, 'support': 1845.0000000001464}, 'accuracy': 0.9604552291798439, 'macro avg': {'precision': 0.944895861591514, 'recall': 0.606071598855802, 'f1-score': 0.6755102912103607, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9605872020951904, 'recall': 0.9604552291794318, 'f1-score': 0.9511539884073119, 'support': 61161.999999882944}};{'Other': {'precision': 0.9719633479693719, 'recall': 0.9836882370656076, 'f1-score': 0.9777906448906397, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.45187191182060055, 'recall': 0.7252278012886499, 'f1-score': 0.5568093669959752, 'support': 26229}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.30608761615778496, 'f1-score': 0.46870916218963266, 'support': 47457}, 'accuracy': 0.9575258962215975, 'macro avg': {'precision': 0.8079450865966574, 'recall': 0.6716678848373475, 'f1-score': 0.6677697246920825, 'support': 1488248}, 'weighted avg': {'precision': 0.9636912435329281, 'recall': 0.9575258962215975, 'f1-score': 0.9541377336403368, 'support': 1488248}}
5;1;5;500;0.6538936879469409;0.9459218320973535;0.9541486617418188;['ip.len', 'Max Packet Length', 'dstport', 'Packet Length Total', 'Packet Length Mean'];0.4153485808382948;0.9084794632501818;0.7790382264922813;0.9434852277816047;0.5407365650702973;0.9209355734553603;1488248;0.6716276021027596;0.9532904287370518;0.9526369261037139;{'Other': {'precision': 0.9624693212904527, 'recall': 0.9896685200630233, 'f1-score': 0.9758794370249697, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.6827758104669703, 'recall': 0.6367184159802929, 'f1-score': 0.6589432887186116, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.1953560451812106, 'f1-score': 0.32685833809724113, 'support': 1845.0000000001462}, 'accuracy': 0.9541486617418188, 'macro avg': {'precision': 0.8817483772524742, 'recall': 0.6072476604081757, 'f1-score': 0.6538936879469409, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9544417551552506, 'recall': 0.9541486617418615, 'f1-score': 0.9459218320973535, 'support': 61161.999999882944}};{'Other': {'precision': 0.9744503182590917, 'recall': 0.9757550393690768, 'f1-score': 0.9751022423735914, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.35087154834680245, 'recall': 0.7068130695032216, 'f1-score': 0.46894999114663705, 'support': 26229}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.3994142065448722, 'f1-score': 0.5708305727880503, 'support': 47457}, 'accuracy': 0.9526369261037139, 'macro avg': {'precision': 0.7751072888686314, 'recall': 0.6939941051390569, 'f1-score': 0.6716276021027596, 'support': 1488248}, 'weighted avg': {'precision': 0.9642750408122878, 'recall': 0.9526369261037139, 'f1-score': 0.9532904287370518, 'support': 1488248}}
5;1;6;500;0.6695505121651052;0.9506282174255575;0.9605030102808433;['ip.len', 'Max Packet Length', 'dstport', 'Packet Length Total', 'Packet Length Mean', 'tcp.window_size_value'];0.32136793301905614;0.8972869429489887;0.8507344658739465;0.9735399166081266;0.49123887567414126;0.9180052942236796;1488248;0.7212460986879138;0.962827454631175;0.9692860329729991;{'Other': {'precision': 0.9606311614438713, 'recall': 0.9987836384801022, 'f1-score': 0.9793359595951853, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.9434433747442101, 'recall': 0.5805970094818964, 'f1-score': 0.7188266238366696, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.1837744438702823, 'f1-score': 0.31048895306346086, 'support': 1845.0000000001464}, 'accuracy': 0.9605030102808433, 'macro avg': {'precision': 0.9680248453960272, 'recall': 0.5877183639440937, 'f1-score': 0.6695505121651052, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9612558691116504, 'recall': 0.9605030102805162, 'f1-score': 0.9506282174255575, 'support': 61161.999999882944}};{'Other': {'precision': 0.9701567587618668, 'recall': 0.9983980907164196, 'f1-score': 0.984074846479569, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.8739850962073185, 'recall': 0.5991841091921156, 'f1-score': 0.7109542873945398, 'support': 26229}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.30608761615778496, 'f1-score': 0.46870916218963266, 'support': 47457}, 'accuracy': 0.9692860329729991, 'macro avg': {'precision': 0.9480472849897285, 'recall': 0.63455660535544, 'f1-score': 0.7212460986879138, 'support': 1488248}, 'weighted avg': {'precision': 0.9694134580232096, 'recall': 0.9692860329729991, 'f1-score': 0.962827454631175, 'support': 1488248}}
5;1;7;500;0.7176827380740067;0.95388861692186;0.9586110320111293;['ip.len', 'Max Packet Length', 'dstport', 'Packet Length Total', 'Packet Length Mean', 'tcp.window_size_value', 'ip.ttl'];0.32136793301905614;0.8972869429489887;0.8531559868095625;0.9657128138543165;0.5255978691235349;0.9196711431169226;1488248;0.8440410113326676;0.9784947402747927;0.9788791921776478;{'Other': {'precision': 0.966847403910747, 'recall': 0.989788598469255, 'f1-score': 0.9781835105624312, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.8075656384065945, 'recall': 0.6167408746806877, 'f1-score': 0.6993701617124176, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 0.6954476152017033, 'recall': 0.36124240390976775, 'f1-score': 0.4754945419471716, 'support': 1845.000000000146}, 'accuracy': 0.9586110320111293, 'macro avg': {'precision': 0.8232868858396816, 'recall': 0.6559239590199035, 'f1-score': 0.7176827380740067, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9534440818075686, 'recall': 0.9586110320110873, 'f1-score': 0.95388861692186, 'support': 61161.999999882944}};{'Other': {'precision': 0.987168696041715, 'recall': 0.9907759433662151, 'f1-score': 0.9889690303719482, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.8015214384508991, 'recall': 0.7070036981966525, 'f1-score': 0.7513015294236808, 'support': 26229}, 'Netatmo Welcome': {'precision': 0.8099645225975629, 'recall': 0.774532734896854, 'f1-score': 0.791852474202374, 'support': 47457}, 'accuracy': 0.9788791921776478, 'macro avg': {'precision': 0.8662182190300589, 'recall': 0.8241041254865739, 'f1-score': 0.8440410113326676, 'support': 1488248}, 'weighted avg': {'precision': 0.9782461774974344, 'recall': 0.9788791921776478, 'f1-score': 0.9784947402747927, 'support': 1488248}}
5;1;8;500;0.7529687192113008;0.9597936861205978;0.963937834711704;['ip.len', 'Max Packet Length', 'dstport', 'Packet Length Total', 'Packet Length Mean', 'tcp.window_size_value', 'ip.ttl', 'srcport'];0.5249524777434503;0.9295965840439236;0.9052901434060864;0.9755320914028212;0.6440327807786259;0.9420112751739119;1488248;0.8785686414617008;0.9848946958613766;0.98490305379211;{'Other': {'precision': 0.9712684533516723, 'recall': 0.9908267702949238, 'f1-score': 0.9809501324153054, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.8145573569490565, 'recall': 0.7442663403729435, 'f1-score': 0.7778270552620443, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 0.7842290117550881, 'recall': 0.3671300022726854, 'f1-score': 0.5001289699565529, 'support': 1845.0000000001462}, 'accuracy': 0.963937834711704, 'macro avg': {'precision': 0.8566849406852723, 'recall': 0.7007410376468509, 'f1-score': 0.7529687192113008, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.960494114778025, 'recall': 0.9639378347117518, 'f1-score': 0.9597936861205978, 'support': 61161.999999882944}};{'Other': {'precision': 0.9919560718546623, 'recall': 0.9921622382051829, 'f1-score': 0.9920591443187257, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.7332596095179987, 'recall': 0.7331198291966907, 'f1-score': 0.7331897126951747, 'support': 26229}, 'Netatmo Welcome': {'precision': 0.9132462686567164, 'recall': 0.907684851549824, 'f1-score': 0.910457067371202, 'support': 47457}, 'accuracy': 0.98490305379211, 'macro avg': {'precision': 0.8794873166764591, 'recall': 0.8776556396505658, 'f1-score': 0.8785686414617008, 'support': 1488248}, 'weighted avg': {'precision': 0.9848869001568047, 'recall': 0.98490305379211, 'f1-score': 0.9848946958613766, 'support': 1488248}}
6;1;1;500;0.5610402285346617;0.9202321922958752;0.9205476653056547;['ip.len'];0.37860865195432974;0.8897094992896178;0.6996037995309609;0.9021276765102245;0.4783338747427539;0.8960392709300924;1488248;0.5706427230144935;0.9116270230833934;0.8818422735995614;{'Other': {'precision': 0.9584323923732597, 'recall': 0.9567060572073225, 'f1-score': 0.9575684467177955, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.3087430168278811, 'recall': 0.5508177224921389, 'f1-score': 0.39569309668335306, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 0.9704726151468026, 'recall': 0.19869780189277675, 'f1-score': 0.32985914220283685, 'support': 1845.0000000001462}, 'accuracy': 0.9205476653056547, 'macro avg': {'precision': 0.7458826747826478, 'recall': 0.5687405271974127, 'f1-score': 0.5610402285346617, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9375188576915523, 'recall': 0.9205476653055835, 'f1-score': 0.9202321922958752, 'support': 61161.999999882944}};{'Other': {'precision': 0.9711329274341022, 'recall': 0.9025147006635269, 'f1-score': 0.9355673181702595, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.09754852224004189, 'recall': 0.5681497579015593, 'f1-score': 0.16650837458238824, 'support': 26229}, 'Netatmo Welcome': {'precision': 0.9982751185855973, 'recall': 0.43902901574056513, 'f1-score': 0.6098524762908325, 'support': 47457}, 'accuracy': 0.8818422735995614, 'macro avg': {'precision': 0.6889855227532471, 'recall': 0.6365644914352171, 'f1-score': 0.5706427230144935, 'support': 1488248}, 'weighted avg': {'precision': 0.956602312645197, 'recall': 0.8818422735995614, 'f1-score': 0.9116270230833934, 'support': 1488248}}
6;1;2;500;0.6694791525051448;0.950768385783594;0.9607729350999462;['ip.len', 'Packet Length Mean'];0.32136793301905614;0.8972869429489887;0.8508421720910794;0.9744605176171012;0.4906464764737495;0.9180852362051046;1488248;0.7723022820096137;0.9696066667674086;0.9740170993006542;{'Other': {'precision': 0.9605232548886987, 'recall': 0.9992058411419814, 'f1-score': 0.9794827752278988, 'support': 57313.99999988289}, 'Belkin Wemo switch': {'precision': 0.9623192769859431, 'recall': 0.5803461565724942, 'f1-score': 0.724043310552674, 'support': 2002.9999999999025}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.17987930934733903, 'f1-score': 0.30491137173486144, 'support': 1845.0000000001462}, 'accuracy': 0.9607729350999462, 'macro avg': {'precision': 0.9742808439582139, 'recall': 0.5864771023539382, 'f1-score': 0.6694791525051448, 'support': 61161.999999882944}, 'weighted avg': {'precision': 0.9617729201545709, 'recall': 0.9607729350996941, 'f1-score': 0.950768385783594, 'support': 61161.999999882944}};{'Other': {'precision': 0.9739232391314682, 'recall': 0.9994231429940859, 'f1-score': 0.9865084341040158, 'support': 1414562}, 'Belkin Wemo switch': {'precision': 0.9506172839506173, 'recall': 0.5988791032826261, 'f1-score': 0.7348256262718406, 'support': 26229}, 'Netatmo Welcome': {'precision': 1.0, 'recall': 0.42406810375708537, 'f1-score': 0.5955727856529845, 'support': 47457}, 'accuracy': 0.9740170993006542, 'macro avg': {'precision': 0.9748468410273619, 'recall': 0.6741234500112657, 'f1-score': 0.7723022820096137, 'support': 1488248}, 'weighted avg': {'precision': 0.974344024472419, 'recall': 0.9740170993006542, 'f1-score': 0.9696066667674086, 'support': 1488248}}
