depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[11];1;1;41;0.5724042326826343;0.8916520027406435;0.9078459786384826;['tcp.window_size_value'];0.5344139676100018;0.8802932560702802;0.7042270747439968;0.905271802128017;0.5745143338566955;0.885878571552489;1488248;0.670959605806162;0.800816623873388;0.8396040176099683;{'Other': {'precision': 0.9116285550443484, 'recall': 0.9899093515647334, 'f1-score': 0.9491576567107239, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8505787752059696, 'recall': 0.3750293168346803, 'f1-score': 0.520544828401792, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.5333143104420215, 'recall': 0.16114976450055313, 'f1-score': 0.24751021293538714, 'support': 148.99999999999685}, 'accuracy': 0.9078459786384826, 'macro avg': {'precision': 0.7651738802307797, 'recall': 0.5086961442999889, 'f1-score': 0.5724042326826343, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9027595322929844, 'recall': 0.9078459786372135, 'f1-score': 0.8916520027406435, 'support': 61161.999999968066}};{'Other': {'precision': 0.8447006766605759, 'recall': 0.9834014974313319, 'f1-score': 0.9087893686488305, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.7368004954343615, 'recall': 0.20560885120402408, 'f1-score': 0.32150085092682035, 'support': 271963}, 'Triby Speaker': {'precision': 0.9586636466591166, 'recall': 0.661155948971622, 'f1-score': 0.7825885978428352, 'support': 7682}, 'accuracy': 0.8396040176099683, 'macro avg': {'precision': 0.8467216062513514, 'recall': 0.616722099202326, 'f1-score': 0.670959605806162, 'support': 1488248}, 'weighted avg': {'precision': 0.8255712080160381, 'recall': 0.8396040176099683, 'f1-score': 0.800816623873388, 'support': 1488248}}
[13];1;2;41;0.5093119558981084;0.8950032515296569;0.9012581880929323;['tcp.window_size_value', 'ip.len'];0.4659028871585151;0.8630160058422265;0.5253149889007952;0.8767707930170673;0.48040610406754175;0.8661406145488519;1488248;0.4140091217506736;0.7973826330946785;0.835460890926781;{'Other': {'precision': 0.9280723451413414, 'recall': 0.9609775514006595, 'f1-score': 0.9442383617173709, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.6648310456537699, 'recall': 0.5202126627394534, 'f1-score': 0.5836975059769542, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.9012581880929323, 'macro avg': {'precision': 0.5309677969317038, 'recall': 0.49373007138003766, 'f1-score': 0.5093119558981084, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.8915429640559285, 'recall': 0.9012581880920848, 'f1-score': 0.8950032515296569, 'support': 61161.999999968066}};{'Other': {'precision': 0.8436375379982548, 'recall': 0.9791196943909621, 'f1-score': 0.9063435477898165, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.7013979801757995, 'recall': 0.22064030768891357, 'f1-score': 0.3356838174622043, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.835460890926781, 'macro avg': {'precision': 0.5150118393913514, 'recall': 0.3999200006932919, 'f1-score': 0.4140091217506736, 'support': 1488248}, 'weighted avg': {'precision': 0.813289961229483, 'recall': 0.835460890926781, 'f1-score': 0.7973826330946785, 'support': 1488248}}
[12];1;3;41;0.4466247641946492;0.8686729487581833;0.8936626436530356;['tcp.window_size_value', 'ip.len', 'udp.length'];0.43938012219000644;0.8595588846914515;0.40690889990591567;0.8066066303309307;0.43271108451403756;0.8499041481174165;1488248;0.34091437765144916;0.7506390629335961;0.8136600889099128;{'Other': {'precision': 0.8973955191047145, 'recall': 0.9906742614417513, 'f1-score': 0.9417307053692562, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.809471489436501, 'recall': 0.26399577584526857, 'f1-score': 0.3981435872146913, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.8936626436530356, 'macro avg': {'precision': 0.5689556695137385, 'recall': 0.41822334576233994, 'f1-score': 0.4466247641946492, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.8837634754082209, 'recall': 0.8936626436517234, 'f1-score': 0.8686729487581833, 'support': 61161.999999968066}};{'Other': {'precision': 0.8208351563549673, 'recall': 0.9856958819397271, 'f1-score': 0.8957430746766478, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.5314744058748612, 'recall': 0.07211642760228414, 'f1-score': 0.12700005827769972, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.8136600889099128, 'macro avg': {'precision': 0.45076985407660947, 'recall': 0.3526041031806704, 'f1-score': 0.34091437765144916, 'support': 1488248}, 'weighted avg': {'precision': 0.7637202981768008, 'recall': 0.8136600889099128, 'f1-score': 0.7506390629335961, 'support': 1488248}}
[9];1;4;41;0.5280444864570114;0.9103353829105334;0.9197238473726733;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport'];0.5294506761904781;0.9064023914510025;0.5528323822793052;0.9036928668826768;0.5349131140547628;0.9060142307029211;1488248;0.4162646311809905;0.8002982704053764;0.8374424155113933;{'Other': {'precision': 0.9276699401109278, 'recall': 0.9842279240161583, 'f1-score': 0.9551123796505081, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8280105188877375, 'recall': 0.5071432248129175, 'f1-score': 0.6290210797205262, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.9197238473726733, 'macro avg': {'precision': 0.5852268196662217, 'recall': 0.4971237162763586, 'f1-score': 0.5280444864570114, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9124364432851931, 'recall': 0.919723847371601, 'f1-score': 0.9103353829105334, 'support': 61161.999999968066}};{'Other': {'precision': 0.8473678413781858, 'recall': 0.9803277006593563, 'f1-score': 0.9090115376928526, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.6832474112261677, 'recall': 0.22611531715711328, 'f1-score': 0.3397823558501189, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.8374424155113933, 'macro avg': {'precision': 0.5102050842014512, 'recall': 0.40214767260548984, 'f1-score': 0.4162646311809905, 'support': 1488248}, 'weighted avg': {'precision': 0.813002490776068, 'recall': 0.8374424155113933, 'f1-score': 0.8002982704053764, 'support': 1488248}}
[11];1;5;41;0.5186976073478328;0.9049040877795627;0.9153178497170883;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport', 'dstport'];0.48898358797985847;0.8847023027403922;0.5514177239209389;0.9017914910133517;0.5049528223985096;0.8887847001559407;1488248;0.35090838455116863;0.7141728356478151;0.7196508915180804;{'Other': {'precision': 0.9240898376978275, 'recall': 0.983130884038817, 'f1-score': 0.9526965061913805, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8104584987348562, 'recall': 0.4806071081623844, 'f1-score': 0.6033963158521177, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.9153178497170883, 'macro avg': {'precision': 0.5781827788108945, 'recall': 0.48791266406706707, 'f1-score': 0.5186976073478328, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9070462140975503, 'recall': 0.9153178497160394, 'f1-score': 0.9049040877795627, 'support': 61161.999999968066}};{'Other': {'precision': 0.8209931726881566, 'recall': 0.8373593313933525, 'f1-score': 0.8290954938334059, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.23081016779363886, 'recall': 0.21688244356769118, 'f1-score': 0.22362965982009989, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.7196508915180804, 'macro avg': {'precision': 0.3506011134939318, 'recall': 0.35141392498701457, 'f1-score': 0.35090838455116863, 'support': 1488248}, 'weighted avg': {'precision': 0.7089051268028485, 'recall': 0.7196508915180804, 'f1-score': 0.7141728356478151, 'support': 1488248}}
[12];1;1;85;0.5179389086286966;0.8956623000028522;0.91037255398588;['tcp.window_size_value'];0.49452807500480866;0.8816364378704944;0.6065491685592177;0.9141177859793337;0.5215297554790671;0.8888702437639013;1488248;0.6697636381172188;0.8033498784421628;0.840302153942085;{'Other': {'precision': 0.9147894972489214, 'recall': 0.9887745364691801, 'f1-score': 0.9503442438365874, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8447950360430101, 'recall': 0.4044564656173306, 'f1-score': 0.5470200580025742, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.522592822168221, 'recall': 0.029837807606264824, 'f1-score': 0.056452424046927865, 'support': 148.99999999999685}, 'accuracy': 0.91037255398588, 'macro avg': {'precision': 0.7607257851533843, 'recall': 0.47435626989759183, 'f1-score': 0.5179389086286966, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9047222462645115, 'recall': 0.9103725539845859, 'f1-score': 0.8956623000028522, 'support': 61161.999999968066}};{'Other': {'precision': 0.846168217101801, 'recall': 0.9818509469197081, 'f1-score': 0.9089741306508413, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.7296203531197177, 'recall': 0.2174376661531164, 'f1-score': 0.3350311037585124, 'support': 271963}, 'Triby Speaker': {'precision': 0.9954138002918491, 'recall': 0.6215829211142931, 'f1-score': 0.7652856799423031, 'support': 7682}, 'accuracy': 0.840302153942085, 'macro avg': {'precision': 0.8570674568377893, 'recall': 0.6069571780623725, 'f1-score': 0.6697636381172188, 'support': 1488248}, 'weighted avg': {'precision': 0.8256405885331126, 'recall': 0.840302153942085, 'f1-score': 0.8033498784421628, 'support': 1488248}}
[14];1;2;85;0.5801202416093243;0.8964054879471265;0.9022263463080413;['tcp.window_size_value', 'ip.len'];0.5981186909140618;0.8667833868127419;0.6404474884012269;0.8768611346601367;0.6091610121501284;0.8691546728938812;1488248;0.48923932210447557;0.8008870659058723;0.8399749235342496;{'Other': {'precision': 0.928630963484101, 'recall': 0.9611455889740333, 'f1-score': 0.9446085603892831, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.6695359100020257, 'recall': 0.524352750142532, 'f1-score': 0.5881168109700222, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.9636558335416238, 'recall': 0.11635272175086976, 'f1-score': 0.20763535346866765, 'support': 148.99999999999685}, 'accuracy': 0.9022263463080413, 'macro avg': {'precision': 0.8539409023425835, 'recall': 0.5339503536224783, 'f1-score': 0.5801202416093243, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.8949875883461794, 'recall': 0.9022263463071407, 'f1-score': 0.8964054879471265, 'support': 61161.999999968066}};{'Other': {'precision': 0.8440190179899522, 'recall': 0.9849801795957812, 'f1-score': 0.9090676529758611, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.7638138626749105, 'recall': 0.21576464445531193, 'f1-score': 0.33647946603667556, 'support': 271963}, 'Triby Speaker': {'precision': 0.9917440660474717, 'recall': 0.12509763082530592, 'f1-score': 0.22217084730089007, 'support': 7682}, 'accuracy': 0.8399749235342496, 'macro avg': {'precision': 0.8665256489041114, 'recall': 0.4419474849587997, 'f1-score': 0.48923932210447557, 'support': 1488248}, 'weighted avg': {'precision': 0.8301248210309999, 'recall': 0.8399749235342496, 'f1-score': 0.8008870659058723, 'support': 1488248}}
[13];1;3;85;0.5056000611185539;0.8737506699216403;0.8957062807808666;['tcp.window_size_value', 'ip.len', 'udp.length'];0.5439181470718437;0.8670166227474956;0.49287237593173194;0.8094236649295085;0.5337869994608121;0.8565946586866887;1488248;0.6256384140606535;0.76119421707717;0.8234770011449705;{'Other': {'precision': 0.9009802031054122, 'recall': 0.9883867428482913, 'f1-score': 0.9426616573612601, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.7919561099926002, 'recall': 0.29344027007462464, 'f1-score': 0.42821557003734323, 'support': 7961.999999995274}, 'Triby Speaker': {'precision': 0.835813952149398, 'recall': 0.07993973058837679, 'f1-score': 0.14592295595705873, 'support': 148.99999999999685}, 'accuracy': 0.8957062807808666, 'macro avg': {'precision': 0.8429167550824701, 'recall': 0.4539222478370976, 'f1-score': 0.5056000611185539, 'support': 61161.99999996806}, 'weighted avg': {'precision': 0.8866288149762371, 'recall': 0.8957062807795176, 'f1-score': 0.8737506699216403, 'support': 61161.99999996806}};{'Other': {'precision': 0.8255248035449663, 'recall': 0.9923738398795965, 'f1-score': 0.9012925139396125, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.691268854772063, 'recall': 0.075661027419171, 'f1-score': 0.13639346435554967, 'support': 271963}, 'Triby Speaker': {'precision': 0.994825124910778, 'recall': 0.7257224681072637, 'f1-score': 0.8392292638867982, 'support': 7682}, 'accuracy': 0.8234770011449705, 'macro avg': {'precision': 0.8372062610759358, 'recall': 0.5979191118020104, 'f1-score': 0.6256384140606535, 'support': 1488248}, 'weighted avg': {'precision': 0.8018647109210267, 'recall': 0.8234770011449705, 'f1-score': 0.76119421707717, 'support': 1488248}}
[12];1;4;85;0.5317102653017923;0.9127652830856273;0.9221147695600415;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport'];0.5335678480283089;0.9099736506075912;0.5535630359324931;0.9046830591495694;0.5383385476910207;0.909128468023535;1488248;0.41651995243399814;0.8002499358626577;0.8380518569485731;{'Other': {'precision': 0.9284665323769906, 'recall': 0.9862078221834573, 'f1-score': 0.9564665183766424, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8477296602949228, 'recall': 0.5123175535188692, 'f1-score': 0.6386642775287346, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.9221147695600415, 'macro avg': {'precision': 0.5920653975573045, 'recall': 0.49950845856744214, 'f1-score': 0.5317102653017923, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9156944109806724, 'recall': 0.9221147695590729, 'f1-score': 0.9127652830856273, 'support': 61161.999999968066}};{'Other': {'precision': 0.8459996305628639, 'recall': 0.9814670325987939, 'f1-score': 0.9087123324610378, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.7086454160134703, 'recall': 0.22438714089784273, 'f1-score': 0.3408475248409565, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.8380518569485731, 'macro avg': {'precision': 0.5182150155254447, 'recall': 0.4019513911655455, 'f1-score': 0.41651995243399814, 'support': 1488248}, 'weighted avg': {'precision': 0.8165326106753984, 'recall': 0.8380518569485731, 'f1-score': 0.8002499358626577, 'support': 1488248}}
[14];1;5;85;0.5316909411427438;0.9121098798271696;0.9206689681049784;['tcp.window_size_value', 'ip.len', 'udp.length', 'srcport', 'dstport'];0.5219283475233044;0.9032027158844712;0.551426432524534;0.9021564446659739;0.5291694050269851;0.9033037843934864;1488248;0.3518719131408763;0.7149849312032711;0.7203712015739312;{'Other': {'precision': 0.9299277978137261, 'recall': 0.9827039150687001, 'f1-score': 0.9555877187308138, 'support': 53050.99999997279}, 'Samsung Galaxy Tab': {'precision': 0.8189009363909762, 'recall': 0.5245579036497298, 'f1-score': 0.6394851046974178, 'support': 7961.999999995275}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 148.99999999999685}, 'accuracy': 0.9206689681049784, 'macro avg': {'precision': 0.5829429114015675, 'recall': 0.5024206062394766, 'f1-score': 0.5316909411427438, 'support': 61161.999999968066}, 'weighted avg': {'precision': 0.9132089999895511, 'recall': 0.9206689681038707, 'f1-score': 0.9121098798271696, 'support': 61161.999999968066}};{'Other': {'precision': 0.8215731336404034, 'recall': 0.8376762261884175, 'f1-score': 0.8295465392816979, 'support': 1208603}, 'Samsung Galaxy Tab': {'precision': 0.23313863765114962, 'recall': 0.21941587642436655, 'f1-score': 0.226069200140931, 'support': 271963}, 'Triby Speaker': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7682}, 'accuracy': 0.7203712015739312, 'macro avg': {'precision': 0.3515705904305177, 'recall': 0.3523640342042613, 'f1-score': 0.3518719131408763, 'support': 1488248}, 'weighted avg': {'precision': 0.7098016173035087, 'recall': 0.7203712015739312, 'f1-score': 0.7149849312032711, 'support': 1488248}}
