depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.3673213851422273;0.7582670230169805;0.8051844679590151;['udp.length'];0.37386034930890155;0.7625559908196459;0.1988484857684451;0.6901351783266078;0.34094400946489495;0.7342434083928254;1488248;0.3170317773052979;0.9200704051273694;0.9387662540114282;{'Other': {'precision': 0.801857505986705, 'recall': 0.9907054193685796, 'f1-score': 0.886333824610315, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.9691062669204411, 'recall': 0.23148717191945095, 'f1-score': 0.3737079710107366, 'support': 13334.000000001477}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.5806219445584818, 'recall': 0.5725646123260815, 'f1-score': 0.576565130090085, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.8051844679590151, 'macro avg': {'precision': 0.4703171434931256, 'recall': 0.35895144072282237, 'f1-score': 0.3673213851422273, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.8250212306444407, 'recall': 0.8051844679591098, 'f1-score': 0.7582670230169805, 'support': 61161.99999995387}};{'Other': {'precision': 0.9399906894279757, 'recall': 0.9976126218883499, 'f1-score': 0.9679448530605732, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9706006849578636, 'recall': 0.32505960435595077, 'f1-score': 0.48701511845687473, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.23326133909287258, 'recall': 0.0903010033444816, 'f1-score': 0.1301989150090416, 'support': 9568}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9387662540114282, 'macro avg': {'precision': 0.4287705426957424, 'recall': 0.28259464591775646, 'f1-score': 0.3170317773052979, 'support': 1488248}, 'weighted avg': {'precision': 0.9201323630337126, 'recall': 0.9387662540114282, 'f1-score': 0.9200704051273694, 'support': 1488248}}
5;1;2;500;0.34616668526632133;0.7006114569591478;0.7779065453639583;['udp.length', 'ip.len'];0.35256768920861914;0.7043058672692774;0.1800166548216758;0.6577743698261507;0.3281744053590516;0.6853694007653386;1488248;0.3694401109564822;0.9184574364350928;0.9373249619687042;{'Other': {'precision': 0.7785059233637339, 'recall': 0.991730283211613, 'f1-score': 0.8722767018228111, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.989408012697665, 'recall': 0.07622993478115485, 'f1-score': 0.1415537208642696, 'support': 13334.00000000148}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.6445549484478803, 'recall': 0.8077998001819663, 'f1-score': 0.717003003644526, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.7779065453639583, 'macro avg': {'precision': 0.48249377690185585, 'recall': 0.37515200363494683, 'f1-score': 0.34616668526632133, 'support': 61161.99999995388}, 'weighted avg': {'precision': 0.8135683787422522, 'recall': 0.7779065453640058, 'f1-score': 0.7006114569591478, 'support': 61161.99999995388}};{'Other': {'precision': 0.9396544330106295, 'recall': 0.9964462192327647, 'f1-score': 0.9672173872508374, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9862024261505695, 'recall': 0.2745022230813841, 'f1-score': 0.4294657889165566, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.4575832704538105, 'recall': 0.44366638795986624, 'f1-score': 0.4505173786150172, 'support': 9568}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9373249619687042, 'macro avg': {'precision': 0.4766880259230019, 'recall': 0.342922966054803, 'f1-score': 0.3694401109564822, 'support': 1488248}, 'weighted avg': {'precision': 0.9220774746373768, 'recall': 0.9373249619687042, 'f1-score': 0.9184574364350928, 'support': 1488248}}
5;1;3;500;0.33172597341960613;0.7883563816979581;0.824378278639203;['udp.length', 'ip.len', 'tcp.window_size_value'];0.2642985515470686;0.7005802199961789;0.3830076930351173;0.8379320941157407;0.3049092915788637;0.7633191704635499;1488248;0.47849607860571297;0.9523495150096047;0.9595295945299439;{'Other': {'precision': 0.8142119281452941, 'recall': 0.9953754978520324, 'f1-score': 0.8957252815657912, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.998038056506927, 'recall': 0.3490371337070392, 'f1-score': 0.5171980674937535, 'support': 13334.000000001477}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.4239899418430947, 'recall': 0.16964877402254264, 'f1-score': 0.2423338367568684, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 1.0, 'recall': 0.0016891891891884353, 'f1-score': 0.0033726812816173846, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.824378278639203, 'macro avg': {'precision': 0.6472479852990631, 'recall': 0.30315011895416055, 'f1-score': 0.33172597341960613, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.8463788599855696, 'recall': 0.8243782786392458, 'f1-score': 0.7883563816979581, 'support': 61161.99999995387}};{'Other': {'precision': 0.9600438929002045, 'recall': 0.9988372355311134, 'f1-score': 0.9790564358960187, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9672077466435889, 'recall': 0.5329209356272956, 'f1-score': 0.6872013892928068, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.13108038914490527, 'recall': 0.026755852842809364, 'f1-score': 0.04444058675462199, 'support': 9568}, 'Smart Things': {'precision': 1.0, 'recall': 0.517199713023449, 'f1-score': 0.681781981085117, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9595295945299439, 'macro avg': {'precision': 0.6116664057377397, 'recall': 0.4151427474049335, 'f1-score': 0.47849607860571297, 'support': 1488248}, 'weighted avg': {'precision': 0.955611258849144, 'recall': 0.9595295945299439, 'f1-score': 0.9523495150096047, 'support': 1488248}}
5;1;4;500;0.3738641718187058;0.7242545497503192;0.7703874463509165;['udp.length', 'ip.len', 'tcp.window_size_value', 'srcport'];0.35201847440947853;0.7299722386066879;0.39623537424727295;0.6956483645829522;0.3567588220308656;0.7163857332355977;1488248;0.47934557352003254;0.9142436686258291;0.9300069612053905;{'Other': {'precision': 0.7849084599493039, 'recall': 0.9587562487865152, 'f1-score': 0.8631658218825731, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.6319039157515272, 'recall': 0.21682540500778041, 'f1-score': 0.32286576911529347, 'support': 13334.000000001477}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.5319390770629677, 'recall': 0.25844930417496714, 'f1-score': 0.3478777967739688, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.3387909319899229, 'recall': 0.3320987654320958, 'f1-score': 0.3354114713216935, 'support': 6.000000000000046}, 'accuracy': 0.7703874463509165, 'macro avg': {'precision': 0.4575084769507443, 'recall': 0.35322594468027174, 'f1-score': 0.3738641718187058, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.7376693914988139, 'recall': 0.7703874463510804, 'f1-score': 0.7242545497503192, 'support': 61161.99999995387}};{'Other': {'precision': 0.941888803470239, 'recall': 0.9851030807437327, 'f1-score': 0.9630113853801079, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.5925761728196034, 'recall': 0.3789677169920742, 'f1-score': 0.4622894378984271, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.6163175303197354, 'recall': 0.058423913043478264, 'f1-score': 0.10673031026252983, 'support': 9568}, 'Smart Things': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26483}, 'Withings Smart scale': {'precision': 0.7897727272727273, 'recall': 0.9553264604810997, 'f1-score': 0.864696734059098, 'support': 291}, 'accuracy': 0.9300069612053905, 'macro avg': {'precision': 0.5881110467764611, 'recall': 0.475564234252077, 'f1-score': 0.47934557352003254, 'support': 1488248}, 'weighted avg': {'precision': 0.9047926431009216, 'recall': 0.9300069612053905, 'f1-score': 0.9142436686258291, 'support': 1488248}}
5;1;5;500;0.3361337244423372;0.7940134130364129;0.8277396628102134;['udp.length', 'ip.len', 'tcp.window_size_value', 'srcport', 'Packet Length Mean'];0.27638657165467695;0.7156274668143393;0.38707748872323605;0.8440424250236198;0.3126416330095666;0.7736175737508254;1488248;0.47889197602586114;0.9523391589992476;0.9598622003859572;{'Other': {'precision': 0.8179987308804931, 'recall': 0.9938799555847879, 'f1-score': 0.8974028431251662, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.9841931082679456, 'recall': 0.3695836063834138, 'f1-score': 0.5373731641189353, 'support': 13334.000000001477}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.42513146969277604, 'recall': 0.16964877402254264, 'f1-score': 0.24251993368596705, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 1.0, 'recall': 0.0016891891891884353, 'f1-score': 0.0033726812816173846, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.8277396628102134, 'macro avg': {'precision': 0.645464661768243, 'recall': 0.3069603050359865, 'f1-score': 0.3361337244423372, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.8462194543670878, 'recall': 0.8277396628102401, 'f1-score': 0.7940134130364129, 'support': 61161.99999995387}};{'Other': {'precision': 0.9601497287163483, 'recall': 0.9990933638746979, 'f1-score': 0.9792345073606707, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9454102207741906, 'recall': 0.5347638378761518, 'f1-score': 0.6831239813641078, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.42174629324546953, 'recall': 0.026755852842809364, 'f1-score': 0.050319410319410326, 'support': 9568}, 'Smart Things': {'precision': 1.0, 'recall': 0.517199713023449, 'f1-score': 0.681781981085117, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9598622003859572, 'macro avg': {'precision': 0.6654612485472017, 'recall': 0.4155625535234216, 'f1-score': 0.47889197602586114, 'support': 1488248}, 'weighted avg': {'precision': 0.9564412036412206, 'recall': 0.9598622003859572, 'f1-score': 0.9523391589992476, 'support': 1488248}}
5;1;6;500;0.47582776061012194;0.714379318719928;0.7625335852670846;['udp.length', 'ip.len', 'tcp.window_size_value', 'srcport', 'Packet Length Mean', 'ip.ttl'];0.4058707513620349;0.6977357976929738;0.26355572726460785;0.6995225148500152;0.43334899165808516;0.6994874048962484;1488248;0.4326350281853741;0.9079365256043528;0.9219814170756487;{'Other': {'precision': 0.7817537000850109, 'recall': 0.9510041322912075, 'f1-score': 0.8581129865045881, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.5154693498065636, 'recall': 0.16079020676754394, 'f1-score': 0.2451201540355494, 'support': 13334.000000001479}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7170636821190521, 'recall': 0.5727302849569629, 'f1-score': 0.6368212249020851, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.8409090909090909, 'recall': 0.24999999999994302, 'f1-score': 0.38541666666659896, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.5436105476673467, 'recall': 0.16543209876543102, 'f1-score': 0.2536677709417881, 'support': 6.000000000000046}, 'accuracy': 0.7625335852670846, 'macro avg': {'precision': 0.6797612741174128, 'recall': 0.41999134455621767, 'f1-score': 0.47582776061012194, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.7226539055839609, 'recall': 0.7625335852671173, 'f1-score': 0.714379318719928, 'support': 61161.99999995387}};{'Other': {'precision': 0.9407103356250022, 'recall': 0.9772103985196946, 'f1-score': 0.9586130496447827, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.47389265947903797, 'recall': 0.36083510535472646, 'f1-score': 0.409707487671754, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7142857142857143, 'recall': 0.09040551839464883, 'f1-score': 0.16049726319695706, 'support': 9568}, 'Smart Things': {'precision': 0.8222222222222222, 'recall': 0.005588490729902202, 'f1-score': 0.011101526459888236, 'support': 26483}, 'Withings Smart scale': {'precision': 0.9640287769784173, 'recall': 0.46048109965635736, 'f1-score': 0.6232558139534884, 'support': 291}, 'accuracy': 0.9219814170756487, 'macro avg': {'precision': 0.7830279417180789, 'recall': 0.37890412253106587, 'f1-score': 0.4326350281853741, 'support': 1488248}, 'weighted avg': {'precision': 0.9128115691570934, 'recall': 0.9219814170756487, 'f1-score': 0.9079365256043528, 'support': 1488248}}
5;1;7;500;0.39007965685561635;0.8022608391449682;0.8137545533215603;['udp.length', 'ip.len', 'tcp.window_size_value', 'srcport', 'Packet Length Mean', 'ip.ttl', 'dstport'];0.3220844979381653;0.7072450721564708;0.35446399270147505;0.8654653758470823;0.3587270758450086;0.7811430115477613;1488248;0.44740641824908245;0.8814037692650992;0.8606273954340943;{'Other': {'precision': 0.8421940755139362, 'recall': 0.9328734536960629, 'f1-score': 0.885217585222473, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.9403943318076159, 'recall': 0.43130177419695875, 'f1-score': 0.5913755123717404, 'support': 13334.000000001479}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.31537353249143607, 'recall': 0.9052160083999826, 'f1-score': 0.4677758749733476, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.02800114788708318, 'recall': 0.00337837837837737, 'f1-score': 0.006029311710520853, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.8137545533215603, 'macro avg': {'precision': 0.42519261754001425, 'recall': 0.4545539229342763, 'f1-score': 0.39007965685561635, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.8426416514661762, 'recall': 0.8137545533214929, 'f1-score': 0.8022608391449682, 'support': 61161.99999995387}};{'Other': {'precision': 0.9529132880698351, 'recall': 0.8935874048887043, 'f1-score': 0.9222973112519767, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.18372927434523528, 'recall': 0.29960693343643274, 'f1-score': 0.2277775328346291, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.08009112826524518, 'recall': 0.3784489966555184, 'f1-score': 0.13220394676792202, 'support': 9568}, 'Smart Things': {'precision': 0.9329081540734335, 'recall': 0.9776460370803912, 'f1-score': 0.9547533003908844, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.8606273954340943, 'macro avg': {'precision': 0.4299283689507498, 'recall': 0.5098578744122093, 'f1-score': 0.44740641824908245, 'support': 1488248}, 'weighted avg': {'precision': 0.9066554804326498, 'recall': 0.8606273954340943, 'f1-score': 0.8814037692650992, 'support': 1488248}}
5;1;8;500;0.38819788056313753;0.7634709663671375;0.8039999392183677;['udp.length', 'ip.len', 'tcp.window_size_value', 'srcport', 'Packet Length Mean', 'ip.ttl', 'dstport', 'Packet Length Total'];0.27722685963982613;0.6425678461216108;0.5412598265311814;0.8265782382860287;0.34319657956490646;0.7295016653253799;1488248;0.5769263684843742;0.9311084724780808;0.9448452139697148;{'Other': {'precision': 0.8171103110106799, 'recall': 0.9825087616630597, 'f1-score': 0.8922088590897779, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.997170125833162, 'recall': 0.24319117972667176, 'f1-score': 0.3910199039627527, 'support': 13334.00000000148}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.34425237397171726, 'recall': 0.6681577203446347, 'f1-score': 0.45439073100410543, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 0.672097909831485, 'recall': 0.0016891891891884353, 'f1-score': 0.0033699087590534425, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.24999999999999803, 'recall': 0.16666666666666496, 'f1-score': 0.19999999999999818, 'support': 6.000000000000046}, 'accuracy': 0.8039999392183677, 'macro avg': {'precision': 0.6161261441294086, 'recall': 0.4124427035180439, 'f1-score': 0.38819788056313753, 'support': 61161.99999995388}, 'weighted avg': {'precision': 0.8432396877558571, 'recall': 0.8039999392181879, 'f1-score': 0.7634709663671375, 'support': 61161.99999995388}};{'Other': {'precision': 0.9469427619885765, 'recall': 0.998250759835292, 'f1-score': 0.9719200902841784, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9183376049047691, 'recall': 0.2355048650041884, 'f1-score': 0.3748743512421277, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.3784452296819788, 'recall': 0.22387123745819398, 'f1-score': 0.28132387706855794, 'support': 9568}, 'Smart Things': {'precision': 0.9994892002335085, 'recall': 0.517199713023449, 'f1-score': 0.6816632244258094, 'support': 26483}, 'Withings Smart scale': {'precision': 0.6857142857142857, 'recall': 0.4948453608247423, 'f1-score': 0.5748502994011976, 'support': 291}, 'accuracy': 0.9448452139697148, 'macro avg': {'precision': 0.7857858165046239, 'recall': 0.49393438722917316, 'f1-score': 0.5769263684843742, 'support': 1488248}, 'weighted avg': {'precision': 0.9426804134313583, 'recall': 0.9448452139697148, 'f1-score': 0.9311084724780808, 'support': 1488248}}
6;1;1;500;0.2807023563534369;0.7779817969529345;0.82116926779869;['tcp.window_size_value'];0.20837904363034374;0.683846650361627;0.4027281760376047;0.8636013710113917;0.26603201777679486;0.7672119356924149;1488248;0.4788601804956441;0.9359514755777818;0.9485441942471954;{'Other': {'precision': 0.8072257123186497, 'recall': 0.9995985119882764, 'f1-score': 0.8931711342113707, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.9948588849390536, 'recall': 0.3389613912160964, 'f1-score': 0.5056434629629377, 'support': 13334.000000001477}, 'Light Bulbs LiFX Smart Bulb': {'precision': 1.0, 'recall': 0.0006626905235255673, 'f1-score': 0.0013245033112583853, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 1.0, 'recall': 0.0016891891891884353, 'f1-score': 0.0033726812816173846, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.82116926779869, 'macro avg': {'precision': 0.7604169194515407, 'recall': 0.2681823565834174, 'f1-score': 0.2807023563534369, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.8546747190199928, 'recall': 0.8211692677983417, 'f1-score': 0.7779817969529345, 'support': 61161.99999995387}};{'Other': {'precision': 0.9493448822183699, 'recall': 0.9997620625899087, 'f1-score': 0.9739014065738402, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.8720169285630315, 'recall': 0.28678394226432113, 'f1-score': 0.43161937273309153, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 1.0, 'recall': 0.1813336120401338, 'f1-score': 0.3069981420861718, 'support': 9568}, 'Smart Things': {'precision': 1.0, 'recall': 0.517199713023449, 'f1-score': 0.681781981085117, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9485441942471954, 'macro avg': {'precision': 0.7642723621562804, 'recall': 0.3970158659835626, 'f1-score': 0.4788601804956441, 'support': 1488248}, 'weighted avg': {'precision': 0.9463545511220298, 'recall': 0.9485441942471954, 'f1-score': 0.9359514755777818, 'support': 1488248}}
6;1;2;500;0.4376450788086975;0.8481756187386273;0.8664111193245333;['tcp.window_size_value', 'udp.length'];0.40321526411336467;0.7953135575187036;0.38773293431089817;0.844130296481326;0.4058774940617429;0.8162354659241063;1488248;0.5029707871806821;0.95571133214788;0.961769812558122;{'Other': {'precision': 0.8575006401710941, 'recall': 0.9928087546781315, 'f1-score': 0.9202073394577734, 'support': 45720.99999995236}, 'Samsung SmartCam': {'precision': 0.9814066678680383, 'recall': 0.5057167997237629, 'f1-score': 0.6674816854386684, 'support': 13334.000000001479}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.6312122394841986, 'recall': 0.5666003976143514, 'f1-score': 0.5971636878654285, 'support': 1508.9999999999006}, 'Smart Things': {'precision': 1.0, 'recall': 0.0016891891891884353, 'f1-score': 0.0033726812816173846, 'support': 592.000000000135}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.8664111193245333, 'macro avg': {'precision': 0.6940239095046662, 'recall': 0.4133630282410869, 'f1-score': 0.4376450788086975, 'support': 61161.99999995387}, 'weighted avg': {'precision': 0.88022567195314, 'recall': 0.8664111193248899, 'f1-score': 0.8481756187386273, 'support': 61161.99999995387}};{'Other': {'precision': 0.9639217664444958, 'recall': 0.9983373486787197, 'f1-score': 0.9808277543258903, 'support': 1374311}, 'Samsung SmartCam': {'precision': 0.9159046742354505, 'recall': 0.5770217153167085, 'f1-score': 0.7080012650221378, 'support': 77595}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.37385220813292525, 'recall': 0.08936036789297659, 'f1-score': 0.14424293547026573, 'support': 9568}, 'Smart Things': {'precision': 1.0, 'recall': 0.517199713023449, 'f1-score': 0.681781981085117, 'support': 26483}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.961769812558122, 'macro avg': {'precision': 0.6507357297625743, 'recall': 0.43638382898237077, 'f1-score': 0.5029707871806821, 'support': 1488248}, 'weighted avg': {'precision': 0.9580781750681452, 'recall': 0.961769812558122, 'f1-score': 0.95571133214788, 'support': 1488248}}
