depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.45057702338606426;0.9410368882127212;0.9576377519174735;['tcp.window_size_value'];0.4097369807429112;0.9397826525979277;0.5271637308942606;0.9615436052504722;0.4446274966087132;0.9487116049767088;1488248;0.3533133446832873;0.938890847131604;0.9499290440840505;{'Other': {'precision': 0.9609742116594451, 'recall': 0.9981364614696063, 'f1-score': 0.9792028723495391, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.5532302654241508, 'recall': 0.28080773182195884, 'f1-score': 0.3725281978086537, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1772.999999999946}, 'accuracy': 0.9576377519174735, 'macro avg': {'precision': 0.504734825694532, 'recall': 0.42631473109718837, 'f1-score': 0.45057702338606426, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9265436369845993, 'recall': 0.9576377519175745, 'f1-score': 0.9410368882127212, 'support': 61161.99999991817}};{'Other': {'precision': 0.963412504127743, 'recall': 0.9857230415254817, 'f1-score': 0.9744400854320425, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.07377194538038659, 'recall': 0.10166177908113393, 'f1-score': 0.08549994861781934, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 39362}, 'accuracy': 0.9499290440840505, 'macro avg': {'precision': 0.3457281498360432, 'recall': 0.3624616068688719, 'f1-score': 0.3533133446832873, 'support': 1488248}, 'weighted avg': {'precision': 0.9281472259932837, 'recall': 0.9499290440840505, 'f1-score': 0.938890847131604, 'support': 1488248}}
5;1;2;500;0.4538203510236447;0.9409970419195566;0.9540515520950376;['tcp.window_size_value', 'ip.len'];0.44567624623917296;0.9394746376032589;0.4309541231990644;0.9591934885962229;0.43732807210078445;0.9475581457594482;1488248;0.3484979291493762;0.9425865435624299;0.9570501690578452;{'Other': {'precision': 0.9664161068206922, 'recall': 0.9919022532931546, 'f1-score': 0.9789933378539278, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.3459397281426687, 'recall': 0.4276204159825308, 'f1-score': 0.38246771521700634, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1772.999999999946}, 'accuracy': 0.9540515520950376, 'macro avg': {'precision': 0.43745194498778694, 'recall': 0.47317422309189516, 'f1-score': 0.4538203510236447, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9283982940158033, 'recall': 0.9540515520950247, 'f1-score': 0.9409970419195566, 'support': 61161.99999991817}};{'Other': {'precision': 0.9638028352120992, 'recall': 0.9936335878502051, 'f1-score': 0.9784909056037484, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.08163623595505617, 'recall': 0.056818181818181816, 'f1-score': 0.0670028818443804, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 39362}, 'accuracy': 0.9570501690578452, 'macro avg': {'precision': 0.34847969038905174, 'recall': 0.3501505898894623, 'f1-score': 0.3484979291493762, 'support': 1488248}, 'weighted avg': {'precision': 0.9286094332412864, 'recall': 0.9570501690578452, 'f1-score': 0.9425865435624299, 'support': 1488248}}
5;1;3;500;0.4471587564737351;0.9396764828734304;0.9569858190815149;['tcp.window_size_value', 'ip.len', 'dstport'];0.44705061909370486;0.9396618621821473;0.3293263361025174;0.9530834234918217;0.4154286291350533;0.9456130446219795;1488248;0.3367864185708758;0.9445494110345777;0.9626372755078455;{'Other': {'precision': 0.9586514291352889, 'recall': 0.9979995319875136, 'f1-score': 0.9779298368751147, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.6771073238139107, 'recall': 0.2484787018255848, 'f1-score': 0.3635464325460905, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1772.999999999946}, 'accuracy': 0.9569858190815149, 'macro avg': {'precision': 0.5452529176497332, 'recall': 0.41549274460436614, 'f1-score': 0.4471587564737351, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9263226715455058, 'recall': 0.956985819081514, 'f1-score': 0.9396764828734304, 'support': 61161.99999991817}};{'Other': {'precision': 0.9627093833445013, 'recall': 0.999915533347574, 'f1-score': 0.9809597935076679, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.670299727520436, 'recall': 0.015029325513196481, 'f1-score': 0.02939946220495967, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 39362}, 'accuracy': 0.9626372755078455, 'macro avg': {'precision': 0.5443363702883124, 'recall': 0.3383149529535902, 'f1-score': 0.3367864185708758, 'support': 1488248}, 'weighted avg': {'precision': 0.9340311469257495, 'recall': 0.9626372755078455, 'f1-score': 0.9445494110345777, 'support': 1488248}}
5;1;4;500;0.5450652355003113;0.9496934523358698;0.9608851831905784;['tcp.window_size_value', 'ip.len', 'dstport', 'udp.length'];0.44695807403223164;0.9396493369848735;0.6269584829706724;0.9729915241609337;0.5191327871660988;0.954354585757559;1488248;0.4854323115339279;0.9512460014408269;0.9648929479495353;{'Other': {'precision': 0.966566025841602, 'recall': 0.9960096409437268, 'f1-score': 0.9810669689223273, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.5264178909276017, 'recall': 0.42863439581061497, 'f1-score': 0.4725203379016666, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 1.0, 'recall': 0.09987309644670318, 'f1-score': 0.18160839967693992, 'support': 1772.999999999946}, 'accuracy': 0.9608851831905784, 'macro avg': {'precision': 0.8309946389230679, 'recall': 0.5081723777336816, 'f1-score': 0.5450652355003113, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9604395482110011, 'recall': 0.9608851831905918, 'f1-score': 0.9496934523358698, 'support': 61161.99999991817}};{'Other': {'precision': 0.9669766306248179, 'recall': 0.9980551727796788, 'f1-score': 0.9822701357607511, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.6191271431752393, 'recall': 0.3397482893450635, 'f1-score': 0.4387376725838264, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 1.0, 'recall': 0.017961485696864996, 'f1-score': 0.035289126257206316, 'support': 39362}, 'accuracy': 0.9648929479495353, 'macro avg': {'precision': 0.8620345912666858, 'recall': 0.45192164927386913, 'f1-score': 0.4854323115339279, 'support': 1488248}, 'weighted avg': {'precision': 0.9640243440803516, 'recall': 0.9648929479495353, 'f1-score': 0.9512460014408269, 'support': 1488248}}
5;1;5;500;0.7012810649018334;0.9671161555771756;0.9700441568273073;['tcp.window_size_value', 'ip.len', 'dstport', 'udp.length', 'ip.ttl'];0.4982451395703273;0.9446942000136075;0.834693070419125;0.9870971181239965;0.6527724285341715;0.9655543997152887;1488248;0.4953726084861277;0.9495710585400212;0.9574204030511044;{'Other': {'precision': 0.9842867702322918, 'recall': 0.9911640238572993, 'f1-score': 0.9877134259500043, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.5101808804869372, 'recall': 0.905182492744153, 'f1-score': 0.6525628822728793, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.9149537839172139, 'recall': 0.3104220511581047, 'f1-score': 0.46356688648261657, 'support': 1772.9999999999463}, 'accuracy': 0.9700441568273073, 'macro avg': {'precision': 0.8031404782121476, 'recall': 0.735589522586519, 'f1-score': 0.7012810649018334, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9746337864837831, 'recall': 0.9700441568275273, 'f1-score': 0.9671161555771756, 'support': 61161.99999991817}};{'Other': {'precision': 0.9696246864044726, 'recall': 0.9872022550501983, 'f1-score': 0.9783345238074649, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.2982152906182169, 'recall': 0.4532624633431085, 'f1-score': 0.3597439751733501, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.6706942453409789, 'recall': 0.08320207306539301, 'f1-score': 0.1480393264775681, 'support': 39362}, 'accuracy': 0.9574204030511044, 'macro avg': {'precision': 0.6461780741212229, 'recall': 0.5078889304862333, 'f1-score': 0.4953726084861277, 'support': 1488248}, 'weighted avg': {'precision': 0.9543341373754327, 'recall': 0.9574204030511044, 'f1-score': 0.9495710585400212, 'support': 1488248}}
6;1;1;500;0.4714827277362721;0.9450296927689344;0.9586961206037586;['tcp.window_size_value'];0.4097369807429112;0.9397826525979277;0.5309814614463098;0.9677630273961831;0.4645836803565442;0.9520717916859962;1488248;0.3618352064818137;0.9393483374783875;0.9494465976100758;{'Other': {'precision': 0.9689170935122099, 'recall': 0.9962204334476192, 'f1-score': 0.9823790891285267, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.407375566870823, 'recall': 0.4599494459789121, 'f1-score': 0.4320690940802896, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1772.999999999946}, 'accuracy': 0.9586961206037586, 'macro avg': {'precision': 0.45876422012767765, 'recall': 0.48538995980884375, 'f1-score': 0.4714827277362721, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9317768765136081, 'recall': 0.9586961206038644, 'f1-score': 0.9450296927689344, 'support': 61161.99999991817}};{'Other': {'precision': 0.9647122544219101, 'recall': 0.9847443452717523, 'f1-score': 0.9746253776622903, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.09036330049261083, 'recall': 0.14345063538611927, 'f1-score': 0.11088024178315073, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 39362}, 'accuracy': 0.9494465976100758, 'macro avg': {'precision': 0.3516918516381737, 'recall': 0.37606499355262385, 'f1-score': 0.3618352064818137, 'support': 1488248}, 'weighted avg': {'precision': 0.929580779401302, 'recall': 0.9494465976100758, 'f1-score': 0.9393483374783875, 'support': 1488248}}
6;1;2;500;0.5640385894411941;0.952841261104232;0.9602450431309258;['tcp.window_size_value', 'ip.len'];0.48312868015806193;0.9447088287392881;0.6131583635924237;0.9701672603345719;0.5375452091245231;0.9562794775417773;1488248;0.36492081377455393;0.9440259938313176;0.9577436018728062;{'Other': {'precision': 0.9741441348063258, 'recall': 0.9916042953496887, 'f1-score': 0.982796672804153, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.40393386896845296, 'recall': 0.5931372549020254, 'f1-score': 0.4805840234784006, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.881391117955926, 'recall': 0.13142037977063661, 'f1-score': 0.22873507204102878, 'support': 1772.999999999946}, 'accuracy': 0.9602450431309258, 'macro avg': {'precision': 0.7531563739102349, 'recall': 0.572053976674117, 'f1-score': 0.5640385894411941, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9622629271775234, 'recall': 0.9602450431309004, 'f1-score': 0.952841261104232, 'support': 61161.99999991817}};{'Other': {'precision': 0.9641188088232904, 'recall': 0.9936901316423249, 'f1-score': 0.9786811432484444, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.08835944095300628, 'recall': 0.05755131964809384, 'f1-score': 0.06970291168744681, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.830238726790451, 'recall': 0.023855495147604287, 'f1-score': 0.046378386387770726, 'support': 39362}, 'accuracy': 0.9577436018728062, 'macro avg': {'precision': 0.6275723255222492, 'recall': 0.3583656488126743, 'f1-score': 0.36492081377455393, 'support': 1488248}, 'weighted avg': {'precision': 0.9509461271719276, 'recall': 0.9577436018728062, 'f1-score': 0.9440259938313176, 'support': 1488248}}
6;1;3;500;0.6329084390450627;0.9579732588662602;0.9656022617576462;['tcp.window_size_value', 'ip.len', 'dstport'];0.46890338817144633;0.9438295611133346;0.7474511826263034;0.9791254959331848;0.5793917005974855;0.9600818596012842;1488248;0.4328014678104426;0.9507362724464873;0.9647592336761077;{'Other': {'precision': 0.9708061942939834, 'recall': 0.9958903791473792, 'f1-score': 0.9831883188999568, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.6302980354354991, 'recall': 0.529286433647552, 'f1-score': 0.5753926655718603, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.8846679363668357, 'recall': 0.21054895471140098, 'f1-score': 0.3401443326633712, 'support': 1772.999999999946}, 'accuracy': 0.9656022617576462, 'macro avg': {'precision': 0.8285907220321059, 'recall': 0.5785752558354441, 'f1-score': 0.6329084390450627, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9628197946350462, 'recall': 0.9656022617576567, 'f1-score': 0.9579732588662602, 'support': 61161.99999991817}};{'Other': {'precision': 0.9657170230781946, 'recall': 0.9991658045483547, 'f1-score': 0.9821567095637113, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.5849923430321593, 'recall': 0.1166911045943304, 'f1-score': 0.19457036622013954, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.901685393258427, 'recall': 0.06524058736852802, 'f1-score': 0.1216773276474769, 'support': 39362}, 'accuracy': 0.9647592336761077, 'macro avg': {'precision': 0.8174649197895937, 'recall': 0.3936991655037377, 'f1-score': 0.4328014678104426, 'support': 1488248}, 'weighted avg': {'precision': 0.9598362057843303, 'recall': 0.9647592336761077, 'f1-score': 0.9507362724464873, 'support': 1488248}}
6;1;4;500;0.5877020262359051;0.9585875416666743;0.9662801244000725;['tcp.window_size_value', 'ip.len', 'dstport', 'ip.ttl'];0.5555636094777391;0.9528890590262015;0.7161692883037611;0.9847589669974376;0.6297631842318036;0.967118565399604;1488248;0.7042478326982313;0.9742911688772079;0.9780507012272148;{'Other': {'precision': 0.974979421259445, 'recall': 0.9983604977167077, 'f1-score': 0.9865314443921611, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.46441530375328977, 'recall': 0.46096364476182844, 'f1-score': 0.4626830369219073, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.8896842793088066, 'recall': 0.19056213573976288, 'f1-score': 0.31389159739364675, 'support': 1772.999999999946}, 'accuracy': 0.9662801244000725, 'macro avg': {'precision': 0.7763596681071805, 'recall': 0.549962092739433, 'f1-score': 0.5877020262359051, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.964275969663023, 'recall': 0.9662801243999234, 'f1-score': 0.9585875416666743, 'support': 61161.99999991817}};{'Other': {'precision': 0.9804059491724514, 'recall': 0.9992384039851506, 'f1-score': 0.9897325995409592, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.6762255376864948, 'recall': 0.4264418377321603, 'f1-score': 0.52304233795429, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.9599798781510257, 'recall': 0.43633453584675574, 'f1-score': 0.5999685605994446, 'support': 39362}, 'accuracy': 0.9780507012272148, 'macro avg': {'precision': 0.8722037883366572, 'recall': 0.6206715925213556, 'f1-score': 0.7042478326982313, 'support': 1488248}, 'weighted avg': {'precision': 0.9765202822790657, 'recall': 0.9780507012272148, 'f1-score': 0.9742911688772079, 'support': 1488248}}
6;1;5;500;0.7370504620674515;0.9727092331706295;0.9760401217575745;['tcp.window_size_value', 'ip.len', 'dstport', 'ip.ttl', 'udp.length'];0.6696534105702274;0.9610414524836225;0.6775196178472092;0.9809388747479695;0.6699258018157527;0.9692491806147508;1488248;0.5082118730120054;0.9526344609826313;0.9642237046513753;{'Other': {'precision': 0.9847986843514195, 'recall': 0.9972692143486107, 'f1-score': 0.9909947190798228, 'support': 58402.99999991833}, 'Withings Aura smart sleep sensor': {'precision': 0.6019579175015519, 'recall': 0.8241822190714547, 'f1-score': 0.6957563278826678, 'support': 985.9999999998929}, 'Withings Smart Baby Monitor': {'precision': 0.9566320838939152, 'recall': 0.3612004136115938, 'f1-score': 0.524400339239864, 'support': 1772.999999999946}, 'accuracy': 0.9760401217575745, 'macro avg': {'precision': 0.8477962285822955, 'recall': 0.7275506156772197, 'f1-score': 0.7370504620674515, 'support': 61161.99999991817}, 'weighted avg': {'precision': 0.9778103520744231, 'recall': 0.9760401217575951, 'f1-score': 0.9727092331706295, 'support': 61161.99999991817}};{'Other': {'precision': 0.9695571516910051, 'recall': 0.996015407834317, 'f1-score': 0.9826082045970426, 'support': 1432518}, 'Withings Aura smart sleep sensor': {'precision': 0.5660285528877352, 'recall': 0.42631964809384165, 'f1-score': 0.4863395595204906, 'support': 16368}, 'Withings Smart Baby Monitor': {'precision': 0.28213457076566123, 'recall': 0.030892739190081803, 'f1-score': 0.05568785491848324, 'support': 39362}, 'accuracy': 0.9642237046513753, 'macro avg': {'precision': 0.6059067584481339, 'recall': 0.48440926503941345, 'f1-score': 0.5082118730120054, 'support': 1488248}, 'weighted avg': {'precision': 0.9469377470382889, 'recall': 0.9642237046513753, 'f1-score': 0.9526344609826313, 'support': 1488248}}
