depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.7120375611063626;0.9705929436051282;0.9718312625077488;['ip.ttl'];0.6903987941565345;0.9796309579097094;0.4108063153197082;0.9933804469616361;0.6711204347103458;0.9828707280035254;1488248;0.6021601123988344;0.9764555287451934;0.9752937682429272;{'Other': {'precision': 0.9823021187510125, 'recall': 0.9886412975992385, 'f1-score': 0.985461513770726, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.5509160820083749, 'recall': 0.49834327369122056, 'f1-score': 0.5233126058792984, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.8369565217391317, 'recall': 0.5016891891889091, 'f1-score': 0.6273385636690633, 'support': 592.0000000003295}, 'accuracy': 0.9718312625077488, 'macro avg': {'precision': 0.7900582408328397, 'recall': 0.6628912534931227, 'f1-score': 0.7120375611063626, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9702520529769114, 'recall': 0.971831262507906, 'f1-score': 0.9705929436051282, 'support': 61162.000000008666}};{'Other': {'precision': 0.9861434345488167, 'recall': 0.9885711098425352, 'f1-score': 0.9873557799275027, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.1051956024331715, 'recall': 0.19701086956521738, 'f1-score': 0.13715574635282132, 'support': 9568}, 'Smart Things': {'precision': 0.9613244487188294, 'recall': 0.5284144545557528, 'f1-score': 0.6819688109161792, 'support': 26483}, 'accuracy': 0.9752937682429272, 'macro avg': {'precision': 0.6842211619002726, 'recall': 0.5713321446545018, 'f1-score': 0.6021601123988344, 'support': 1488248}, 'weighted avg': {'precision': 0.9800381415738434, 'recall': 0.9752937682429272, 'f1-score': 0.9764555287451934, 'support': 1488248}}
5;1;2;500;0.7617733795408386;0.9792517506831603;0.9819716490641259;['ip.ttl', 'srcport'];0.7463774698682696;0.9864817637967214;0.5480674533136422;0.9981834005506294;0.7409628066378833;0.9894307313806333;1488248;0.5572222026713252;0.969870826628021;0.9783241771532701;{'Other': {'precision': 0.9825336526904268, 'recall': 0.9991254804354679, 'f1-score': 0.990760107405386, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.998677248677249, 'recall': 0.5003313452618239, 'f1-score': 0.666666666666721, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.8485545807565024, 'recall': 0.49831081081053347, 'f1-score': 0.6278933645504089, 'support': 592.0000000003295}, 'accuracy': 0.9819716490641259, 'macro avg': {'precision': 0.9432551607080595, 'recall': 0.6659225455026084, 'f1-score': 0.7617733795408386, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9816351385110211, 'recall': 0.9819716490631295, 'f1-score': 0.9792517506831603, 'support': 61162.000000008666}};{'Other': {'precision': 0.9794781509814035, 'recall': 0.9991399238533064, 'f1-score': 0.9892113466812338, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9941348973607038, 'recall': 0.4960284280936455, 'f1-score': 0.6618323804211407, 'support': 9568}, 'Smart Things': {'precision': 0.138758231420508, 'recall': 0.011139221387305064, 'f1-score': 0.020622880911601246, 'support': 26483}, 'accuracy': 0.9783241771532701, 'macro avg': {'precision': 0.7041237599208717, 'recall': 0.5021025244447523, 'f1-score': 0.5572222026713252, 'support': 1488248}, 'weighted avg': {'precision': 0.9646119795634852, 'recall': 0.9783241771532701, 'f1-score': 0.969870826628021, 'support': 1488248}}
5;1;3;500;0.6767370981562825;0.9720875783473869;0.969267757974109;['ip.ttl', 'srcport', 'udp.length'];0.6788758124523516;0.9831177546710611;0.532971775027525;0.992936608149855;0.6564581243812994;0.9853915968241915;1488248;0.40405487719943056;0.9618223053189922;0.9684656051948332;{'Other': {'precision': 0.9890298038013426, 'recall': 0.981533577372193, 'f1-score': 0.9852674323773609, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7443636811629925, 'recall': 0.6673293571902402, 'f1-score': 0.7037446858074933, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.25505680354280497, 'recall': 0.515202702702416, 'f1-score': 0.34119917628399304, 'support': 592.0000000003295}, 'accuracy': 0.969267757974109, 'macro avg': {'precision': 0.6628167628357133, 'recall': 0.7213552124216164, 'f1-score': 0.6767370981562825, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9758890759766405, 'recall': 0.9692677579735617, 'f1-score': 0.9720875783473869, 'support': 61162.000000008666}};{'Other': {'precision': 0.976653907645306, 'recall': 0.9914860036207209, 'f1-score': 0.9840140675658683, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.7710922171353826, 'recall': 0.12322324414715718, 'f1-score': 0.21248986212489862, 'support': 9568}, 'Smart Things': {'precision': 0.02446262431825473, 'recall': 0.011516822112298456, 'f1-score': 0.01566070190752484, 'support': 26483}, 'accuracy': 0.9684656051948332, 'macro avg': {'precision': 0.5907362496996478, 'recall': 0.3754086899600589, 'f1-score': 0.40405487719943056, 'support': 1488248}, 'weighted avg': {'precision': 0.958388338996029, 'recall': 0.9684656051948332, 'f1-score': 0.9618223053189922, 'support': 1488248}}
5;1;4;500;0.8085663713404628;0.9823806441858542;0.9778507916529321;['ip.ttl', 'srcport', 'udp.length', 'dstport'];0.7751233938092147;0.9863579300421141;0.5058389036463852;0.995172008688479;0.7598900390751561;0.9885147145724322;1488248;0.48745841095619963;0.95963112476013;0.9608929425740871;{'Other': {'precision': 0.9976715430357633, 'recall': 0.9793825048519612, 'f1-score': 0.9884424311837287, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9555674618039026, 'recall': 0.9105367793240842, 'f1-score': 0.9325088062303384, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.33795378781155144, 'recall': 0.9966216216210669, 'f1-score': 0.5047478766073215, 'support': 592.0000000003295}, 'accuracy': 0.9778507916529321, 'macro avg': {'precision': 0.7637309308837391, 'recall': 0.9621803019323707, 'f1-score': 0.8085663713404628, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9902471950799776, 'recall': 0.9778507916526834, 'f1-score': 0.9823806441858542, 'support': 61162.000000008666}};{'Other': {'precision': 0.9799482731551998, 'recall': 0.9799799889408943, 'f1-score': 0.9799641307914327, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.3474753018660812, 'recall': 0.6616847826086957, 'f1-score': 0.45566431553188425, 'support': 9568}, 'Smart Things': {'precision': 0.033288349077822764, 'recall': 0.022353962919608807, 'f1-score': 0.026746786545282043, 'support': 26483}, 'accuracy': 0.9608929425740871, 'macro avg': {'precision': 0.453570641366368, 'recall': 0.554672911489733, 'f1-score': 0.48745841095619963, 'support': 1488248}, 'weighted avg': {'precision': 0.9590365056550013, 'recall': 0.9608929425740871, 'f1-score': 0.95963112476013, 'support': 1488248}}
6;1;1;500;0.7120375611063626;0.9705929436051282;0.9718312625077488;['ip.ttl'];0.6903987941565345;0.9796309579097094;0.4108063153197082;0.9933804469616361;0.6711204347103458;0.9828707280035254;1488248;0.6021601123988344;0.9764555287451934;0.9752937682429272;{'Other': {'precision': 0.9823021187510125, 'recall': 0.9886412975992385, 'f1-score': 0.985461513770726, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.5509160820083749, 'recall': 0.49834327369122056, 'f1-score': 0.5233126058792984, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.8369565217391317, 'recall': 0.5016891891889091, 'f1-score': 0.6273385636690633, 'support': 592.0000000003295}, 'accuracy': 0.9718312625077488, 'macro avg': {'precision': 0.7900582408328397, 'recall': 0.6628912534931227, 'f1-score': 0.7120375611063626, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9702520529769114, 'recall': 0.971831262507906, 'f1-score': 0.9705929436051282, 'support': 61162.000000008666}};{'Other': {'precision': 0.9861434345488167, 'recall': 0.9885711098425352, 'f1-score': 0.9873557799275027, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.1051956024331715, 'recall': 0.19701086956521738, 'f1-score': 0.13715574635282132, 'support': 9568}, 'Smart Things': {'precision': 0.9613244487188294, 'recall': 0.5284144545557528, 'f1-score': 0.6819688109161792, 'support': 26483}, 'accuracy': 0.9752937682429272, 'macro avg': {'precision': 0.6842211619002726, 'recall': 0.5713321446545018, 'f1-score': 0.6021601123988344, 'support': 1488248}, 'weighted avg': {'precision': 0.9800381415738434, 'recall': 0.9752937682429272, 'f1-score': 0.9764555287451934, 'support': 1488248}}
6;1;2;500;0.5545198094908175;0.9707081817789313;0.9767035554295753;['ip.ttl', 'srcport'];0.5579138722956862;0.9818063328652215;0.5729967416663067;0.9975917126440988;0.5592929958887121;0.9858718888622886;1488248;0.856445856759266;0.988253982371584;0.9895924603963856;{'Other': {'precision': 0.9778157804986501, 'recall': 0.9985462971697274, 'f1-score': 0.988072315254055, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9986859395532198, 'recall': 0.5036447978794384, 'f1-score': 0.6696035242291175, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.02276422764227423, 'recall': 0.003378378378376129, 'f1-score': 0.005883588989279979, 'support': 592.0000000003295}, 'accuracy': 0.9767035554295753, 'macro avg': {'precision': 0.6664219825647147, 'recall': 0.501856491142514, 'f1-score': 0.5545198094908175, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.969086545854952, 'recall': 0.9767035554288817, 'f1-score': 0.9707081817789313, 'support': 61162.000000008666}};{'Other': {'precision': 0.9902363023654804, 'recall': 0.9991888152915892, 'f1-score': 0.994692415449681, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9965299293592762, 'recall': 0.8404055183946488, 'f1-score': 0.9118330781879004, 'support': 9568}, 'Smart Things': {'precision': 0.9223052581969973, 'recall': 0.5172752331684477, 'f1-score': 0.6628120766402167, 'support': 26483}, 'accuracy': 0.9895924603963856, 'macro avg': {'precision': 0.9696904966405846, 'recall': 0.785623188951562, 'f1-score': 0.856445856759266, 'support': 1488248}, 'weighted avg': {'precision': 0.9890679484220266, 'recall': 0.9895924603963856, 'f1-score': 0.988253982371584, 'support': 1488248}}
6;1;3;500;0.8270542487688585;0.9887949484243092;0.9894795744982069;['ip.ttl', 'srcport', 'udp.length'];0.8105702818735673;0.9921975685931138;0.5493382080397785;0.9976416500711113;0.79745952577668;0.9935085342984704;1488248;0.6442017702410882;0.9823027045347381;0.9854446301960426;{'Other': {'precision': 0.9939585525154199, 'recall': 0.997521932529777, 'f1-score': 0.9957370545232125, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8528458706416481, 'recall': 0.8660748033843406, 'f1-score': 0.8594094316209786, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.8322658126501237, 'recall': 0.5016891891889091, 'f1-score': 0.6260162601623845, 'support': 592.0000000003295}, 'accuracy': 0.9894795744982069, 'macro avg': {'precision': 0.8930234119357306, 'recall': 0.7884286417010089, 'f1-score': 0.8270542487688585, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9889119363330227, 'recall': 0.9894795744980197, 'f1-score': 0.9887949484243092, 'support': 61162.000000008666}};{'Other': {'precision': 0.9861237964760057, 'recall': 0.9992397725652924, 'f1-score': 0.9926384602571596, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8679791546033584, 'recall': 0.1566680602006689, 'f1-score': 0.26542718016821604, 'support': 9568}, 'Smart Things': {'precision': 0.9323739089879406, 'recall': 0.5284144545557528, 'f1-score': 0.6745396702978887, 'support': 26483}, 'accuracy': 0.9854446301960426, 'macro avg': {'precision': 0.928825620022435, 'recall': 0.5614407624405714, 'f1-score': 0.6442017702410882, 'support': 1488248}, 'weighted avg': {'precision': 0.98440777454701, 'recall': 0.9854446301960426, 'f1-score': 0.9823027045347381, 'support': 1488248}}
6;1;4;500;0.8699944341609425;0.9915066266096518;0.9922681268534258;['ip.ttl', 'srcport', 'udp.length', 'dstport'];0.8602786972232007;0.9940820769102712;0.5978968035630227;0.998134207580238;0.854004232652135;0.9951235338021587;1488248;0.7965446146347362;0.9847224361815736;0.9857906746725008;{'Other': {'precision': 0.9929659356456519, 'recall': 0.9990874379810467, 'f1-score': 0.9960172812443675, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9690627080058868, 'recall': 0.9111994698476058, 'f1-score': 0.9392407465134388, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.9654088050314105, 'recall': 0.5185810810807916, 'f1-score': 0.6747252747250209, 'support': 592.0000000003295}, 'accuracy': 0.9922681268534258, 'macro avg': {'precision': 0.9758124828943164, 'recall': 0.8096226629698147, 'f1-score': 0.8699944341609425, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9921094595357792, 'recall': 0.9922681268532483, 'f1-score': 0.9915066266096518, 'support': 61162.000000008666}};{'Other': {'precision': 0.9896630588312584, 'recall': 0.9958421619105396, 'f1-score': 0.9927429953584413, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.8366091884722054, 'recall': 0.7251254180602007, 'f1-score': 0.7768881921504955, 'support': 9568}, 'Smart Things': {'precision': 0.749237600984431, 'recall': 0.5287920552807461, 'f1-score': 0.6200026563952716, 'support': 26483}, 'accuracy': 0.9857906746725008, 'macro avg': {'precision': 0.8585032827626317, 'recall': 0.749919878417162, 'f1-score': 0.7965446146347362, 'support': 1488248}, 'weighted avg': {'precision': 0.9844007592469465, 'recall': 0.9857906746725008, 'f1-score': 0.9847224361815736, 'support': 1488248}}
7;1;1;500;0.7120375611063626;0.9705929436051282;0.9718312625077488;['ip.ttl'];0.6903987941565345;0.9796309579097094;0.4108063153197082;0.9933804469616361;0.6711204347103458;0.9828707280035254;1488248;0.6021601123988344;0.9764555287451934;0.9752937682429272;{'Other': {'precision': 0.9823021187510125, 'recall': 0.9886412975992385, 'f1-score': 0.985461513770726, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.5509160820083749, 'recall': 0.49834327369122056, 'f1-score': 0.5233126058792984, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.8369565217391317, 'recall': 0.5016891891889091, 'f1-score': 0.6273385636690633, 'support': 592.0000000003295}, 'accuracy': 0.9718312625077488, 'macro avg': {'precision': 0.7900582408328397, 'recall': 0.6628912534931227, 'f1-score': 0.7120375611063626, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9702520529769114, 'recall': 0.971831262507906, 'f1-score': 0.9705929436051282, 'support': 61162.000000008666}};{'Other': {'precision': 0.9861434345488167, 'recall': 0.9885711098425352, 'f1-score': 0.9873557799275027, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.1051956024331715, 'recall': 0.19701086956521738, 'f1-score': 0.13715574635282132, 'support': 9568}, 'Smart Things': {'precision': 0.9613244487188294, 'recall': 0.5284144545557528, 'f1-score': 0.6819688109161792, 'support': 26483}, 'accuracy': 0.9752937682429272, 'macro avg': {'precision': 0.6842211619002726, 'recall': 0.5713321446545018, 'f1-score': 0.6021601123988344, 'support': 1488248}, 'weighted avg': {'precision': 0.9800381415738434, 'recall': 0.9752937682429272, 'f1-score': 0.9764555287451934, 'support': 1488248}}
7;1;2;500;0.7694594409833578;0.9797581916832105;0.9824727772153251;['ip.ttl', 'srcport'];0.764932252910079;0.9872368194236277;0.5878168629741176;0.9983744862152077;0.7600395467346862;0.9900379422899223;1488248;0.8627746288306414;0.9888740083111968;0.9901689772134752;{'Other': {'precision': 0.982638657700974, 'recall': 0.9995259138856515, 'f1-score': 0.9910103494300221, 'support': 59061.00000000844}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9986859395532198, 'recall': 0.5036447978794384, 'f1-score': 0.6696035242291175, 'support': 1508.9999999998954}, 'Smart Things': {'precision': 0.9138461538461566, 'recall': 0.5016891891889091, 'f1-score': 0.6477644492909341, 'support': 592.0000000003295}, 'accuracy': 0.9824727772153251, 'macro avg': {'precision': 0.9650569170334502, 'recall': 0.668286633651333, 'f1-score': 0.7694594409833578, 'support': 61162.000000008666}, 'weighted avg': {'precision': 0.9823687218916964, 'recall': 0.982472777214617, 'f1-score': 0.9797581916832105, 'support': 61162.000000008666}};{'Other': {'precision': 0.9904393713402211, 'recall': 0.9995765037388178, 'f1-score': 0.9949869610263381, 'support': 1452197}, 'Light Bulbs LiFX Smart Bulb': {'precision': 0.9965299293592762, 'recall': 0.8404055183946488, 'f1-score': 0.9118330781879004, 'support': 9568}, 'Smart Things': {'precision': 0.9594789166952349, 'recall': 0.5284144545557528, 'f1-score': 0.6815038472776859, 'support': 26483}, 'accuracy': 0.9901689772134752, 'macro avg': {'precision': 0.9821494057982441, 'recall': 0.7894654922297398, 'f1-score': 0.8627746288306414, 'support': 1488248}, 'weighted avg': {'precision': 0.989927594229661, 'recall': 0.9901689772134752, 'f1-score': 0.9888740083111968, 'support': 1488248}}
