c_name,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Max Packet Length,Packet Length Mean,Packet Length Total,dstport,ip.len,ip.ttl,srcport,tcp.flags.rst,tcp.hdr_len,tcp.window_size_value,udp.length
Amazon Echo,0.025057243323488812,0.02730980320022019,0.01923672797367176,0.01704599256208184,0.01866450515596389,0.01280156453154586,0.023736018478135678,0.07408414032058874,0.20748874116657914,0.13962749612311745,0.08211191786625861,0.00904705743777739,0.04990445480563012,0.1429951988392741,0.1508891382156664
Android Phone,0.04571192245824862,0.04412418855585124,0.046228622193986706,0.0428395148949277,0.04171123808263108,0.04375818202325547,0.04211925176116864,0.1327923468413595,0.12078759775017087,0.09538921688596161,0.14842593762696266,0.003311374572453964,0.020614494650268718,0.09815751544007964,0.07402859626267368
Belkin Wemo switch,0.018121040836786874,0.02245700598872876,0.02088836028297496,0.010829646716378266,0.09264823892412652,0.10996933393158942,0.12530359190084664,0.10937529117240938,0.11012204971604321,0.008969075725781362,0.12261420181458753,0.001982547040152676,0.01821079403530997,0.20791307280018748,0.02059574911409688
Belkin wemo motion sensor,0.01757107903744624,0.013199675494894673,0.013201378829346841,0.015717520061578952,0.09834660262375534,0.06491117134000433,0.12064610680952734,0.08778792803633244,0.08383895412143744,0.02409420976320177,0.19519579089555292,0.00393171872682575,0.04129344533536989,0.1918536571570131,0.028410761767712883
Blipcare Blood Pressure meter,0.05839581833494293,0.0419625661179446,0.06803409138584043,0.11042391757720672,0.042291032683616385,0.03839518694170398,0.04636358470553231,0.06648426802009015,0.07399657099987224,0.07413787065043052,0.18357533220770622,6.847295220996411e-06,0.04391899436719703,0.10538632524491248,0.046627593467783134
Dropcam,0.07523819421636486,0.0486263163936083,0.0430058282299801,0.03039904864045706,0.05836138095924911,0.046531319718369074,0.040391205397827847,0.05709413070312728,0.18807463550989714,0.08393516304374857,0.10622846601680307,0.0002812775679099509,0.013295795801480681,0.03898918986526911,0.16954804793590797
HP Printer,0.03763676100319489,0.05284019372179425,0.048134820826273225,0.05917528489456986,0.03581384833272879,0.04227564916770767,0.04288969152194541,0.09170765043137402,0.04972272141560764,0.07661368362078122,0.18679518369336132,0.0020263447950925493,0.01207584088348082,0.22902360664663599,0.033268719045452255
IPhone,0.029494109021772057,0.03362963540247895,0.031661636956099914,0.04533770105131413,0.0073136649497468065,0.009832190205557536,0.010185435910700348,0.16620461912495618,0.055218819444277534,0.016105013149684728,0.5342131497353177,7.138385612681886e-05,0.0014783952892278756,0.014229190927061425,0.04502505497567805
Insteon Camera,0.014976732078805706,0.014925690090079281,0.013500552618920513,0.017138429828680572,0.022826714616970844,0.0159434291284555,0.029496943739979693,0.09881504190893131,0.24875704465164153,0.07613822112788714,0.045764159837393896,0.10938591882410587,0.046439387989038065,0.07669795877279681,0.1691937747863131
Laptop,0.022976584506227023,0.030090641008230185,0.021638057346348178,0.011190532828091224,0.05249180276461876,0.04826489235753454,0.04695675705376018,0.08897534160194519,0.06720497117790088,0.19484971948861884,0.09811752415547519,0.0172850331648732,0.12921821348183404,0.1290068819990682,0.04173304706547414
Light Bulbs LiFX Smart Bulb,0.00388389930893599,0.004335595833418861,0.0044031424302463,0.0037935994997992336,0.004355115961697564,0.004487207960220292,0.005746747095105068,0.27534741105204297,0.11788856315677726,0.2522581219793744,0.1351369273136978,0.0019222203020794154,0.010464802634928293,0.01882797991306319,0.1571486655586132
MacBook,0.010414946752105468,0.006352007731378761,0.008697276260826912,0.005310840796127178,0.008298195366564301,0.007289660799259479,0.0077322057817337635,0.055983520203051966,0.056533362652381486,0.0608576661428502,0.0862438879191486,0.00738505010140971,0.3483430057739561,0.2900322371887816,0.04052613653042443
NEST Protect smoke alarm,0.0899820013216797,0.07358816903060726,0.07052667406180249,0.053514576471098974,0.045583031540157554,0.06487685656282749,0.022036218414454845,0.08209141460207023,0.08233625901124188,0.14567890127451946,0.09896170446521821,6.630736270440124e-05,0.026786168247292408,0.1074947425484516,0.03647697508587345
Netatmo Welcome,0.03566383025590644,0.04343261936069576,0.024045335682960307,0.008467658757431116,0.03384030925009839,0.032851872104151275,0.0350220435259662,0.1672397135114773,0.08971139068319517,0.15842263468123613,0.10788673925882693,0.006183362180190544,0.026895276108303487,0.17000232972810758,0.06033488491145346
